Cited Journal Data: TRAVAIL HUMAIN,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,71,1,3,4,3,2,6,8,9,5,2,28
2,,ALL OTHERS (13),13,0,1,0,2,0,2,1,1,2,0,4
3,0.212,TRAV HUMAIN,15,1,1,0,1,0,4,3,0,1,2,2
4,0.745,INT J AVIAT PSYCHOL,5,0,0,1,0,0,0,0,0,0,0,4
5,0.238,ANN PSYCHOL,3,0,0,0,0,0,0,0,2,0,0,1
6,0.642,APPL ERGON,3,0,0,0,0,0,0,0,0,1,0,2
7,0.954,HUM FACTORS,3,0,0,2,0,1,0,0,0,0,0,0
8,0.333,INT J HUM-COMPUT ST,3,0,0,0,0,0,0,1,0,0,0,2
9,0.255,INT J IND ERGONOM,3,0,0,0,0,0,0,0,0,0,0,3
10,0.691,ERGONOMICS,2,0,0,0,0,0,0,0,1,0,0,1
11,,FR ART INT,2,0,1,0,0,0,0,0,1,0,0,0
12,0.575,INT J PSYCHOL,2,0,0,0,0,0,0,0,1,0,0,1
13,0.250,J ORGAN CHANGE MANAG,2,0,0,0,0,0,0,1,1,0,0,0
14,,MED EDUC,2,0,0,0,0,0,0,0,1,1,0,0
15,,ACTA ASTRONAUT,1,0,0,0,0,0,0,0,0,0,0,1
16,1.267,ACTA PSYCHOL,1,0,0,0,0,1,0,0,0,0,0,0
17,,B WORLD HEALTH ORGAN,1,0,0,0,0,0,0,0,0,0,0,1
18,,EUR J APPL PHYSIOL,1,0,0,0,0,0,0,0,0,0,0,1
19,,EUR J NEUROSCI,1,0,0,0,0,0,0,0,0,0,0,1
20,0.258,EUR J PSYCHOL EDUC,1,0,0,0,0,0,0,0,0,0,0,1
21,,EXP RES APPL,1,0,0,0,0,0,0,0,0,0,0,1
22,,IEEE T SYST MAN CY A,1,0,0,0,0,0,0,0,1,0,0,0
23,,IND MANAGE DATA SYST,1,0,0,0,0,0,0,1,0,0,0,0
24,1.226,J AM SOC INFORM SCI,1,0,0,0,0,0,0,1,0,0,0,0
25,,J CLIN MONITOR COMP,1,0,0,1,0,0,0,0,0,0,0,0
26,0.473,J CLIN NURS,1,0,0,0,0,0,0,0,0,0,0,1
27,1.141,J MOTOR BEHAV,1,0,0,0,0,0,0,0,0,0,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
