Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3603,119,385,413,322,317,276,238,220,167,148,998
2, ,ALL OTHERS (1055),1055,32,102,115,71,79,80,65,58,38,29,386
3,1.554,ACAD MED,696,52,112,101,72,72,59,60,69,28,33,38
4,15.402,JAMA-J AM MED ASSOC,180,1,22,18,29,17,22,14,12,8,5,32
5,1.078,MED EDUC,109,2,7,5,3,7,4,7,5,14,7,48
6,29.512,NEW ENGL J MED,96,3,14,5,5,18,5,6,7,1,3,29
7,9.833,ANN INTERN MED,92,1,7,15,6,7,4,5,8,8,10,21
8,2.421,J GEN INTERN MED,92,4,6,7,6,6,10,10,12,11,6,14
9, ,J MED EDUC,91,0,0,1,0,0,0,2,0,0,0,88
10, ,FAM MED,52,1,3,10,14,3,7,2,3,2,1,6
11, ,COMMUNICATION,47,4,14,20,3,0,0,0,0,0,0,6
12,0.586,TEACH LEARN MED,36,0,5,6,3,3,1,5,3,4,3,3
13,5.960,AM J MED,35,0,9,6,6,3,3,1,1,1,0,5
14,2.192,AM J PREV MED,30,2,1,4,1,2,5,1,1,2,4,7
15,6.055,ARCH INTERN MED,24,0,2,1,1,1,2,1,0,6,2,8
16,5.331,BRIT MED J,24,0,3,5,3,3,1,1,0,0,3,5
17,2.851,J FAM PRACTICE,23,0,1,2,1,4,0,1,0,3,3,8
18,2.535,MED CARE,19,0,1,0,1,1,1,3,1,4,0,7
19,10.232,LANCET,17,1,4,1,2,1,3,0,0,0,1,4
20, ,ANN COMMUNITY ORIENT,16,0,0,0,0,0,0,0,0,7,1,8
21,2.352,CAN MED ASSOC J,16,0,1,3,1,1,1,2,4,0,0,3
22,0.696,EVAL HEALTH PROF,15,0,4,0,0,2,0,2,0,4,0,3
23,3.742,PEDIATRICS,15,1,2,3,0,1,0,2,1,0,0,5
24,1.395,J WOMENS HEALTH,13,1,0,5,3,0,2,0,1,1,0,0
