Citing Journal Data: AMERICAN JOURNAL OF PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1228,5,38,59,56,59,62,78,61,55,51,704
2, ,ALL OTHERS (420),420,2,28,33,17,21,21,18,14,23,16,227
3,2.753,J EXP PSYCHOL LEARN,84,0,1,3,5,3,8,9,4,9,5,37
4,1.507,MEM COGNITION,49,0,1,1,5,3,1,1,3,0,1,33
5,6.069,PSYCHOL REV,47,1,0,1,2,1,0,0,4,1,2,35
6,3.463,COGNITIVE PSYCHOL,27,0,0,0,1,1,1,1,2,0,3,18
7,2.247,J EXP PSYCHOL HUMAN,25,0,0,0,1,0,0,1,1,1,1,20
8,0.286,AM J PSYCHOL,23,0,1,0,0,2,1,0,2,0,1,16
9, ,J EXP PSYCHOL,22,0,0,0,0,0,0,0,0,0,0,22
10,1.844,J EDUC PSYCHOL,17,0,0,0,1,1,1,2,0,1,1,10
11, ,J VERB LEARN VERB BE,17,0,0,0,0,0,0,0,0,0,0,17
12,6.913,PSYCHOL BULL,17,1,0,0,0,1,1,0,3,0,2,9
13,6.857,AM PSYCHOL,16,0,0,0,2,1,0,1,5,0,1,6
14,3.636,J EXP PSYCHOL GEN,14,0,0,1,1,0,2,0,1,0,1,8
15,1.252,PERCEPT PSYCHOPHYS,13,0,0,0,0,0,1,1,0,1,1,9
16,2.565,PSYCHOL SCI,13,0,0,2,4,0,1,4,0,1,0,1
17,2.768,CHILD DEV,12,0,0,0,0,1,0,1,1,2,0,7
18,1.629,COGNITIVE SCI,12,0,0,0,1,0,1,3,0,1,1,5
19,1.193,PERCEPTION,12,0,0,0,1,0,2,1,0,0,0,8
20,2.638,J MEM LANG,11,0,0,0,1,3,1,1,2,0,2,1
21,2.460,J CONSUM RES,10,0,0,0,0,0,0,0,0,0,0,10
22,2.308,PSYCHOL AGING,10,0,0,0,1,0,1,2,1,2,0,3
23,1.053,BRIT J PSYCHOL,9,0,0,0,0,2,0,0,0,0,0,7
24,1.580,PSYCHON B REV,9,0,0,0,3,4,1,1,0,0,0,0
25, ,EMPIRICAL STUD AR,8,0,0,0,0,1,1,2,0,0,1,3
26, ,SCIENCE,8,0,0,0,0,1,0,0,0,1,0,6
27, ,ATTENTION PERFORM,7,0,0,0,0,0,0,0,2,0,1,4
28,1.962,CONSCIOUS COGN,7,0,0,1,0,1,0,5,0,0,0,0
29,1.276,J EXP CHILD PSYCHOL,7,0,0,1,1,0,0,0,0,1,0,4
30, ,J EXP PSYCHOL GENER,6,0,0,0,0,0,0,0,0,0,0,6
31,1.861,LAW HUMAN BEHAV,6,0,0,0,0,0,0,0,0,0,0,6
32,1.200,ORGAN BEHAV HUM DEC,6,0,0,0,0,0,1,0,0,0,0,5
33, ,PSYCHOL LEARN MOTIV,6,0,0,0,0,0,0,0,0,0,1,5
34,0.929,APPL COGNITIVE PSYCH,5,0,0,1,1,0,0,1,1,0,1,0
35, ,B PSYCHONOMIC SOC,5,0,0,0,0,0,0,0,0,0,2,3
36,1.430,CURR DIR PSYCHOL SCI,5,0,0,0,3,0,0,0,1,1,0,0
37, ,CURR ISSUES COGNI,5,0,0,0,0,0,0,0,0,0,0,5
