Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,656,6,4,32,40,39,21,11,18,21,20,444
2, ,ALL OTHERS (314),314,0,2,14,21,18,12,5,12,11,8,211
3,1.624,COMMUN ACM,20,0,0,0,0,0,0,3,0,0,0,17
4,2.029,ARTIF INTELL,18,0,0,0,0,0,0,0,0,0,0,18
5, ,INT J MAN MACH STUD,18,0,0,0,0,0,0,0,1,0,0,17
6,1.226,J AM SOC INFORM SCI,16,0,0,1,3,1,1,0,0,0,2,8
7, ,COGNITIVE SCI,10,0,0,0,0,0,0,0,0,1,0,9
8,1.146,COMPUT LINGUIST,10,0,0,0,0,0,0,0,0,0,0,10
9, ,THESIS U CALIF,9,0,0,0,0,0,0,0,0,0,1,8
10, ,P 8 INT JOINT C ART,8,0,0,0,0,0,0,0,0,0,0,8
11, ,USER MODELS DIALOG S,8,0,0,0,0,0,0,0,0,0,0,8
12,1.447,MACH LEARN,7,0,0,1,2,1,0,0,0,0,0,3
13,0.389,USER MODEL USER-ADAP,7,0,0,0,0,0,0,1,0,3,3,0
14,1.447,AI MAG,6,0,0,0,2,1,0,0,0,0,0,3
15, ,THESIS U SAARLANDES,6,0,0,0,0,0,0,0,0,0,4,2
16,0.900,ACM T INFORM SYST,4,0,0,0,0,0,0,0,0,1,0,3
17, ,ADV KNOWLEDGE DISCOV,4,0,0,0,0,4,0,0,0,0,0,0
18, ,AUTOMATIC TEXT PROCE,4,0,0,0,0,0,0,0,0,0,0,4
19, ,INFORM RETRIEVA,4,0,0,0,0,0,0,0,0,3,0,1
20, ,INTELLIGENT HELP SYS,4,3,0,1,0,0,0,0,0,0,0,0
21, ,P 10 INT JOINT C ART,4,0,0,0,0,0,0,0,0,0,0,4
22, ,P 6 INT WORLD WID WE,4,0,0,0,4,0,0,0,0,0,0,0
23, ,PLANNING UNDERSTANDI,4,0,0,0,0,0,0,0,0,0,0,4
24, ,READINGS INTELLIGENT,4,0,0,4,0,0,0,0,0,0,0,0
25, ,86254 UCBCSD,3,0,0,0,0,0,0,0,0,0,0,3
26, ,87351 UCBCSD,3,0,0,0,0,0,0,0,0,0,0,3
27, ,88396 UCBCSD,3,0,0,0,0,0,0,0,0,0,0,3
28,0.222,ARTIF INTELL REV,3,0,0,0,0,1,0,0,2,0,0,0
29,1.185,BIOL CYBERN,3,0,0,0,0,0,0,0,0,0,0,3
30, ,BUS WEEK,3,0,0,3,0,0,0,0,0,0,0,0
31, ,DESIGNING INTERACTIV,3,0,0,3,0,0,0,0,0,0,0,0
32, ,HUM COMPUT INTER,3,0,0,0,0,0,0,0,0,0,0,3
33, ,IEEE T SYST MAN CYB,3,0,0,0,0,0,0,0,0,1,0,2
34,0.719,INFORM PROCESS MANAG,3,0,0,0,0,1,0,0,0,0,0,2
35, ,INTELLIGENT HELPS SY,3,3,0,0,0,0,0,0,0,0,0,0
36,0.750,J VIS COMMUN IMAGE R,3,0,0,0,0,2,1,0,0,0,0,0
37, ,MATRIX COMPUTATIONS,3,0,0,0,0,1,0,0,0,0,0,2
38, ,P 2 IFIP C HUM COMP,3,0,0,0,0,0,0,0,0,0,0,3
