Citing Journal Data: BRITISH JOURNAL OF PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1291,6,44,87,81,79,86,55,72,65,53,663
2, ,ALL OTHERS (516),516,3,16,24,27,30,32,17,29,26,30,282
3,6.069,PSYCHOL REV,35,1,0,1,3,1,5,1,3,1,1,18
4,1.053,BRIT J PSYCHOL,30,2,1,0,3,1,0,0,0,2,1,20
5,2.247,J EXP PSYCHOL HUMAN,26,0,0,2,1,2,3,0,1,0,1,16
6,1.844,J EDUC PSYCHOL,22,0,0,1,1,1,1,0,0,2,2,14
7,1.507,MEM COGNITION,22,0,0,2,0,2,2,3,1,2,0,10
8,2.753,J EXP PSYCHOL LEARN,21,0,0,2,2,2,4,1,0,3,0,7
9,3.172,J PERS SOC PSYCHOL,17,0,1,0,1,0,2,1,0,2,1,9
10,1.730,J APPL PSYCHOL,15,0,1,1,1,1,0,3,2,0,1,5
11,6.913,PSYCHOL BULL,15,0,0,0,1,1,1,0,0,1,0,11
12, ,NATURE,13,0,5,3,0,1,0,1,0,0,1,2
13,2.622,COGNITION,12,0,0,4,2,1,1,0,1,0,0,3
14,3.463,COGNITIVE PSYCHOL,12,0,0,0,0,2,0,1,0,0,0,9
15,0.920,PERS INDIV DIFFER,12,0,1,5,1,1,0,1,0,3,0,0
16,1.452,Q J EXP PSYCHOL-A,11,0,0,2,2,1,2,1,0,1,1,1
17,0.929,APPL COGNITIVE PSYCH,10,0,0,0,2,2,1,0,0,2,0,3
18, ,J VERB LEARN VERB BE,10,0,0,0,0,0,0,0,0,0,0,10
19,1.193,PERCEPTION,10,0,0,3,1,0,1,1,0,0,0,4
20,2.565,PSYCHOL SCI,10,0,2,1,0,2,0,4,0,0,0,1
21,1.267,ACTA PSYCHOL,9,0,0,0,1,0,2,1,0,1,1,3
22, ,J EXP PSYCHOL,9,0,0,0,0,0,0,0,0,0,0,9
23, ,Q J EXP PSYCHOL,9,0,0,0,0,0,0,0,0,0,0,9
24,2.044,DEV PSYCHOL,8,0,0,0,0,0,0,0,0,1,0,7
25,1.522,MEMORY,8,0,0,4,0,2,1,0,1,0,0,0
26, ,PHILOS T ROY SOC LON,8,0,0,0,0,0,0,0,0,0,0,8
27,0.264,PSYCHOLOGIST,8,0,1,2,1,0,1,0,3,0,0,0
28,0.286,AM J PSYCHOL,7,0,0,1,0,0,0,0,1,0,0,5
29,6.857,AM PSYCHOL,7,0,0,0,0,1,1,0,1,0,0,4
30,0.537,BRIT J EDUC PSYCHOL,7,0,0,1,0,0,1,0,1,1,0,3
31,1.360,PSYCHOL RES-PSYCH FO,7,0,0,0,1,0,1,3,0,1,0,1
32,3.636,J EXP PSYCHOL GEN,6,0,0,0,0,0,1,0,1,1,0,3
33,2.778,NEUROPSYCHOLOGIA,6,0,0,0,0,0,1,0,0,0,0,5
34, ,OXFORD MAGAZINE,6,0,0,0,3,1,1,0,0,0,0,1
35,0.308,PERCEPT MOTOR SKILL,6,0,0,1,0,0,0,0,1,0,1,3
36,1.580,PSYCHON B REV,6,0,0,2,1,2,0,1,0,0,0,0
37, ,SCIENCE,6,0,0,0,0,0,0,0,0,0,0,6
38, ,ATTENTION PERFORM,5,0,1,0,0,0,0,0,1,0,0,3
39, ,B PSYCHONOMIC SOC,5,0,0,0,0,0,0,0,2,0,0,3
40, ,CHRONOBIOL INT,5,0,0,0,1,1,1,0,0,0,0,2
41,1.629,COGNITIVE SCI,5,0,2,0,0,0,1,0,1,0,0,1
42, ,CORTEX,5,0,0,0,0,0,2,0,0,1,0,2
43,0.691,ERGONOMICS,5,0,0,0,0,0,0,0,0,0,0,5
44, ,P ROY SOC LOND B BIO,5,0,2,0,0,0,1,0,0,1,0,1
45,1.252,PERCEPT PSYCHOPHYS,5,0,0,1,0,0,0,0,0,0,0,4
46, ,TRENDS ECOL EVOL,5,0,0,1,0,1,1,2,0,0,0,0
47, ,AM SCI,4,0,0,0,0,0,0,0,0,0,0,4
48,14.250,BEHAV BRAIN SCI,4,0,0,1,1,0,0,0,0,1,0,1
49,1.091,BRIT J CLIN PSYCHOL,4,0,0,0,0,3,0,0,0,0,0,1
50,0.800,BRIT J DEV PSYCHOL,4,0,0,0,0,1,0,0,1,1,0,1
51,2.768,CHILD DEV,4,0,0,0,0,0,0,0,1,0,0,3
52,3.517,EDUC PSYCHOL,4,0,1,0,0,0,1,0,0,0,1,1
53, ,IEEE T SYST MAN CYB,4,0,0,0,0,0,0,0,0,1,0,3
54,3.352,J ABNORM PSYCHOL,4,0,0,0,1,0,0,1,0,0,0,2
55,0.722,J APPL SOC PSYCHOL,4,0,0,1,0,0,0,0,0,0,0,3
56,0.373,J COMMUNITY APPL SOC,4,0,0,0,0,0,2,2,0,0,0,0
57, ,RETHINKING METHODS P,4,0,0,0,0,0,3,0,0,0,0,1
58, ,THINKING REASONING,4,0,0,0,4,0,0,0,0,0,0,0
59,5.250,ADV EXP SOC PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
60,5.851,ANNU REV PSYCHOL,3,0,0,0,0,1,0,0,0,1,0,1
61, ,CAN J PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
62, ,DOING QUAL AN,3,0,0,0,3,0,0,0,0,0,0,0
63, ,EUR J COGNITIVE,3,0,0,0,0,0,0,0,0,0,1,2
64, ,EVERYDAY MEMORY ACTI,3,0,0,0,0,0,0,0,0,0,0,3
65, ,EYEWITNESS TESTIMONY,3,0,0,0,0,1,0,0,0,0,0,2
66, ,EYSENCK PERSONALITY,3,0,1,0,0,1,0,0,0,0,1,0
67, ,GEN THEOR EXPERTISE,3,0,0,0,0,0,0,0,0,0,2,1
68,0.954,HUM FACTORS,3,0,1,0,0,0,0,0,0,0,0,2
69, ,J EXP PSYCHOL GENER,3,0,0,0,0,0,0,0,0,0,0,3
70,2.638,J MEM LANG,3,0,0,0,0,0,0,0,1,0,0,2
71, ,J SLEEP RES,3,0,0,0,1,0,0,0,0,2,0,0
72,0.875,LANG COGNITIVE PROC,3,0,0,1,1,0,0,0,0,0,0,1
73,0.639,LANG SPEECH,3,0,0,0,0,0,0,0,0,0,0,3
74, ,MENT MODELS,3,0,0,0,0,0,0,0,0,0,0,3
75,1.133,MOTIV EMOTION,3,0,0,0,0,0,0,0,0,1,1,1
76, ,NEW SCI,3,0,0,0,1,0,1,0,0,1,0,0
