Citing Journal Data: COGNITION,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,2615,59,182,206,170,166,205,143,144,115,117,1108
2, ,ALL OTHERS (741),741,35,55,34,48,39,43,34,34,29,30,360
3,2.622,COGNITION,177,2,18,19,7,13,17,14,5,18,12,52
4,6.069,PSYCHOL REV,97,0,4,0,2,10,6,11,3,8,9,44
5,3.463,COGNITIVE PSYCHOL,64,0,5,4,1,5,3,1,1,5,0,39
6,2.638,J MEM LANG,55,1,5,15,8,5,3,0,3,3,3,9
7,2.768,CHILD DEV,49,0,1,5,2,2,2,0,3,2,7,25
8,2.753,J EXP PSYCHOL LEARN,46,0,4,5,2,7,7,4,2,6,1,8
9,2.247,J EXP PSYCHOL HUMAN,44,0,3,3,3,1,5,4,2,0,0,23
10,1.507,MEM COGNITION,37,0,0,3,2,0,5,2,5,0,1,19
11,0.962,COGNITIVE DEV,34,0,2,1,8,1,8,2,7,1,1,3
12,1.252,PERCEPT PSYCHOPHYS,31,0,1,0,2,0,2,4,3,1,1,17
13,1.452,Q J EXP PSYCHOL-A,29,0,2,0,2,2,2,0,5,3,3,10
14,14.250,BEHAV BRAIN SCI,28,0,8,0,1,2,0,3,6,0,0,8
15,2.044,DEV PSYCHOL,28,0,3,1,4,2,6,0,2,1,1,8
16,0.945,J CHILD LANG,27,0,0,4,4,0,2,3,3,1,0,10
17, ,NATURE,27,0,1,4,5,5,1,5,0,3,0,3
18,2.565,PSYCHOL SCI,25,0,3,9,2,3,0,1,2,0,2,3
19, ,SCIENCE,25,0,2,0,2,4,3,1,1,1,3,8
20,1.629,COGNITIVE SCI,24,0,1,0,0,1,3,2,0,0,2,15
21,1.188,INFANT BEHAV DEV,21,0,1,11,0,2,1,0,2,0,0,4
22,0.800,BRIT J DEV PSYCHOL,19,0,2,1,0,0,3,0,1,0,3,9
23,1.065,MUSIC PERCEPT,19,0,1,3,1,1,1,1,3,0,2,6
24,6.913,PSYCHOL BULL,18,0,0,1,1,1,2,0,0,0,2,11
25,1.276,J EXP CHILD PSYCHOL,17,0,0,1,0,2,1,0,1,1,0,11
26, ,J VERB LEARN VERB BE,15,0,0,0,0,0,0,0,0,0,0,15
27,3.636,J EXP PSYCHOL GEN,14,0,0,0,0,0,1,2,1,0,0,10
28,1.580,PSYCHON B REV,14,0,1,3,2,0,6,2,0,0,0,0
29,1.473,BRAIN LANG,13,0,0,1,1,1,0,1,0,2,0,7
30,0.875,LANG COGNITIVE PROC,13,0,3,0,4,0,0,0,2,1,0,3
31, ,TRENDS COGNITIVE SCI,13,1,2,10,0,0,0,0,0,0,0,0
32,2.180,COGNITIVE NEUROPSYCH,12,0,0,0,3,0,1,0,1,2,1,4
33,2.940,J CHILD PSYCHOL PSYC,12,0,0,3,2,0,0,1,1,0,1,4
34,1.193,PERCEPTION,12,0,0,1,2,1,2,0,3,1,0,2
35,1.053,BRIT J PSYCHOL,11,0,0,0,0,2,1,0,0,0,0,8
36,0.725,J PSYCHOLINGUIST RES,11,0,1,1,1,1,2,1,0,0,1,3
37,0.385,MIND LANG,11,0,0,1,2,0,3,1,0,2,0,2
38,3.000,MONOGR SOC RES CHILD,11,0,0,1,1,2,0,1,1,1,0,4
39,1.360,PSYCHOL RES-PSYCH FO,11,0,0,3,0,0,2,0,1,1,0,4
40, ,PSYCHOMUSICOLOGY,11,0,0,0,0,0,0,0,3,0,0,8
