Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,758,5,23,44,62,46,84,71,64,59,47,253
2, ,ALL OTHERS (405),405,3,16,24,31,23,33,44,36,34,24,137
3,2.029,ARTIF INTELL,37,0,0,1,3,2,3,2,2,3,4,17
4,1.091,COMPUT INTELL,15,0,1,2,2,2,3,0,0,0,1,4
5,1.447,MACH LEARN,13,0,0,0,2,1,2,0,3,0,2,3
6,1.146,COMPUT LINGUIST,12,0,0,2,1,1,3,0,1,1,2,1
7, ,P 6 MESS UND C MUC 6,9,0,0,0,0,0,8,0,0,0,0,1
8,0.253,LECT NOTES ARTIF INT,8,0,0,1,1,1,0,1,0,1,1,2
9, ,PRINCIPLE BASED PARS,8,0,0,0,0,0,0,0,0,8,0,0
10, ,COGNITIVE SCI,6,0,0,0,0,0,0,0,0,0,0,6
11,1.624,COMMUN ACM,6,0,0,0,0,0,0,0,0,0,0,6
12,0.635,INFORM COMPUT,6,0,0,0,0,0,0,0,0,0,0,6
13, ,P 14 INT JOINT C ART,6,0,0,0,0,0,6,0,0,0,0,0
14, ,P 2 INT WORKSH TEMP,6,0,0,0,0,0,6,0,0,0,0,0
15,1.793,ARTIF INTELL MED,5,0,0,1,0,1,1,0,0,1,1,0
16,1.333,IEEE COMPUT GRAPH,5,0,0,0,5,0,0,0,0,0,0,0
17, ,IEEE EXPERT,5,0,0,0,1,0,0,0,2,1,0,1
18,0.719,INFORM PROCESS MANAG,5,0,0,0,0,0,2,0,0,0,0,3
19, ,KNOWL ACQUIS,5,0,0,0,0,0,0,0,2,3,0,0
20, ,P 5 INT WORKSH TEMP,5,0,0,5,0,0,0,0,0,0,0,0
21,0.654,IEEE T INFORM THEORY,4,0,0,0,0,0,0,0,0,0,0,4
22, ,IEEE T SYST MAN CYB,4,0,0,0,0,0,0,0,0,0,0,4
23,2.105,INFORM SYST,4,0,0,0,0,0,2,0,0,1,0,1
24, ,J DOC,4,0,0,0,1,0,0,0,0,0,0,3
25,0.822,J LOGIC COMPUT,4,0,1,0,0,0,0,1,2,0,0,0
26, ,NIST SPEC PUBLICA,4,0,0,0,2,2,0,0,0,0,0,0
27, ,P 13 INT JOINT C ART,4,0,0,0,0,0,0,0,4,0,0,0
28, ,P 5 NAT C ART INT PH,4,0,0,0,0,0,0,0,0,0,0,4
29, ,P 9 INT JOINT C ART,4,0,0,0,0,0,1,0,0,0,0,3
30, ,P INT JOINT C ART IN,4,0,0,0,0,0,4,0,0,0,0,0
31, ,THESIS U PENN,4,0,0,1,0,0,0,0,1,0,0,2
32, ,COHESION ENGLISH,3,0,0,0,0,0,0,0,0,0,0,3
33, ,HDB LOGIC ARTIFICIAL,3,0,0,0,0,0,0,3,0,0,0,0
34, ,INFORM RETRIEVA,3,0,0,0,0,0,0,0,0,0,0,3
35,0.450,INT J INTELL SYST,3,0,0,0,0,0,0,0,0,0,3,0
36,2.083,J ACM,3,0,0,0,0,0,0,1,0,0,0,2
37,1.226,J AM SOC INFORM SCI,3,0,0,0,0,0,0,0,1,0,0,2
38, ,P 11 EUR C ART INT E,3,0,0,0,0,0,0,3,0,0,0,0
39, ,P 2 INT C PRINC KNOW,3,0,0,0,0,0,0,0,0,0,3,0
40, ,P 3 INT WORKSH TEMP,3,0,0,0,0,3,0,0,0,0,0,0
41, ,P 4 INT C PRINC KNOW,3,0,0,0,0,0,0,3,0,0,0,0
42, ,P 5 C APPL NAT LANG,3,0,0,0,3,0,0,0,0,0,0,0
43, ,P AAAI,3,0,0,0,0,0,0,0,0,0,1,2
44,1.077,PATTERN RECOGN,3,0,0,1,0,0,0,0,0,0,0,2
45, ,PHILOS LANGUAGE,3,0,0,0,0,0,0,0,0,0,0,3
46, ,WAYS SCOPE TAKING,3,0,0,0,3,0,0,0,0,0,0,0
47,1.000,ACM T DATABASE SYST,2,0,0,1,0,0,0,0,1,0,0,0
48,0.671,ANN MATH ARTIF INTEL,2,0,0,1,0,0,1,0,0,0,0,0
49, ,AUTOMATIC TEXT PROCE,2,0,0,0,0,0,0,0,0,0,0,2
50, ,C4 5 PROGRAMS MACHIN,2,0,0,0,0,0,0,0,2,0,0,0
51, ,CLASSIFICATION REGRE,2,0,0,0,0,0,0,0,0,0,0,2
52, ,COLING ACL 98,2,0,0,2,0,0,0,0,0,0,0,0
53,0.635,COMPUT BIOMED RES,2,0,0,0,0,0,0,0,1,1,0,0
54,0.398,COMPUT J,2,0,0,0,0,0,0,0,0,1,0,1
55, ,COMPUT LEXICA,2,0,0,0,0,0,2,0,0,0,0,0
56, ,FEATURES FLUENTS SYS,2,0,0,0,0,0,0,2,0,0,0,0
