Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,586,7,30,47,40,39,40,55,27,30,27,244
2, ,ALL OTHERS (265),265,5,13,17,19,20,21,17,16,12,8,117
3,0.818,CONNECT SCI,31,2,1,6,1,5,2,1,1,4,3,5
4,2.029,ARTIF INTELL,15,0,0,0,0,0,1,1,0,0,1,12
5,6.069,PSYCHOL REV,14,0,0,1,1,2,1,0,0,1,0,8
6, ,COGNITION,13,0,1,2,1,0,0,0,3,0,0,6
7, ,COGNITIVE SCI,13,0,1,0,0,0,0,1,0,0,0,11
8,14.250,BEHAV BRAIN SCI,12,0,0,1,2,0,0,0,2,0,0,7
9, ,MIND LANG,12,0,0,0,0,0,1,11,0,0,0,0
10,2.702,NEURAL COMPUT,11,0,1,0,1,3,0,0,0,2,0,4
11,1.221,NEURAL NETWORKS,11,0,3,1,1,0,1,3,0,0,1,1
12, ,ANIMALS ANIMATS,7,0,0,0,0,2,0,0,2,0,3,0
13,3.463,COGNITIVE PSYCHOL,7,0,0,5,0,0,0,0,0,0,1,1
14,0.219,MIND MACH,7,0,1,0,4,0,1,0,1,0,0,0
15, ,ADV NEURAL INFORMATI,6,0,0,1,1,1,1,1,1,0,0,0
16,1.365,J EXP PSYCHOL ANIM B,6,0,0,0,0,1,1,0,0,1,0,3
17, ,P 16 ANN C COGN SCI,6,0,0,0,0,0,0,6,0,0,0,0
18,1.000,Q J EXP PSYCHOL-B,6,0,0,0,0,0,0,0,0,0,0,6
19,1.096,IEEE T NEURAL NETWOR,5,0,0,0,0,0,2,1,0,2,0,0
20, ,PARALLEL DISTRIBUTED,5,0,0,0,0,0,0,0,0,0,0,5
21,2.094,IEEE T PATTERN ANAL,4,0,0,0,1,0,0,2,0,0,0,1
22, ,P 21 ANN C COGN SCI,4,0,4,0,0,0,0,0,0,0,0,0
23,0.346,PATTERN RECOGN LETT,4,0,1,0,0,0,1,0,0,0,1,1
24, ,RAM BASED NEURAL NET,4,0,0,4,0,0,0,0,0,0,0,0
25, ,ADAPT BEHAV,3,0,0,1,0,1,0,1,0,0,0,0
26, ,ADV CONNECTIONIST NE,3,0,0,0,0,0,0,2,0,0,1,0
27,2.138,ANIM BEHAV,3,0,1,0,0,0,0,0,0,0,0,2
28,1.105,ANIM LEARN BEHAV,3,0,0,1,0,0,0,1,0,0,0,1
29, ,ANIMALS ANIMALS,3,0,0,0,0,1,0,1,0,0,1,0
30,1.624,COMMUN ACM,3,0,0,0,0,0,0,0,0,0,0,3
31,0.304,COMP STAND INTER,3,0,0,0,0,0,0,3,0,0,0,0
32,0.457,CYBERNET SYST,3,0,0,0,1,0,0,0,0,2,0,0
33, ,J COMP PHYSIOL PSYCH,3,0,0,0,0,0,0,0,0,0,0,3
34,1.447,MACH LEARN,3,0,0,0,0,0,0,0,0,1,1,1
35,25.814,NATURE,3,0,0,1,0,0,0,0,0,0,0,2
36, ,NEURAL NETWORKS COMP,3,0,0,1,0,0,0,2,0,0,0,0
37,1.252,PERCEPT PSYCHOPHYS,3,0,0,0,0,0,0,0,0,0,0,3
38, ,PHILOS CONNECTIONIST,3,0,0,0,0,0,0,0,0,0,3,0
39,2.831,PHYS REV A,3,0,0,0,0,0,0,0,0,0,0,3
40,1.643,PHYSICA D,3,0,0,0,0,0,0,0,0,0,0,3
41,1.419,PHYSIOL BEHAV,3,0,0,0,1,0,0,0,0,0,0,2
42, ,SPARSE DISTRIBUTED M,3,0,0,0,0,0,0,0,0,0,0,3
43, ,SYMBOLIC CONNECTIONI,3,0,0,0,0,0,0,0,0,3,0,0
44,0.417,THEOR COMPUT SCI,3,0,0,1,0,1,0,1,0,0,0,0
45,1.381,ANN NY ACAD SCI,2,0,0,0,0,0,0,0,0,0,0,2
46, ,ARTIFICIAL NEURAL NE,2,0,0,0,0,1,0,0,0,0,1,0
47, ,COMP APPROACHES COGN,2,0,0,0,0,0,2,0,0,0,0,0
48, ,EXPLORATIONS MICROST,2,0,0,0,0,0,0,0,0,0,0,2
49, ,HDB BRAIN THEORY NEU,2,0,0,0,0,0,2,0,0,0,0,0
50,0.986,IEEE T ROBOTIC AUTOM,2,0,0,0,0,0,0,0,0,1,0,1
51,0.635,INFORM COMPUT,2,0,0,0,0,1,0,0,0,0,0,1
52, ,INTRO NEURAL COMPUTI,2,0,0,0,0,0,1,0,0,0,0,1
53, ,J COMP PHYSIOL,2,0,0,0,0,0,0,0,0,0,0,2
54,1.172,J EXP ANAL BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
55, ,J EXP PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
56, ,J INTELLIGENT SYSTEM,2,0,0,0,0,0,0,0,0,1,1,0
57, ,LEARN COMPUTATION,2,0,0,0,0,0,0,0,0,0,0,2
58, ,LEARN MOTIV,2,0,0,0,1,0,0,0,0,0,0,1
59,0.390,LECT NOTES COMPUT SC,2,0,1,0,0,0,0,0,0,0,1,0
