Citing Journal Data: CONTEMPORARY EDUCATIONAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1009,9,15,23,50,88,63,69,52,64,63,513
2, ,ALL OTHERS (292),292,1,2,7,11,18,13,14,9,20,21,176
3,1.844,J EDUC PSYCHOL,121,0,5,3,11,9,14,6,7,10,2,54
4,0.595,CONTEMP EDUC PSYCHOL,38,0,1,2,1,11,1,9,3,3,3,4
5,3.172,J PERS SOC PSYCHOL,32,0,0,0,2,3,2,0,1,0,0,24
6,2.768,CHILD DEV,26,0,0,1,0,1,4,0,2,1,2,15
7, ,AM EDUC RES J,24,0,0,0,1,3,0,3,0,2,2,13
8,3.517,EDUC PSYCHOL,23,0,0,0,1,1,1,1,2,1,7,9
9,2.088,REV EDUC RES,22,0,0,2,1,2,3,4,2,0,3,5
10,6.069,PSYCHOL REV,19,0,0,1,1,0,1,0,0,0,0,16
11,1.507,MEM COGNITION,16,0,0,0,0,1,1,2,1,1,1,9
12,6.857,AM PSYCHOL,15,0,1,0,1,0,0,2,0,2,0,9
13,2.486,READ RES QUART,14,0,0,0,0,1,1,0,3,0,0,9
14,6.913,PSYCHOL BULL,13,0,0,0,0,2,1,2,0,2,0,6
15,1.629,COGNITIVE SCI,12,0,0,1,0,0,0,0,0,2,1,8
16,2.753,J EXP PSYCHOL LEARN,11,0,0,0,2,0,1,0,1,0,3,4
17, ,ADV MOTIVATION ACHIE,10,0,0,0,4,0,0,0,1,0,5,0
18,3.463,COGNITIVE PSYCHOL,10,0,0,0,0,1,0,1,1,0,0,7
19, ,CONT EDUC PSYCHOL,10,8,0,0,0,0,1,0,0,1,0,0
20,0.537,BRIT J EDUC PSYCHOL,9,0,0,0,0,0,4,2,2,0,0,1
21, ,J READING BEHAV,9,0,0,0,0,0,1,1,2,2,0,3
22, ,ANNU M AM EDUC RES,7,0,0,1,2,1,0,0,1,0,1,1
23,2.044,DEV PSYCHOL,7,0,0,0,0,0,0,0,2,0,1,4
24,0.608,EDUC PSYCHOL MEAS,7,0,1,0,0,1,0,0,1,0,0,4
