Citing Journal Data: INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3595,42,172,273,381,332,273,246,244,211,140,1281
2, ,ALL OTHERS (1630),1630,21,81,130,161,141,118,123,109,97,78,571
3, ,ARTIF INTELL,66,0,4,0,6,12,6,4,5,3,0,26
4, ,COMMUN ACM,50,0,2,5,2,4,8,13,3,1,1,11
5,0.333,INT J HUM-COMPUT ST,46,1,0,6,10,13,9,7,0,0,0,0
6, ,INT J MAN MACH STUD,38,0,0,0,0,0,0,0,3,2,5,28
7,1.146,COMPUT LINGUIST,31,0,1,7,2,1,7,0,4,1,0,8
8,1.629,COGNITIVE SCI,29,0,1,0,1,1,3,1,9,0,0,13
9,0.954,HUM FACTORS,28,0,0,4,5,1,1,1,0,2,0,14
10,0.413,BEHAV INFORM TECHNOL,26,1,0,1,1,1,6,1,1,2,2,10
11,3.172,J PERS SOC PSYCHOL,26,0,0,0,1,0,0,0,0,1,0,24
12,2.064,MIS QUART,24,0,4,0,0,0,3,2,4,3,1,7
13,0.691,ERGONOMICS,23,0,0,6,5,4,1,1,0,3,1,2
14, ,HUM COMPUT INTER,23,0,0,1,1,0,1,3,5,4,2,6
15, ,MACH LEARN,22,0,0,3,1,0,1,2,2,0,3,10
16, ,COMPUT SUPPORTED C,20,0,5,0,0,3,2,0,4,6,0,0
17, ,INT J HUMAN COMPUTER,19,11,1,2,2,2,0,0,0,1,0,0
18,6.069,PSYCHOL REV,19,0,0,0,1,0,0,1,2,0,0,15
19, ,LECT NOTES ARTIF INT,18,0,2,0,3,5,4,2,0,1,0,1
20,0.683,INFORM MANAGE,17,0,1,2,3,3,2,0,1,0,1,4
21, ,PRESENCE-TELEOP VIRT,17,0,2,2,2,5,0,1,0,5,0,0
22, ,ACM T INFORM SYST,15,0,1,0,0,1,1,3,1,0,0,8
23, ,CONTEXT CONSCIOUSNES,15,0,0,0,0,13,2,0,0,0,0,0
24, ,HANDB HUM COMPUTER I,15,0,0,0,10,0,0,0,0,0,1,4
25, ,INTENTIONS COMMUNICA,15,0,0,0,0,0,0,0,0,0,0,15
26,2.460,J CONSUM RES,15,0,0,0,1,0,0,0,0,1,1,12
27, ,COMPUT MODELS,14,0,0,1,0,0,0,0,0,0,0,13
28, ,HUM-COMPUT INTERACT,14,0,2,2,1,4,1,4,0,0,0,0
29, ,INTERACT COMPUT,14,0,0,2,0,4,0,0,2,2,1,3
30,3.463,COGNITIVE PSYCHOL,13,0,0,1,0,0,0,0,0,0,0,12
31, ,IEEE T SYST MAN CYB,13,0,0,1,0,0,1,0,2,4,0,5
32,1.730,J APPL PSYCHOL,13,0,0,1,0,0,0,0,0,0,0,12
33, ,ALLFN 97 REVISITING,12,0,0,0,12,0,0,0,0,0,0,0
34, ,COGNITION COMMUNICAT,12,0,0,0,0,11,0,0,0,1,0,0
35, ,COMPUT INTELL,11,0,1,0,1,0,0,0,1,2,1,5
36, ,HUM FACTORS COMPUT,11,0,0,0,3,3,1,2,0,0,1,1
37, ,INTERACTIONS,11,0,1,3,4,2,1,0,0,0,0,0
38,1.226,J AM SOC INFORM SCI,11,3,1,1,2,0,0,1,0,0,0,3
39, ,J MANAGE INFORMA,11,0,0,1,1,4,4,1,0,0,0,0
40, ,AI MAG,10,0,0,1,0,1,0,0,1,0,2,5
41, ,COGNITION WILD,10,0,0,0,0,0,9,1,0,0,0,0
42,0.719,INFORM PROCESS MANAG,10,0,2,0,0,0,0,0,4,0,0,4
43, ,PLANS SITUATED ACTIO,10,0,0,0,0,0,0,0,1,0,0,9
44, ,SCENARIO BASED DESIG,10,0,0,0,0,0,10,0,0,0,0,0
45, ,ALLFN 97,9,0,0,0,9,0,0,0,0,0,0,0
46, ,PEOPLE COMPUTERS,9,0,0,1,2,2,1,0,0,1,0,2
47, ,SOC SCI TECHNICAL,9,0,0,0,9,0,0,0,0,0,0,0
48, ,UNDERSTANDING COMPUT,9,0,0,0,0,0,0,0,0,0,0,9
49,3.333,ADMIN SCI QUART,8,0,0,0,0,0,0,0,0,0,0,8
50, ,HANDB HUM FACTORS ER,8,0,0,0,7,0,0,0,0,0,0,1
51, ,IEEE EXPERT,8,0,0,0,1,0,1,2,1,0,0,3
52,1.200,ORGAN BEHAV HUM DEC,8,0,1,0,0,1,1,0,0,1,0,4
53,6.913,PSYCHOL BULL,8,0,0,0,1,0,1,0,0,0,0,6
54, ,EUR KNOWL ACQ WORKSH,7,0,0,0,0,0,0,1,3,1,0,2
55, ,HANDB HUM FACTORS,7,0,0,0,3,0,0,0,0,0,0,4
56, ,KNOWL ACQUIS,7,0,0,0,0,0,0,0,3,1,0,3
57, ,KNOWL-BASED SYST,7,0,0,1,1,0,2,2,0,0,0,1
58, ,P 15 INT JOINT C ART,7,0,0,0,7,0,0,0,0,0,0,0
59,3.106,PSYCHOPHYSIOLOGY,7,0,0,0,0,0,0,0,1,0,0,6
60, ,SCIENCE,7,0,0,0,0,0,1,0,0,0,0,6
61, ,ANNU REV ASTRON ASTR,6,0,0,0,0,0,0,0,0,0,0,6
62, ,COMPUTER,6,0,0,0,1,0,1,1,1,1,0,1
63, ,DATA KNOWL ENG,6,0,1,2,1,0,1,0,0,0,0,1
64, ,ERGONOMICS DES,6,0,0,0,0,3,0,0,3,0,0,0
65, ,HUM ENG EFFECTIVE,6,0,0,0,0,0,0,0,0,0,0,6
66, ,IEEE T KNOWL DATA EN,6,0,0,1,1,2,0,0,0,2,0,0
