Citing Journal Data: JOURNAL OF CHILD LANGUAGE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1134,4,24,59,92,71,65,65,86,55,46,567
2, ,ALL OTHERS (389),389,3,10,13,37,24,22,16,19,14,14,217
3,0.945,J CHILD LANG,134,0,2,7,15,9,10,15,15,7,1,53
4,2.044,DEV PSYCHOL,35,0,1,2,0,6,1,1,3,2,6,13
5,2.622,COGNITION,33,0,1,2,3,1,1,3,1,3,5,13
6,2.768,CHILD DEV,29,0,1,4,2,4,1,0,3,0,3,11
7,3.000,MONOGR SOC RES CHILD,21,0,0,1,2,0,0,8,3,1,0,6
8, ,CROSSLINGUISTIC STUD,18,0,0,0,5,0,1,0,0,2,0,10
9, ,J SPEECH HEAR RES,18,0,0,0,0,1,0,2,3,0,1,11
10, ,LANGUAGE ACQUISITION,17,0,0,0,0,2,0,0,2,1,0,12
11,0.962,COGNITIVE DEV,16,0,0,1,0,2,4,0,7,0,0,2
12,3.371,LANGUAGE,16,0,0,0,0,0,1,1,4,0,0,10
13,0.818,APPL PSYCHOLINGUIST,15,1,0,2,1,1,0,0,0,1,1,8
14, ,1 LANGUAGE,13,0,0,2,1,3,1,1,0,0,2,3
15, ,J SPEECH HEAR DISORD,9,0,0,0,0,0,0,0,0,0,0,9
16,1.477,LINGUIST INQ,9,0,0,1,0,1,0,0,2,0,0,5
17, ,CHILDRENS LANGUAGE,8,0,0,0,0,0,0,0,0,0,0,8
18,0.750,MERRILL PALMER QUART,8,0,0,0,0,0,0,0,0,0,1,7
19,6.069,PSYCHOL REV,8,0,0,0,0,1,0,0,1,1,0,5
20, ,HANDB CHILD LANGUAGE,7,0,0,0,1,0,6,0,0,0,0,0
21,2.638,J MEM LANG,7,0,0,0,1,1,0,2,0,1,0,2
22,1.590,J SPEECH LANG HEAR R,7,0,1,2,4,0,0,0,0,0,0,0
23, ,J VERB LEARN VERB BE,7,0,0,0,0,0,0,0,0,0,0,7
24, ,LANGUAGE DEV,7,0,0,0,1,0,0,0,0,0,0,6
25, ,1 LANGUAGE EARLY STA,6,0,0,0,0,0,0,0,0,0,0,6
26, ,1 WORDS GRAMMAR INDI,5,0,0,0,0,0,0,0,0,0,0,5
27, ,1ST LANGUAGE,5,0,0,0,0,0,0,0,1,2,0,2
28, ,BIENN M SOC RES CHIL,5,0,0,0,2,0,1,0,1,0,0,1
29,3.463,COGNITIVE PSYCHOL,5,0,0,1,0,0,0,0,1,0,0,3
30,1.629,COGNITIVE SCI,5,0,0,0,0,0,1,0,0,0,0,4
31,0.706,INT J BEHAV DEV,5,0,0,0,1,0,2,0,0,0,0,2
32,2.940,J CHILD PSYCHOL PSYC,5,0,0,0,0,0,0,2,0,0,1,2
33,1.276,J EXP CHILD PSYCHOL,5,0,0,0,1,0,0,0,0,0,0,4
34,0.725,J PSYCHOLINGUIST RES,5,0,0,0,0,0,0,0,0,0,0,5
35,0.353,LINGUISTICS,5,0,0,2,0,1,0,0,0,0,0,2
36, ,MACARTHUR COMMUNICAT,5,0,0,0,0,0,0,0,5,0,0,0
37, ,PHONOLOGICAL DEV MOD,5,0,0,0,0,0,0,0,0,5,0,0
38, ,PRIVATE SPEECH SOCIA,5,0,0,0,0,0,0,0,0,5,0,0
39, ,1 VERBS CASE STUDY E,4,0,0,0,0,0,0,0,0,4,0,0
40,1.516,BEHAV GENET,4,0,0,0,1,1,0,0,0,0,1,1
41, ,CATEGORIES PROCESSES,4,0,0,0,0,0,0,0,0,0,0,4
42, ,HDB CHILD LANGUAGE A,4,0,3,0,0,0,0,0,0,0,1,0
43,2.753,J EXP PSYCHOL LEARN,4,0,0,1,0,0,0,0,1,0,1,1
44, ,LANGUAGE LEARNABILIT,4,0,0,0,0,0,0,0,0,0,0,4
45, ,PAP REP CHILD,4,0,0,0,0,0,0,0,0,0,0,4
46, ,SCIENCE,4,0,1,0,1,1,0,0,0,0,0,1
47,0.886,SOC DEV,4,0,0,0,0,1,1,0,0,2,0,0
48, ,STUD CHILD LANGUA,4,0,0,0,0,0,0,0,0,0,0,4
49, ,THESIS MASS I TECH,4,0,0,0,1,0,0,0,0,0,0,3
50, ,THESIS U CALIF,4,0,0,1,0,0,0,0,0,0,2,1
51, ,THESIS UCLA LOS ANGE,4,0,0,1,0,1,1,0,0,0,0,1
52, ,6 INT C STUD CHILD L,3,0,0,0,0,0,0,0,3,0,0,0
53,1.127,AM J SPEECH-LANG PAT,3,0,0,0,0,3,0,0,0,0,0,0
54, ,ARCH PSYCHOL,3,0,0,0,2,0,0,0,0,0,0,1
55,14.250,BEHAV BRAIN SCI,3,0,0,0,0,0,0,0,3,0,0,0
56, ,BOST U C LANG DEV BO,3,0,0,1,0,1,0,1,0,0,0,0
57,0.800,BRIT J DEV PSYCHOL,3,0,0,2,0,0,0,0,0,0,0,1
58, ,CHILDES PROJECT TOOL,3,0,0,0,0,0,1,1,0,0,0,1
59,0.837,CLIN LINGUIST PHONET,3,0,0,0,1,0,0,0,0,0,2,0
60, ,EARLY LEXICAL DEV,3,0,0,0,0,0,0,0,0,0,0,3
61, ,HANDB CHILD PSYCHOL,3,0,0,3,0,0,0,0,0,0,0,0
62,1.188,INFANT BEHAV DEV,3,0,0,0,1,0,1,0,0,0,0,1
63,0.405,J PRAGMATICS,3,0,0,1,0,0,0,0,0,0,0,2
64,0.875,LANG COGNITIVE PROC,3,0,0,1,2,0,0,0,0,0,0,0
65, ,LANGUAGE PROCESSING,3,0,0,0,0,0,0,0,0,0,0,3
66, ,MONOGR SOC R 149,3,0,0,0,0,0,0,0,0,0,0,3
67, ,ONE WORD TIME,3,0,0,0,0,0,0,0,0,0,0,3
68, ,P 22 ANN BOST U C LA,3,0,0,3,0,0,0,0,0,0,0,0
69, ,REYNELL DEV LANGUAGE,3,0,0,0,0,0,0,0,0,0,0,3
70, ,SYNTACTIC THEOR 1 L,3,0,0,0,0,0,0,3,0,0,0,0
71, ,SYNTACTIC THEOR ACQ,3,0,0,0,0,0,0,0,0,0,0,3
72, ,1 LANGUAGE ACQUISITI,2,0,0,0,0,0,0,0,0,0,0,2
73, ,ACQUISITION VERB PLA,2,0,0,0,0,0,0,0,0,2,0,0
74, ,APPRENTISSAGE LANGAG,2,0,0,0,0,0,0,0,0,0,0,2
75, ,ASSESSING LANGUAGE P,2,0,0,0,0,0,0,0,0,0,0,2
76, ,B AUDIOPHONOLOGIE,2,0,0,0,1,0,0,0,0,0,0,1
77, ,BAYLEY SCALES INFANT,2,0,0,0,0,0,0,0,0,0,0,2
78, ,BEYOND NAMES THINGS,2,0,0,0,0,0,2,0,0,0,0,0
79,1.053,BRIT J PSYCHOL,2,0,0,0,0,0,0,0,0,1,0,1
80,0.238,CAN J LING/REV CAN L,2,0,0,0,0,0,1,0,0,0,0,1
81, ,CHILD PHONOLOGY,2,0,0,0,0,0,0,0,0,0,0,2
82, ,CHILDES PROJECT,2,0,0,0,0,0,0,0,0,0,0,2
83, ,CHILDREN SPECIFIC LA,2,0,0,2,0,0,0,0,0,0,0,0
84, ,CORNELL WORKING PAPE,2,0,0,0,1,0,0,0,0,0,0,1
85, ,CROSS LINGUIST STU,2,0,0,0,0,0,0,0,0,0,0,2
86,1.430,CURR DIR PSYCHOL SCI,2,0,0,0,1,0,0,0,0,1,0,0
87,1.357,DEV REV,2,0,0,0,0,0,0,0,2,0,0,0
88,1.581,DISCOURSE PROCESS,2,0,0,0,0,0,0,0,0,0,0,2
89, ,EMERGENCE LANGUAGE,2,0,2,0,0,0,0,0,0,0,0,0
90, ,FREQUENCY ANAL ENGLI,2,0,0,0,0,0,0,0,0,0,0,2
91, ,FUNCT APPROACH,2,0,0,0,0,0,0,0,0,0,0,2
