Citing Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1692,33,47,75,117,90,82,95,107,77,70,899
2, ,ALL OTHERS (369),369,12,8,13,15,22,15,17,13,12,15,227
3,6.069,PSYCHOL REV,95,0,0,0,3,1,2,4,8,3,6,68
4,2.753,J EXP PSYCHOL LEARN,92,1,1,8,14,4,7,13,9,10,2,23
5,3.636,J EXP PSYCHOL GEN,69,11,2,2,5,9,3,3,5,2,4,23
6,1.172,J EXP ANAL BEHAV,48,0,2,1,1,3,1,3,3,0,1,33
7,3.463,COGNITIVE PSYCHOL,46,0,0,0,4,2,0,1,1,3,1,34
8,1.507,MEM COGNITION,44,1,0,3,0,4,4,3,3,5,0,21
9,3.172,J PERS SOC PSYCHOL,36,0,1,3,2,0,0,1,4,2,4,19
10,2.638,J MEM LANG,34,0,0,6,1,3,2,1,2,2,4,13
11,1.580,PSYCHON B REV,32,0,2,1,21,3,2,3,0,0,0,0
12,2.247,J EXP PSYCHOL HUMAN,30,0,1,0,1,1,3,2,1,0,2,19
13, ,J EXP PSYCHOL,29,0,0,0,0,0,0,0,0,0,0,29
14,1.252,PERCEPT PSYCHOPHYS,29,1,1,0,0,0,1,2,1,1,2,20
15, ,J VERB LEARN VERB BE,26,0,0,0,0,0,0,0,0,0,0,26
16,6.913,PSYCHOL BULL,26,0,2,1,0,2,2,1,4,2,0,12
17,2.622,COGNITION,24,0,1,2,1,1,2,2,2,4,0,9
18, ,SCIENCE,22,0,1,0,1,0,2,1,0,1,3,13
19,2.565,PSYCHOL SCI,21,2,0,0,3,1,4,2,5,2,2,0
20,14.250,BEHAV BRAIN SCI,20,0,2,0,6,2,0,4,0,1,0,5
21,0.286,AM J PSYCHOL,17,0,0,0,1,0,0,1,2,1,0,12
22,1.452,Q J EXP PSYCHOL-A,17,0,0,0,4,2,4,3,0,0,0,4
23,1.053,BRIT J PSYCHOL,14,0,0,3,1,0,0,0,1,1,0,8
24, ,NATURE,14,0,0,1,1,5,2,2,0,0,0,3
25, ,ATTENTION PERFORM,13,0,5,0,0,0,0,4,1,0,0,3
26,1.267,ACTA PSYCHOL,11,0,0,2,0,1,0,0,1,1,1,5
27,6.857,AM PSYCHOL,11,0,0,0,2,0,0,0,2,1,0,6
28,1.639,J BEHAV DECIS MAKING,11,3,3,3,0,0,0,0,1,0,1,0
29,0.750,BEHAV RES METH INS C,9,0,0,1,0,1,0,0,2,0,0,5
30, ,BRAIN,9,0,0,3,0,1,1,0,1,0,0,3
31, ,VISION RES,9,0,0,0,0,0,0,0,0,1,0,8
32,1.105,ANIM LEARN BEHAV,7,0,0,0,0,0,1,0,1,1,0,4
33, ,CAN J PSYCHOL,7,0,0,0,0,0,0,0,0,0,0,7
34,5.115,J COGNITIVE NEUROSCI,7,0,0,1,1,0,0,0,1,2,1,1
35,2.778,NEUROPSYCHOLOGIA,7,0,0,0,0,1,1,1,0,0,1,3
36,0.308,PERCEPT MOTOR SKILL,7,0,0,0,0,0,0,1,0,0,2,4
