Citing Journal Data: JOURNAL OF HUMAN EVOLUTION,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,4979,100,205,283,264,266,208,250,271,228,219,2685
2, ,ALL OTHERS (1146),1146,17,38,55,50,40,36,47,58,53,36,716
3,2.675,J HUM EVOL,443,57,34,42,45,40,16,25,16,22,33,113
4,1.827,AM J PHYS ANTHROPOL,427,4,13,20,19,34,24,20,21,16,25,231
5, ,NATURE,167,3,4,9,13,11,11,8,7,11,4,86
6, ,SCIENCE,118,1,14,9,11,13,16,7,0,6,4,37
7, ,J ARCHAEOL SCI,84,1,10,14,1,6,8,8,5,4,5,22
8,2.429,CURR ANTHROPOL,82,3,3,7,4,4,5,1,5,4,3,43
9, ,FOLIA PRIMATOL,62,0,1,2,1,4,3,0,1,1,2,47
10, ,S AFR J SCI,55,0,2,5,2,2,1,4,2,1,1,35
11,0.224,ANTHROPOLOGIE,47,0,1,0,3,2,2,0,1,0,6,32
12, ,S AFR ARCHAEOL BULL,46,0,1,0,0,0,2,0,1,0,1,41
13,3.658,EVOL ANTHROPOL,36,2,6,5,1,3,6,3,4,6,0,0
14,1.846,YEARB PHYS ANTHROPOL,34,0,1,2,1,1,2,4,0,4,1,18
15, ,J ZOOL,29,0,3,1,4,0,0,0,1,1,1,18
16, ,INT J PRIMATOL,26,0,2,4,1,0,0,0,0,2,1,16
17, ,P NATL ACAD SCI USA,26,0,5,5,4,1,2,0,1,1,2,5
18, ,SYST ZOOL,26,0,0,0,0,0,1,0,0,0,3,22
19,0.710,AM ANTHROPOL,23,1,0,0,0,1,0,4,5,2,0,10
20, ,QUATERNARY SCI REV,23,0,1,6,3,4,2,3,1,1,0,2
21, ,Z MORPHOL ANTHROPOL,22,0,0,0,0,0,2,3,0,0,3,14
22, ,HUM BIOL,21,0,0,0,1,1,0,1,0,0,0,18
23, ,AM J PRIMATOL,20,0,0,0,1,2,2,1,5,0,1,8
24, ,FUNCT PHYLOGENY F,19,0,0,1,18,0,0,0,0,0,0,0
25, ,HUM REVOLUTION BEH,19,0,0,0,0,0,0,0,0,0,0,19
26,0.484,J ANTHROPOL ARCHAEOL,19,0,0,0,1,0,0,0,1,0,6,11
27, ,RADIAT MEAS,19,1,1,1,10,1,1,4,0,0,0,0
28, ,ANN S AFR MUS,18,0,0,0,0,0,0,0,0,0,0,18
29, ,QUATERNARY RES,18,0,0,0,1,3,2,0,0,1,2,9
30,1.089,ANNU REV ANTHROPOL,17,0,0,2,0,1,1,0,1,4,0,8
31, ,J FIELD ARCHAEOL,17,0,0,0,9,0,0,1,0,0,2,5
32, ,ANTIQUITY,16,1,4,2,0,2,0,4,0,0,0,3
33, ,J WORLD PREHIST,16,0,0,1,0,1,4,1,1,4,0,4
