Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,58691,336,4040,7628,6963,5908,4874,3982,3168,2660,2119,17013
2, ,ALL OTHERS (19197),19197,187,1834,2955,2398,1913,1460,1179,964,721,532,5054
3,0.390,LECT NOTES COMPUT SC,3224,3,178,575,542,447,349,214,193,150,132,441
4, ,LNCS,2145,29,194,343,330,376,170,175,136,48,44,300
5,1.624,COMMUN ACM,668,1,11,23,33,33,34,38,26,57,14,398
6,0.417,THEOR COMPUT SCI,468,0,16,30,32,33,47,56,32,45,23,154
7,2.083,J ACM,459,1,5,24,22,33,33,16,14,19,15,277
8,0.878,SIAM J COMPUT,444,0,12,27,31,18,19,18,28,11,19,261
9,1.746,IEEE T SOFTWARE ENG,442,1,4,47,46,35,50,20,21,13,18,187
10,1.263,IEEE T COMPUT,430,0,7,21,28,42,39,22,22,35,21,193
11,0.635,INFORM COMPUT,348,2,7,10,6,14,50,26,22,42,19,150
12,0.654,IEEE T INFORM THEORY,345,0,12,3,3,13,25,20,20,7,11,231
13,1.292,ACM T PROGR LANG SYS,300,0,2,19,12,15,15,61,21,8,13,134
14,0.664,J COMPUT SYST SCI,296,0,2,9,12,17,25,16,11,11,15,178
15,2.029,ARTIF INTELL,258,0,3,9,7,17,19,26,9,35,12,121
16,0.360,INFORM PROCESS LETT,210,0,7,24,15,6,18,15,13,19,29,64
17,1.210,MATH COMPUT,209,2,9,11,6,5,7,15,15,3,3,133
18,1.697,J CRYPTOL,156,1,11,15,9,8,13,7,9,8,41,34
19,2.094,IEEE T PATTERN ANAL,155,1,5,18,20,10,11,7,8,4,11,60
20,1.731,IEEE J SEL AREA COMM,154,0,3,24,23,28,15,5,15,5,13,23
21,0.702,ACTA INFORM,150,0,6,12,8,10,8,6,12,7,4,77
22,1.113,SCI COMPUT PROGRAM,147,0,10,12,8,2,10,15,1,13,15,61
23,0.585,J ALGORITHM,146,0,4,16,13,16,8,11,1,7,12,58
24,1.319,J LOGIC PROGRAM,140,0,7,12,12,17,9,30,9,16,5,23
25,3.253,P IEEE,138,0,1,8,5,6,11,2,5,10,19,71
26,0.504,ALGORITHMICA,136,0,8,11,16,14,17,31,3,10,6,20
27,1.096,IEEE T NEURAL NETWOR,128,0,0,5,34,9,22,11,11,14,9,13
28,0.189,ACM SIGPLAN NOTICES,127,0,7,9,6,5,9,10,16,13,14,38
29,1.447,MACH LEARN,120,1,6,3,14,16,12,6,8,9,3,42
30,1.028,IEEE SOFTWARE,115,0,4,18,9,8,14,10,8,3,8,33
31, ,SPRINGER LNCS,115,1,7,20,10,21,10,7,10,6,3,20
32, ,THEOR COMPUT,109,3,6,3,1,5,8,8,2,2,9,62
33, ,COMMUNICATION,108,2,28,26,11,2,2,1,0,1,1,34
34,0.339,DISCRETE APPL MATH,106,0,6,9,10,6,11,7,2,5,7,43
35, ,ADV CRYPTOLOGY,105,0,1,5,11,6,9,11,7,4,6,45
36,0.923,ACM COMPUT SURV,104,0,1,13,9,22,12,10,2,2,1,32
37,1.043,COMPUTER,98,0,0,6,14,9,14,6,7,7,3,32
38,0.882,IEEE T PARALL DISTR,96,0,1,4,9,15,17,14,18,6,5,7
39,1.550,J COMPUT PHYS,92,0,3,19,11,4,9,3,3,2,0,38
40,1.000,ACM T DATABASE SYST,91,0,1,1,3,2,1,9,6,6,5,57
41,0.800,ACM T COMPUT SYST,90,0,0,1,2,4,4,2,1,13,7,56
42,1.221,NEURAL NETWORKS,90,0,1,1,8,8,5,8,4,8,17,30
43, ,GENET PROGRAMMING,89,1,2,23,15,12,0,7,0,24,1,4
44,1.268,MATH PROGRAM,89,0,0,8,4,7,3,5,9,4,6,43
45, ,J FUNCT PROGRAM,87,0,2,12,7,14,4,9,22,9,6,2
46,0.470,PARALLEL COMPUT,84,0,2,10,17,8,12,12,6,2,3,12
47, ,HANDB THEOR COMP,83,0,0,0,1,0,0,3,0,1,1,77
48,2.702,NEURAL COMPUT,82,0,1,8,10,10,13,8,3,9,9,11
49,23.872,SCIENCE,82,0,0,8,9,7,5,8,6,2,3,34
50,0.603,J PARALLEL DISTR COM,80,0,1,4,14,12,8,14,4,11,3,9
51,0.635,COMP GEOM-THEOR APPL,79,0,0,9,19,2,1,16,1,5,1,25
52,1.614,IEEE ACM T NETWORK,78,0,3,16,11,14,11,11,12,0,0,0
53,0.504,SOFTWARE PRACT EXPER,78,0,2,9,3,7,13,2,6,2,6,28
54, ,UNIFIED MODELING LAN,78,0,37,32,9,0,0,0,0,0,0,0
55,25.814,NATURE,77,1,1,11,10,7,8,9,0,0,4,26
56,1.488,IEEE T AUTOMAT CONTR,76,0,2,27,5,4,3,3,5,0,2,25
57,1.289,IEEE T COMMUN,76,0,1,2,3,0,6,3,3,3,4,51
58, ,IEEE T SYST MAN CYB,76,1,0,0,1,0,4,3,8,15,7,37
59,1.185,BIOL CYBERN,75,0,0,5,3,2,10,2,2,1,3,47
60,1.531,SIAM J NUMER ANAL,75,0,0,12,6,1,10,0,2,5,6,33
61,1.851,IEEE COMMUN MAG,74,3,9,19,15,8,5,3,5,2,2,3
