Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,613,2,35,32,35,41,38,26,31,25,42,306
2, ,ALL OTHERS (315),315,0,10,21,21,20,19,12,18,16,11,167
3,6.069,PSYCHOL REV,22,0,1,0,0,9,1,1,0,0,2,8
4,2.029,ARTIF INTELL,21,0,0,1,0,2,0,0,2,0,4,12
5, ,SIMPLE HEURISTICS MA,13,0,13,0,0,0,0,0,0,0,0,0
6,0.867,BRIT J PHILOS SCI,11,0,1,1,4,1,3,1,0,0,0,0
7,14.250,BEHAV BRAIN SCI,10,0,0,1,0,0,0,0,0,1,0,8
8, ,COGNITION,8,0,0,0,1,0,0,0,0,0,0,7
9, ,MINDS MACHINES,8,2,6,0,0,0,0,0,0,0,0,0
10,23.872,SCIENCE,8,0,0,1,0,1,0,0,0,0,2,4
11,0.818,CONNECT SCI,7,0,0,0,0,0,2,1,0,2,0,2
12,1.221,NEURAL NETWORKS,7,0,0,0,0,1,0,3,2,0,1,0
13, ,PARALLEL DISTRIBUTED,7,0,0,0,0,0,0,0,0,0,0,7
14, ,COGNITIVE SCI,6,0,0,2,0,0,1,0,0,0,0,3
15, ,IN PRESS SIMPLE HEUR,6,0,0,0,0,0,0,0,0,0,0,6
16, ,ORGAN BEHAV HUM DEC,6,0,0,0,0,0,0,0,0,0,0,6
17,1.447,AI MAG,5,0,0,1,0,2,0,0,0,0,0,2
18,1.185,BIOL CYBERN,5,0,0,0,0,0,0,0,0,0,0,5
19,0.322,INFORM SCIENCES,5,0,0,0,0,0,0,0,0,0,0,5
20,1.488,IEEE T AUTOMAT CONTR,4,0,0,0,0,0,1,1,0,0,0,2
21, ,MENT REPRESENTATIO,4,0,0,0,0,0,0,3,0,0,0,1
22, ,MIND LANG,4,0,0,0,2,0,0,2,0,0,0,0
23, ,ADAPT BEHAV,3,0,0,1,0,1,0,0,1,0,0,0
24, ,AM PSYCHOL,3,0,0,0,0,0,0,0,0,0,1,2
25,5.851,ANNU REV PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
26, ,ARTIFICIAL NEURAL NE,3,0,0,0,0,0,0,0,0,0,3,0
27,1.280,AUTOMATICA,3,0,0,0,1,0,0,0,1,0,0,1
28,1.091,COMPUT INTELL,3,0,0,0,0,0,0,1,0,0,1,1
29, ,CONNECTIONISM DEBATE,3,0,0,0,0,0,3,0,0,0,0,0
30, ,ECOL APPROACH,3,0,0,0,0,0,0,0,0,0,0,3
31, ,FEMINIST EPISTEMOLOG,3,0,0,0,0,0,0,0,3,0,0,0
32, ,IN PRESS J MATH PSYC,3,0,0,0,0,0,0,0,0,0,0,3
33, ,J PHILOS,3,0,0,0,0,0,0,0,0,0,1,2
34,1.447,MACH LEARN,3,0,0,0,0,0,0,0,1,1,0,1
35, ,MINDS MACH,3,0,1,0,0,0,0,1,0,0,0,1
36, ,PHILOS PSYCHOL,3,0,0,0,1,0,0,0,0,0,2,0
37, ,PSYCHOL SCI,3,0,0,0,0,0,0,0,1,0,2,0
38, ,RATIONALITY EPISTEMO,3,0,0,0,0,0,0,0,0,3,0,0
39, ,VISION,3,0,0,0,0,0,0,0,0,0,0,3
40, ,2 INT S INF THEOR BU,2,0,0,0,0,0,0,0,0,0,0,2
41, ,ACM INTERACTIONS,2,0,0,0,1,0,1,0,0,0,0,0
42, ,ACTA PSYCHOL,2,0,0,0,0,0,0,0,0,2,0,0
43, ,ADAPTIVE CHARACTER T,2,0,0,0,0,0,0,0,0,0,1,1
44, ,ADV NEURAL INFORMATI,2,0,0,0,1,0,1,0,0,0,0,0
45, ,ARCHITECTURES INTELL,2,0,0,0,0,0,0,0,0,0,2,0
46, ,ARISTOTELIAN SOC S,2,0,0,0,0,0,0,0,0,0,2,0
47, ,BEHAV RES METH INS C,2,0,0,0,0,0,0,0,0,0,0,2
48, ,CLUSTER ANAL,2,0,0,0,0,0,0,0,0,0,0,2
49, ,COMPUTATION COGNITIO,2,0,0,0,0,0,0,0,0,0,0,2
50, ,CONCEPT MIND,2,0,0,0,0,0,0,0,0,0,0,2
51, ,CONNECTIONISM MIND,2,0,0,0,0,0,0,0,0,0,2,0
52, ,CONNECTIONISM PHILOS,2,0,0,0,0,2,0,0,0,0,0,0
53, ,DIALOGUE,2,0,0,0,0,0,0,0,0,0,0,2
54, ,DISTRIBUTED COGNITIO,2,0,0,0,0,0,0,0,2,0,0,0
55, ,ENGINE REASON SEAT S,2,0,0,0,0,0,2,0,0,0,0,0
56, ,FDN STAT,2,0,0,0,0,0,0,0,0,0,0,2
57, ,INSIGHTS DECISION MA,2,0,0,0,0,0,0,0,0,0,0,2
58, ,INTENTIONAL STANCE,2,0,0,0,0,0,0,0,0,0,0,2
59, ,J ECON BEHAV ORGAN,2,0,0,0,0,1,0,0,0,0,0,1
60, ,J EXP PSYCHOL GEN,2,0,0,0,0,0,0,0,0,0,0,2
61, ,J PHILOS LOGIC,2,0,0,0,0,0,0,0,0,0,1,1
62,0.375,KNOWL-BASED SYST,2,0,0,0,0,0,2,0,0,0,0,0
63, ,LANGUAGE THOUGHT OTH,2,0,0,0,0,0,0,0,0,0,0,2
64, ,LARGE SMALL HUMAN MI,2,0,0,0,2,0,0,0,0,0,0,0
65, ,MEANING MIND FODOR H,2,0,0,0,0,0,0,0,0,0,2,0
66,2.702,NEURAL COMPUT,2,0,0,0,0,1,0,0,0,0,0,1
67, ,NONSTANDARD LOGICS A,2,0,0,0,0,0,0,0,0,0,0,2
68, ,P INT JOINT C NEUR N,2,0,1,0,0,0,0,0,0,0,0,1
69, ,PHILOS CONNECTIONIST,2,0,0,0,0,0,0,0,0,0,2,0
70, ,PHILOS ESSAY PROBABI,2,0,0,0,0,0,0,0,0,0,0,2
71,0.663,PHILOS SCI,2,0,0,0,0,0,2,0,0,0,0,0
72, ,PROBABILISTIC REASON,2,0,0,0,0,0,0,0,0,0,0,2
73, ,Q J ECON,2,0,0,0,0,0,0,0,0,0,0,2
74,2.240,SCI AM,2,0,0,0,0,0,0,0,0,0,0,2
75, ,SIMPLE HEURISTICS TH,2,0,2,0,0,0,0,0,0,0,0,0
76, ,SOC MIND,2,0,0,0,0,0,0,0,0,0,0,2
77, ,UNCERTAINTY ARTIFICI,2,0,0,1,1,0,0,0,0,0,0,0
78, ,UNDERSTANDING COGNIT,2,0,0,2,0,0,0,0,0,0,0,0
79, ,VEHICLES EXP SYNTHE,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
