Citing Journal Data: MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,549,8,22,51,25,27,25,29,28,27,22,285
2, ,ALL OTHERS (242),242,5,6,21,8,9,5,8,11,12,9,148
3,2.768,CHILD DEV,33,0,1,5,0,2,0,1,3,1,1,19
4,2.044,DEV PSYCHOL,25,0,3,3,0,0,4,2,2,3,0,8
5,0.945,J CHILD LANG,18,0,0,1,0,1,0,2,2,2,2,8
6,1.276,J EXP CHILD PSYCHOL,17,0,1,1,3,0,5,0,0,0,0,7
7,0.962,COGNITIVE DEV,14,0,0,0,0,0,2,1,1,2,1,7
8,1.188,INFANT BEHAV DEV,14,0,2,2,1,3,0,1,0,0,0,5
9,3.000,MONOGR SOC RES CHILD,10,0,0,1,0,1,0,3,0,0,0,5
10,6.069,PSYCHOL REV,10,1,0,0,3,1,0,0,0,2,0,3
11,3.463,COGNITIVE PSYCHOL,9,0,0,0,0,0,2,0,0,1,0,6
12,1.522,MEMORY,8,0,2,1,0,0,0,5,0,0,0,0
13, ,HANDB CHILD PSYCHOL,7,0,0,6,0,0,0,0,0,0,0,1
14,6.857,AM PSYCHOL,6,0,0,1,0,2,0,0,1,0,0,2
15, ,ADV INFANCY RES,5,0,0,1,0,0,1,0,1,1,0,1
16, ,DEV MEMORY CHILDHOOD,5,0,0,0,5,0,0,0,0,0,0,0
17, ,DEV NEURAL BASES HIG,4,0,0,0,0,0,0,0,0,0,0,4
18, ,EDUC RESEARCHER,4,0,0,0,0,1,0,0,0,0,0,3
19, ,EVENT KNOWLEDGE STRU,4,0,0,0,0,0,0,0,0,0,0,4
20,2.753,J EXP PSYCHOL LEARN,4,0,1,0,0,0,0,0,1,0,0,2
21, ,NEW DIRECTIONS CHILD,4,0,0,0,0,0,0,0,0,0,0,4
22,2.088,REV EDUC RES,4,0,0,0,0,2,0,0,0,0,0,2
23, ,SCIENCE,4,0,0,0,0,1,0,0,0,0,1,2
24, ,BECOMING WORD LEARNE,3,2,0,0,0,0,0,0,0,0,0,1
25,2.622,COGNITION,3,0,0,0,0,1,0,0,0,0,1,1
26,1.357,DEV REV,3,0,0,0,2,0,0,0,0,0,0,1
27, ,HANDB RES SYNTHESIS,3,0,0,0,0,0,0,3,0,0,0,0
28,0.647,J EDUC GIFTED,3,0,0,0,0,0,0,0,0,0,0,3
29,3.636,J EXP PSYCHOL GEN,3,0,0,1,0,0,0,0,1,0,0,1
30, ,JOINT ATTENTION ITS,3,0,0,0,0,0,3,0,0,0,0,0
31, ,M SOC RES CHILD DEV,3,0,3,0,0,0,0,0,0,0,0,0
32,1.507,MEM COGNITION,3,0,0,0,0,0,0,0,0,0,0,3
33, ,SUMMER ACAD SKILLS E,3,0,0,0,0,0,0,0,0,0,0,3
34, ,SUMMER TRAINING ED P,3,0,0,0,0,0,0,0,0,0,0,3
35, ,UTAH MIGRANT ED ANN,3,0,0,0,0,0,0,0,0,0,1,2
36, ,1ST LANGUAGE,2,0,0,0,0,0,0,0,0,1,0,1
37, ,ADV CHILD DEV BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
38,3.255,AM SOCIOL REV,2,0,0,0,0,0,0,1,0,1,0,0
39, ,BIENN M SOC RES CHIL,2,0,0,0,0,0,0,0,1,0,1,0
40, ,BIOL BEHAV DETERMINA,2,0,0,0,0,0,0,0,0,0,2,0
41, ,BLACK WHITE TEST SCO,2,0,0,2,0,0,0,0,0,0,0,0
42,0.800,BRIT J DEV PSYCHOL,2,0,0,0,0,2,0,0,0,0,0,0
43, ,CATEGORIZATION NAMIN,2,0,0,0,0,0,0,0,0,0,0,2
44, ,DEV SPANS EVENT COMP,2,0,0,0,2,0,0,0,0,0,0,0
45,0.857,EDUC EVAL POLICY AN,2,0,0,0,0,1,0,0,0,0,0,1
46, ,ELEMENTARY SUMMER SC,2,0,0,0,0,0,0,0,0,0,0,2
47, ,EMERGENCE LANGUAGE,2,0,2,0,0,0,0,0,0,0,0,0
48, ,ERIC CLEARINGHOUSE U,2,0,0,0,0,0,0,0,0,0,0,2
49, ,INFANT MEMORY ITS RE,2,0,0,0,0,0,0,0,0,0,0,2
50, ,J NEUROSCI,2,0,0,0,0,0,0,1,0,0,1,0
51, ,LANGUAGE PERSPECT,2,0,0,0,0,0,0,0,0,0,0,2
52, ,MEMORY AFFECT DEV MI,2,0,0,0,0,0,0,0,2,0,0,0
53,0.950,MINN SYM CHILD PSYCH,2,0,0,0,0,0,1,0,0,1,0,0
54, ,NAMES THINGS,2,0,0,0,0,0,0,0,0,0,0,2
55, ,NAMES THINGS YOUNG C,2,0,0,0,0,0,1,0,0,0,1,0
56, ,NATURE,2,0,0,0,1,0,0,0,0,0,0,1
57, ,ONE WORD TIME USE SI,2,0,0,0,0,0,0,0,0,0,0,2
58, ,P 22 ANN BOST U C LA,2,0,1,1,0,0,0,0,0,0,0,0
59, ,P NATL ACAD SCI USA,2,0,0,0,0,0,1,1,0,0,0,0
60,2.190,PSYCHOL METHODS,2,0,0,2,0,0,0,0,0,0,0,0
61,0.490,READ TEACH,2,0,0,0,0,0,0,0,0,0,0,2
62, ,SCH BOARD NEWS,2,0,0,2,0,0,0,0,0,0,0,0
63, ,STUDY INDIANAPOLIS M,2,0,0,0,0,0,0,0,0,0,1,1
64, ,SUMMER LEARN EFFE,2,0,0,0,0,0,0,0,0,0,0,2
65, ,SUMMER PROGRAMS COMP,2,0,0,0,0,0,0,0,0,0,0,2
66, ,TRANSITION INFANCY L,2,0,0,0,0,0,0,0,2,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
