Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,37454,3027,6081,5238,3898,3121,2352,1938,1556,1208,1111,7924
2, ,ALL OTHERS (4122),4122,295,511,325,298,241,177,199,145,148,144,1639
3,25.814,NATURE,4409,992,758,558,423,326,247,156,148,116,104,581
4,23.872,SCIENCE,2355,193,454,395,262,255,199,107,87,78,48,277
5,10.789,P NATL ACAD SCI USA,1349,92,312,212,167,131,70,65,51,31,37,181
6,32.440,CELL,1212,95,196,196,181,131,97,70,65,42,31,108
7,6.462,PHYS REV LETT,891,67,125,134,108,85,79,30,38,30,25,170
8,7.368,J BIOL CHEM,842,57,179,127,97,69,64,48,33,25,22,121
9,2.680,J GEOPHYS RES,466,11,40,74,48,31,32,36,23,20,22,129
10,13.999,EMBO J,429,27,75,76,59,39,31,26,15,15,14,52
11,19.676,GENE DEV,414,36,78,84,57,43,22,28,21,9,14,22
12,9.353,DEVELOPMENT,391,27,61,70,60,51,45,15,29,10,8,15
13,3.065,PHYS REV B,336,13,39,46,41,28,22,23,11,15,8,90
14,8.502,J NEUROSCI,300,20,57,41,33,39,19,16,15,13,9,38
15,2.822,ASTROPHYS J,296,10,51,41,25,22,19,16,12,7,9,84
16,30.910,NAT GENET,296,30,88,70,50,30,13,5,6,4,0,0
17,13.955,J CELL BIOL,274,29,58,45,31,20,16,19,7,6,6,37
18,15.081,NEURON,257,11,57,54,34,37,17,18,12,7,3,7
19,9.666,MOL CELL BIOL,254,18,47,35,35,29,28,20,10,6,10,16
20,4.221,BIOCHEMISTRY-US,218,7,32,33,25,16,11,19,7,6,16,46
21,5.388,J MOL BIOL,207,12,36,21,18,7,9,13,9,8,6,68
22,5.396,NUCLEIC ACIDS RES,205,21,26,25,39,21,18,14,5,7,4,25
23,4.687,GENETICS,194,11,34,28,18,12,16,5,10,12,5,43
24,6.025,J AM CHEM SOC,190,18,36,29,25,12,10,8,5,8,4,35
25,3.906,APPL PHYS LETT,175,16,38,30,25,14,6,4,7,7,4,24
26,15.236,J EXP MED,173,23,32,36,20,22,13,4,4,4,4,11
27,2.882,EARTH PLANET SC LETT,172,4,21,25,17,12,9,8,12,3,7,54
28,8.393,CURR BIOL,158,19,58,44,12,12,4,7,1,1,0,0
29,18.195,MOL CELL,145,27,67,50,1,0,0,0,0,0,0,0
30,6.834,J IMMUNOL,144,23,28,18,11,15,13,6,7,6,3,14
31,2.719,GEOPHYS RES LETT,141,14,35,22,17,14,3,4,10,3,6,13
32,27.905,NAT MED,141,25,37,30,16,19,13,0,0,0,0,1
33,3.740,PALEOCEANOGRAPHY,137,7,23,19,6,11,13,8,7,9,1,33
34,2.831,PHYS REV A,136,7,16,23,11,15,14,10,5,9,2,24
35,3.944,AM NAT,135,0,10,9,10,7,5,5,7,9,8,65
36,12.015,J CLIN INVEST,131,10,31,22,16,12,10,7,2,6,2,13
37,3.301,J CHEM PHYS,130,7,13,16,7,9,6,3,4,2,2,61
38,3.855,J NEUROPHYSIOL,128,7,13,22,9,9,12,7,8,3,7,31
39,2.534,GEOCHIM COSMOCHIM AC,124,5,11,8,13,10,10,5,9,5,7,41
40,3.650,ECOLOGY,119,3,15,9,12,13,8,8,4,5,4,38
41,3.506,J BACTERIOL,117,2,16,18,14,9,5,4,5,3,7,34
42,3.037,P ROY SOC LOND B BIO,116,9,31,21,15,9,6,7,5,2,2,9
