Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,2968,45,163,322,291,270,258,216,176,175,164,888
2, ,ALL OTHERS (742),742,11,43,81,68,71,39,53,33,32,47,264
3,3.855,J NEUROPHYSIOL,142,1,7,17,16,11,8,13,11,5,15,38
4,1.096,IEEE T NEURAL NETWOR,131,0,2,5,11,15,26,12,17,22,6,15
5,2.702,NEURAL COMPUT,121,8,6,22,19,8,15,8,2,11,7,15
6,25.814,NATURE,109,1,4,21,11,20,12,8,7,2,1,22
7,8.502,J NEUROSCI,94,1,7,19,10,15,11,7,7,3,2,12
8,23.872,SCIENCE,71,0,4,6,13,1,3,1,9,4,7,23
9,1.185,BIOL CYBERN,63,0,5,3,2,3,1,3,2,7,8,29
10,1.221,NEURAL NETWORKS,61,0,2,1,6,9,7,6,9,5,2,14
11,0.636,NEUROCOMPUTING,58,4,32,4,6,6,3,2,0,1,0,0
12,10.789,P NATL ACAD SCI USA,53,0,1,5,6,6,2,4,1,5,4,19
13,4.455,J PHYSIOL-LONDON,48,0,0,2,4,3,3,2,1,0,1,32
14,3.772,J COMP NEUROL,32,0,0,1,3,1,5,1,2,2,1,16
15,2.346,J COMPUT NEUROSCI,30,6,4,7,0,4,4,5,0,0,0,0
16, ,ADV NEURAL INFORMATI,29,0,5,2,0,1,4,2,4,1,1,9
17,4.683,HIPPOCAMPUS,26,0,0,3,2,10,1,1,7,1,1,0
18,15.081,NEURON,24,1,4,4,2,4,8,0,0,1,0,0
19,2.526,BRAIN RES,23,0,0,0,1,0,1,1,0,1,2,17
20,0.836,NETWORK-COMP NEURAL,23,0,1,1,2,3,7,3,2,4,0,0
21, ,COMPUT NEUROS,18,0,0,10,6,2,0,0,0,0,0,0
22,3.253,P IEEE,18,0,0,2,0,1,3,0,0,3,0,9
23,2.094,IEEE T PATTERN ANAL,17,0,0,0,2,0,0,0,1,3,1,10
24,2.000,VISION RES,17,0,0,2,4,1,0,2,3,1,0,4
25,6.462,PHYS REV LETT,16,0,2,1,2,1,3,2,0,0,0,5
26,4.822,CEREB CORTEX,15,0,1,1,2,1,3,2,0,0,2,3
27,1.203,IEEE T SIGNAL PROCES,15,0,0,2,2,2,3,2,1,3,0,0
28,0.390,LECT NOTES COMPUT SC,15,0,1,1,4,0,1,0,3,0,1,4
29,4.462,BIOPHYS J,14,0,0,0,1,2,1,0,1,0,0,9
30,6.069,PSYCHOL REV,14,0,0,0,0,1,1,0,0,1,0,11
31,26.676,ANNU REV NEUROSCI,13,0,0,1,0,2,6,0,2,0,1,1
32,9.277,CURR OPIN NEUROBIOL,13,0,0,0,5,2,1,2,1,1,1,0
33,2.680,J GEOPHYS RES,13,0,1,4,5,0,0,0,2,0,1,0
34, ,IEEE T SYST MAN CYB,12,0,0,0,0,0,1,3,2,0,1,5
35, ,PARALLEL DISTRIBUTED,12,0,0,0,0,0,0,0,0,0,0,12
36,2.137,EXP BRAIN RES,11,0,0,0,0,0,0,0,1,3,0,7
37,0.654,IEEE T INFORM THEORY,11,0,0,0,0,0,0,0,0,1,0,10
38, ,INT J NEURAL SYST,11,0,0,0,0,1,5,1,1,2,1,0
39,12.636,NAT NEUROSCI,11,1,2,8,0,0,0,0,0,0,0,0
40,3.563,NEUROSCIENCE,11,0,1,1,1,0,0,2,1,0,0,5
41,0.685,SIGNAL PROCESS,11,0,0,2,0,0,1,4,0,1,3,0
42,2.149,VISUAL NEUROSCI,11,0,1,1,0,2,1,1,0,2,2,1
43, ,IEEE T CIRCUITS SYST,10,0,0,0,1,0,0,0,0,1,1,7
44,1.366,J ACOUST SOC AM,10,0,1,1,2,0,0,0,1,1,0,4
45, ,P IEEE INT C NEUR NE,10,0,0,0,1,2,2,4,1,0,0,0
46,1.077,PATTERN RECOGN,10,0,0,1,1,3,1,0,0,1,0,3
47, ,COGNITIVE SCI,9,0,0,0,0,0,0,0,0,0,1,8
48,0.931,ELECTRON LETT,9,0,1,1,1,0,1,0,3,1,1,0
49,1.233,IEEE CONTR SYST MAG,9,0,0,0,1,0,3,0,1,0,0,4
50,1.550,J THEOR BIOL,9,0,0,5,0,0,0,2,0,0,0,2
51,2.142,PHYS REV E,9,0,1,1,2,1,1,0,3,0,0,0
52,17.417,TRENDS NEUROSCI,9,0,0,1,2,2,2,0,1,0,0,1
53, ,ADV NEUR IN,8,0,0,2,2,4,0,0,0,0,0,0
54,3.327,ELECTROEN CLIN NEURO,8,0,0,0,0,0,0,0,2,0,3,3
55,1.263,IEEE T COMPUT,8,0,0,0,1,1,0,1,0,0,1,4
56,1.314,J ATMOS OCEAN TECH,8,0,0,1,4,0,0,3,0,0,0,0
57,0.365,NEURAL PROCESS LETT,8,0,1,2,0,2,3,0,0,0,0,0
58,3.037,P ROY SOC LOND B BIO,8,0,0,0,1,0,1,0,0,0,0,6
59,2.831,PHYS REV A,8,0,0,1,0,0,0,0,0,1,0,6
60,1.280,AUTOMATICA,7,0,1,1,0,1,0,1,0,1,0,2
61, ,IEEE INT C NEURAL NE,7,0,0,0,0,0,1,0,3,1,1,1
62,1.447,MACH LEARN,7,0,0,0,0,2,1,0,0,1,1,2
63, ,NEURAL NETWORKS PATT,7,0,0,0,1,0,6,0,0,0,0,0
64,0.346,PATTERN RECOGN LETT,7,0,0,0,2,1,2,1,0,1,0,0
65,3.516,PHILOS T ROY SOC B,7,1,0,0,2,0,1,0,1,1,0,1
66,1.643,PHYSICA D,7,0,0,0,0,0,0,2,2,1,0,2
67,2.228,EUROPHYS LETT,6,0,0,0,0,0,0,1,0,0,0,5
68,1.289,IEEE T COMMUN,6,0,0,1,0,0,0,0,0,1,0,4
69, ,IN PRESS NEURAL COMP,6,2,2,0,0,0,0,0,0,0,0,2
70,1.496,J COMP PHYSIOL A,6,0,0,1,0,0,0,1,0,0,0,4
71,1.477,J NEUROSCI METH,6,0,0,3,0,0,0,0,0,0,1,2
72, ,KYBERNETIK,6,0,0,0,0,0,0,0,0,0,0,6
73,0.470,PARALLEL COMPUT,6,0,0,0,0,0,0,0,1,0,0,5
74, ,ARTIFICIAL NEURAL NE,5,0,0,0,0,1,0,0,0,1,3,0
75,14.250,BEHAV BRAIN SCI,5,0,0,1,0,1,0,1,0,0,0,2
76,4.269,BIOL PSYCHIAT,5,1,1,1,0,1,0,0,0,0,0,1
77,3.862,EUR J NEUROSCI,5,0,0,3,0,0,0,2,0,0,0,0
78, ,IEEE T ACOUST SPEECH,5,0,0,0,0,0,0,0,0,0,0,5
79,1.059,J MATH BIOL,5,0,0,0,0,0,0,0,0,1,0,4
80, ,NETWORK,5,0,1,0,0,0,0,0,0,0,0,4
81, ,SOC NEUR ABSTR,5,0,0,1,2,0,0,0,0,0,0,2
82, ,THESIS,5,0,0,1,0,1,0,1,0,0,1,1
83,2.263,BEHAV BRAIN RES,4,0,0,0,0,1,2,1,0,0,0,0
84,2.751,BEHAV NEUROSCI,4,0,0,0,0,0,3,0,0,1,0,0
85,0.699,BIOSYSTEMS,4,0,0,3,1,0,0,0,0,0,0,0
86,9.212,BRAIN RES REV,4,0,0,3,0,0,1,0,0,0,0,0
87, ,COGNITIVE NEUROSCIEN,4,0,1,0,0,0,3,0,0,0,0,0
88,3.858,EXP NEUROL,4,0,0,0,1,0,0,0,1,0,0,2
89,1.753,HEARING RES,4,0,0,0,0,0,0,0,0,1,0,3
90,1.488,IEEE T AUTOMAT CONTR,4,0,0,0,0,0,1,0,0,1,0,2
91,0.595,IEEE T CIRCUITS-I,4,0,0,0,2,0,0,0,2,0,0,0
92,0.705,INT J CONTROL,4,0,0,0,1,0,0,0,0,1,0,2
93, ,INT JOINT C NEUR NET,4,0,0,0,0,0,0,0,0,3,1,0
94, ,J COMP PHYSIOL,4,0,0,0,0,0,0,0,0,0,0,4
95,1.989,J EXP BIOL,4,0,0,0,0,0,2,0,0,0,0,2
96,6.082,J GEN PHYSIOL,4,0,0,0,0,0,1,1,0,0,0,2
97,1.686,J ROY STAT SOC B,4,0,0,0,0,0,1,0,0,0,0,3
98, ,METHODS NEURONAL MOD,4,0,0,2,1,0,0,0,0,0,0,1
99, ,NEURON DEV MODELING,4,0,0,0,0,4,0,0,0,0,0,0
100,2.696,NEUROREPORT,4,0,0,1,1,1,0,0,1,0,0,0
101,2.091,NEUROSCI LETT,4,0,0,0,0,1,0,1,1,0,0,1
102, ,NUMER RECIPES C,4,0,0,0,0,0,0,0,0,4,0,0
103, ,P ICASSP,4,0,0,0,2,1,0,0,0,1,0,0
104, ,P IEEE INT C NEURAL,4,0,0,0,0,0,0,1,0,0,0,3
105, ,P INT C ART NEUR NET,4,0,0,0,0,0,1,2,0,0,1,0
106, ,P INT JOINT C NEUR N,4,0,0,0,0,0,0,0,0,0,3,1
107, ,P SOC PHOTO-OPT INS,4,0,0,0,0,1,1,2,0,0,0,0
108, ,PATTERN CLASSIFICATI,4,0,0,0,0,0,0,0,0,0,0,4
109,1.252,PERCEPT PSYCHOPHYS,4,0,1,0,0,0,0,0,0,0,0,3
110,1.122,PHYS LETT A,4,0,0,0,2,0,0,0,0,0,0,2
111,27.677,PHYSIOL REV,4,0,0,0,0,2,2,0,0,0,0,0
112, ,POSTNATAL DEV HUMAN,4,0,0,0,0,0,0,0,0,0,0,4
113,9.933,PROG NEUROBIOL,4,0,0,0,0,1,0,0,0,2,1,0
114,2.240,SCI AM,4,0,0,0,0,0,1,0,1,0,1,1
115,0.594,STOCH PROC APPL,4,0,0,0,0,0,0,0,1,1,0,2
116, ,ANN MATH STAT,3,0,0,0,0,0,0,0,0,0,0,3
117,1.259,ANN STAT,3,0,0,0,0,1,0,0,0,0,1,1
118,1.359,APPL OPTICS,3,0,0,0,0,0,0,0,0,0,0,3
119,2.029,ARTIF INTELL,3,0,0,0,1,0,0,0,0,0,1,1
120, ,BOOK GENESIS EXPLORI,3,0,0,3,0,0,0,0,0,0,0,0
121,7.303,BRAIN,3,0,1,0,1,0,0,0,0,0,0,1
122,3.463,COGNITIVE PSYCHOL,3,0,0,0,0,0,0,1,0,0,0,2
123, ,CORTICONICS NEURAL C,3,0,0,0,0,0,0,0,0,0,3,0
124, ,DEV PSYCHOL,3,0,0,0,0,0,0,0,0,1,0,2
125, ,ELECTRORECEPTION,3,0,0,0,0,0,0,0,0,0,0,3
126, ,EUR S ART NEUR NETW,3,0,0,1,1,0,0,1,0,0,0,0
127,0.393,FUZZY SET SYST,3,0,0,0,0,1,2,0,0,0,0,0
128, ,HDB BRAIN THEORY NEU,3,0,0,0,0,0,3,0,0,0,0,0
129,0.627,IEE P-CONTR THEOR AP,3,0,0,0,0,0,3,0,0,0,0,0
130,1.614,IEEE ACM T NETWORK,3,0,1,0,0,2,0,0,0,0,0,0
131,0.856,IEEE ENG MED BIOL,3,0,0,0,1,0,0,1,0,1,0,0
132,0.659,IEEE T AERO ELEC SYS,3,0,0,1,0,0,0,0,1,0,0,1
133,1.485,IEEE T GEOSCI REMOTE,3,0,0,0,0,0,0,0,0,1,1,1
134,0.620,IEEE T IND ELECTRON,3,0,0,1,1,0,0,0,0,1,0,0
135, ,IN PRESS J COMPUT NE,3,3,0,0,0,0,0,0,0,0,0,0
136, ,IN PRESS J GEOPHYS R,3,0,1,0,1,0,0,0,0,0,0,1
137,0.866,INT J BIFURCAT CHAOS,3,0,0,2,0,0,1,0,0,0,0,0
