Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,97696,3773,12894,13470,11337,9009,7540,6179,5120,3932,3437,21005
2, ,ALL OTHERS (4823),4823,330,406,397,347,278,298,229,227,176,177,1958
3,10.789,P NATL ACAD SCI USA,7915,566,1190,1213,929,761,533,476,423,296,270,1258
4,7.368,J BIOL CHEM,5084,161,782,772,643,541,367,352,245,211,153,857
5,25.814,NATURE,4930,153,530,572,670,465,469,321,260,245,173,1072
6,23.872,SCIENCE,4730,125,632,638,608,455,452,297,244,215,179,885
7,32.440,CELL,3518,67,331,420,501,367,295,286,261,186,151,653
8,13.999,EMBO J,1737,57,262,288,216,191,141,137,105,89,42,209
9,4.221,BIOCHEMISTRY-US,1579,39,178,178,138,128,144,133,100,78,72,391
10,9.666,MOL CELL BIOL,1362,55,229,177,162,114,124,104,87,58,62,190
11,19.676,GENE DEV,1290,59,210,246,182,132,117,99,73,52,35,85
12,8.502,J NEUROSCI,1206,47,191,218,171,129,80,71,58,54,38,149
13,5.388,J MOL BIOL,1160,34,149,115,110,88,80,47,61,39,47,390
14,5.930,J VIROL,1144,76,173,154,139,123,87,69,54,70,43,156
15,13.955,J CELL BIOL,1019,30,128,157,111,98,67,65,59,47,44,213
16,15.236,J EXP MED,952,39,120,140,149,100,58,88,65,36,33,124
17,5.396,NUCLEIC ACIDS RES,942,39,103,84,145,44,47,90,51,48,53,238
18,6.834,J IMMUNOL,926,26,152,159,88,100,76,42,46,33,34,170
19,3.506,J BACTERIOL,873,34,68,72,100,79,65,52,48,42,45,268
20,15.081,NEURON,840,30,93,150,114,93,112,61,52,49,32,54
21,30.910,NAT GENET,724,37,142,155,128,100,68,43,36,15,0,0
22,8.460,CANCER RES,721,16,97,109,101,69,64,63,29,18,27,128
23,4.687,GENETICS,697,21,81,84,49,68,54,37,40,32,20,211
24,9.353,DEVELOPMENT,616,4,59,102,86,85,60,51,73,23,28,45
25,3.440,FEBS LETT,596,7,66,87,84,64,51,44,35,25,23,110
26,6.025,J AM CHEM SOC,562,14,74,74,58,45,32,31,32,15,21,166
27,12.015,J CLIN INVEST,555,21,76,72,80,58,45,33,38,20,17,95
28,8.977,BLOOD,542,29,79,91,71,68,43,35,31,20,19,56
29,2.340,METHOD ENZYMOL,527,13,29,19,99,41,35,26,21,9,63,172
30,3.055,BIOCHEM BIOPH RES CO,470,11,59,64,56,40,38,28,26,17,15,116
31,6.490,ONCOGENE,453,9,106,81,59,61,40,33,26,7,11,20
32,11.093,PLANT CELL,444,16,72,73,48,69,40,36,27,24,14,25
33,6.339,MOL MICROBIOL,433,17,71,91,51,55,41,33,23,22,14,15
34,4.280,BIOCHEM J,409,14,38,51,43,33,27,23,30,13,14,123
35, ,BIOCHIM BIOPHYS ACTA,397,13,28,13,22,16,12,6,23,21,17,226
36,21.083,IMMUNITY,394,17,87,95,86,44,43,21,0,0,0,1
37,27.905,NAT MED,385,17,104,91,70,72,29,0,0,0,0,2
38,4.462,BIOPHYS J,373,14,60,50,50,34,45,25,20,18,12,45
39,2.461,GENE,368,13,43,23,40,30,30,17,21,18,22,111
