Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,1453,2,23,23,29,28,27,27,28,24,26,1216
2,,ALL OTHERS (303),303,2,5,4,5,5,5,3,6,2,5,261
3,1.604,MEM COGNITION,64,0,3,2,0,6,2,1,1,5,2,42
4,1.617,PERCEPTION,59,0,0,1,0,1,0,0,0,2,0,55
5,,J VISION,37,0,0,0,0,0,0,1,0,0,0,36
6,1.371,PERCEPT PSYCHOPHYS,33,0,0,0,0,0,0,0,0,0,0,33
7,,VISION RES,29,0,0,0,0,0,0,0,0,0,0,29
8,2.408,J EXP PSYCHOL LEARN,26,0,2,0,0,3,0,3,0,0,1,17
9,0.939,AM J PSYCHOL,24,0,0,3,2,1,2,2,0,1,1,12
10,1.104,Q J EXP PSYCHOL,21,0,0,0,0,0,0,1,3,0,0,17
11,1.935,PSYCHON B REV,20,0,0,0,1,0,1,2,0,0,0,16
12,7.803,PSYCHOL REV,19,0,0,0,0,0,0,1,0,0,0,18
13,0.387,PERCEPT MOTOR SKILL,18,0,0,0,0,0,0,0,0,0,0,18
14,,J ACOUST SOC AM,17,0,0,0,0,0,0,0,0,0,0,17
15,2.580,J EXP PSYCHOL HUMAN,15,0,0,0,0,0,0,0,0,0,0,15
16,3.630,NEUROPSYCHOLOGIA,15,0,0,0,0,1,0,0,1,0,0,13
17,,PROG BRAIN RES,14,0,0,1,1,0,1,0,0,1,0,10
18,2.732,CONSCIOUS COGN,13,0,0,0,0,1,1,1,0,0,0,10
19,0.891,CAN J EXP PSYCHOL,12,0,0,0,1,0,0,0,0,0,0,11
20,,FOOD QUAL PREFER,12,0,0,0,0,2,0,0,0,1,1,8
21,4.997,J COGNITIVE NEUROSCI,12,0,0,0,0,0,0,0,0,0,0,12
22,2.474,J MEM LANG,12,0,0,0,1,2,0,0,2,1,0,6
23,1.847,PSYCHOL RES-PSYCH FO,12,0,0,1,0,0,0,0,0,0,0,11
24,1.257,APPL COGNITIVE PSYCH,11,0,0,0,2,1,0,0,0,0,1,7
25,2.179,COGNITIVE SCI,11,0,0,0,0,1,1,1,0,0,0,8
26,,EXP BRAIN RES,11,0,0,0,0,0,0,0,0,0,0,11
27,1.403,MEMORY,11,0,0,1,0,0,0,0,2,1,0,7
28,2.518,PSYCHOL AGING,11,0,1,1,1,0,1,0,2,0,0,5
29,3.831,COGNITION,10,0,0,0,0,0,0,0,0,0,1,9
30,3.088,EMOTION,10,0,1,0,0,0,0,0,0,0,0,9
31,,NEUROIMAGE,10,0,0,0,0,0,0,0,2,1,0,7
32,1.783,ACTA PSYCHOL,9,0,0,1,1,0,0,0,0,0,1,6
33,,BRAIN RES,9,0,2,0,1,0,0,0,0,0,0,6
34,,COLOR RES APPL,9,0,0,0,0,0,0,0,0,0,0,9
35,2.986,INTELLIGENCE,9,0,0,0,0,0,0,0,0,0,0,9
36,0.382,JPN PSYCHOL RES,9,0,0,0,0,0,0,0,0,0,0,9
37,10.905,PSYCHOL BULL,9,0,1,0,0,0,0,0,0,0,0,8
38,0.963,BEHAV RES METHODS,8,0,1,1,1,0,0,0,0,0,0,5
39,1.384,EUR J COGN PSYCHOL,8,0,0,0,0,0,1,0,0,0,0,7
40,2.205,INT J PSYCHOPHYSIOL,8,0,0,1,0,0,0,1,0,0,0,6
41,5.594,J EXP PSYCHOL GEN,8,0,0,0,0,0,0,0,0,1,0,7
42,0.564,J GEN PSYCHOL,8,0,0,0,0,0,0,1,0,0,0,7
43,1.383,LANG COGNITIVE PROC,8,0,0,0,2,0,0,2,0,1,1,2
44,0.677,MUSIC PERCEPT,8,0,0,0,0,0,0,0,1,0,0,7
45,,NEURON,8,0,0,0,1,0,0,0,0,0,0,7
46,,CEREB CORTEX,7,0,0,0,0,0,0,0,0,0,0,7
47,1.043,ECOL PSYCHOL,7,0,0,0,0,0,0,0,0,0,0,7
48,2.429,INTEGR PSYCHOL BEHAV,7,0,0,0,0,1,0,0,0,0,0,6
49,0.833,J HIST BEHAV SCI,7,0,0,0,0,0,0,0,0,0,0,7
50,,J NEUROPHYSIOL,7,0,0,0,0,0,0,0,0,0,0,7
51,,LECT NOTES COMPUT SC,7,0,0,0,0,0,0,0,1,0,0,6
52,1.121,SOC COGNITION,7,0,2,0,0,0,0,0,0,0,0,5
53,,CHEM SENSES,6,0,0,0,0,0,0,0,0,1,0,5
54,,CORTEX,6,0,0,0,0,0,0,0,0,0,1,5
55,1.484,ERGONOMICS,6,0,0,0,0,0,1,0,0,0,0,5
56,1.810,J EXP PSYCHOL-APPL,6,0,0,3,1,0,0,0,0,0,0,2
57,,LECT NOTES ARTIF INT,6,0,0,0,0,0,0,0,0,0,0,6
58,0.250,MUSIC SCI,6,0,0,0,0,0,0,0,0,0,0,6
59,,P SOC PHOTO-OPT INS,6,0,0,0,0,0,0,0,0,0,0,6
60,,PHILOS T R SOC B,6,0,0,0,0,0,0,0,0,0,0,6
61,0.942,SPATIAL VISION,6,0,0,0,0,0,0,0,0,0,0,6
62,9.389,TRENDS COGN SCI,6,0,0,0,0,0,0,0,0,0,0,6
63,0.824,AGING NEUROPSYCHOL C,5,0,0,0,0,0,0,0,1,0,0,4
64,3.382,CHILD DEV,5,0,0,0,1,0,1,0,1,0,0,2
65,2.750,CURR DIR PSYCHOL SCI,5,0,1,1,0,0,0,0,0,0,0,3
66,1.516,EDUC PSYCHOL REV,5,0,0,0,0,0,0,0,0,0,0,5
67,,HIST PSYCHOL,5,0,0,0,0,0,1,0,0,0,0,4
68,1.113,HUM FACTORS,5,0,0,0,0,0,0,0,0,0,0,5
69,2.075,J EXP PSYCHOL ANIM B,5,0,0,0,0,0,0,0,0,0,0,5
70,1.778,LEARN MOTIV,5,0,0,0,0,0,0,0,0,0,0,5
71,,PRESENCE-TELEOP VIRT,5,0,0,0,0,0,0,0,0,1,0,4
72,1.727,VIS COGN,5,0,0,0,0,0,0,0,0,1,0,4
73,,BEHAV BRAIN RES,4,0,0,0,0,0,0,0,0,0,0,4
74,1.684,BEHAV PROCESS,4,0,0,0,0,1,0,0,0,0,0,3
75,2.308,BRAIN COGNITION,4,0,0,0,1,1,0,0,0,0,0,2
76,2.641,BRAIN LANG,4,0,0,0,1,0,0,0,0,0,0,3
77,0.574,CREATIVITY RES J,4,0,0,0,0,0,0,1,0,0,0,3
78,3.038,DEV PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
79,3.198,DEVELOPMENTAL SCI,4,0,0,0,0,0,0,0,0,0,1,3
80,1.952,EUR J PERSONALITY,4,0,0,0,0,0,0,0,0,0,0,4
81,,INT J ADVERT,4,0,0,0,0,0,0,0,0,0,0,4
82,,INT J NEUROSCI,4,0,0,0,0,0,0,0,0,0,0,4
83,0.508,INT MARKET REV,4,0,0,0,0,0,0,0,0,0,0,4
84,1.793,J COMP PSYCHOL,4,0,0,0,0,0,0,0,0,1,0,3
85,0.732,J CONSCIOUSNESS STUD,4,0,0,0,0,0,0,0,0,0,0,4
86,1.738,J CONSUM RES,4,0,0,0,0,0,0,0,0,0,0,4
87,1.180,J EXP ANAL BEHAV,4,0,0,0,0,0,0,0,0,0,0,4
88,2.058,J EXP SOC PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
89,,J NEUROSCI,4,0,0,0,0,0,0,0,0,0,0,4
90,0.962,LATERALITY,4,0,0,0,0,0,0,0,0,0,0,4
91,,MED EDUC,4,0,0,1,0,0,2,0,0,0,0,1
92,3.349,PSYCHOPHYSIOLOGY,4,0,0,0,0,0,0,0,0,0,0,4
93,1.097,THINK REASONING,4,0,0,0,0,0,0,0,0,1,1,2
94,13.400,ANNU REV PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
95,,APPETITE,3,0,0,0,0,0,0,0,0,0,0,3
96,1.580,APPL PSYCHOLINGUIST,3,0,0,0,0,0,0,1,0,0,2,0
97,2.201,ARCH CLIN NEUROPSYCH,3,0,0,0,0,0,0,0,0,0,0,3
98,0.947,AUST J PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
99,,BEHAV NEUROSCI,3,0,0,0,0,0,0,0,0,0,0,3
100,,BEHAVIOUR,3,0,0,0,0,0,0,0,0,0,0,3
101,,BIOL PSYCHIAT,3,0,0,0,0,1,0,0,0,0,0,2
102,,BRAIN,3,0,0,0,0,0,0,0,0,0,0,3
103,1.538,BRIT J PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
104,1.511,COGNITION EMOTION,3,0,0,0,0,0,0,0,0,0,0,3
105,4.026,COGNITIVE PSYCHOL,3,0,1,0,0,0,0,0,0,0,0,2
106,2.032,DEV REV,3,0,0,0,0,0,0,0,0,0,0,3
107,1.720,J CONSUM PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
108,2.353,J EDUC PSYCHOL,3,0,0,0,1,0,0,1,0,0,0,1
109,0.843,J GENET PSYCHOL,3,0,0,0,0,0,0,0,0,0,1,2
110,,J NEW MUSIC RES,3,0,0,0,0,0,0,0,0,0,0,3
111,4.505,J PERS SOC PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
