Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,54770,452,2809,2329,2705,2673,2373,2688,3142,2789,2604,30206
2,,ALL OTHERS (620),620,8,56,17,28,31,37,38,50,30,32,293
3,2.218,BRAIN RES,2966,69,261,180,182,160,146,138,159,147,115,1409
4,3.352,NEUROSCIENCE,2001,20,77,101,90,73,86,99,85,93,116,1161
5,7.490,J NEUROSCI,1442,16,58,42,46,50,44,54,52,58,51,971
6,3.673,EUR J NEUROSCI,1288,13,48,52,55,44,44,58,57,46,49,822
7,3.915,J COMP NEUROL,1056,1,22,32,36,43,25,26,35,33,34,769
8,3.684,J NEUROPHYSIOL,1053,2,19,15,28,22,15,33,39,23,29,828
9,4.451,J NEUROCHEM,992,4,44,58,34,65,54,63,67,50,54,499
10,2.085,NEUROSCI LETT,893,13,60,69,51,53,37,47,65,44,35,419
11,2.014,PROG BRAIN RES,849,1,13,10,22,16,17,22,23,23,23,679
12,2.626,BEHAV BRAIN RES,754,5,26,22,45,47,38,34,36,43,41,417
13,3.982,EXP NEUROL,654,8,25,33,41,37,35,31,30,29,25,360
14,2.376,EUR J PHARMACOL,579,5,25,36,33,38,27,34,28,31,37,285
15,3.661,AM J PHYSIOL-REG I,553,3,22,29,24,16,27,20,25,38,30,319
16,3.561,PSYCHOPHARMACOLOGY,550,4,14,18,13,28,24,19,22,25,25,358
17,3.268,J NEUROSCI RES,539,0,27,30,33,26,30,24,45,31,30,263
18,6.477,BRAIN RES REV,513,3,20,24,14,17,10,13,22,16,24,350
19,3.215,NEUROPHARMACOLOGY,503,1,19,22,28,33,27,20,32,23,27,271
20,2.355,PHARMACOL BIOCHEM BE,450,2,12,18,22,25,22,17,33,33,37,229
21,6.157,NEUROPSYCHOPHARMACOL,445,0,9,16,26,23,35,20,30,18,18,250
22,4.580,J PHYSIOL-LONDON,416,1,15,12,13,9,8,14,15,23,23,283
23,2.561,PHYSIOL BEHAV,388,3,13,10,21,21,10,13,29,26,25,217
24,10.467,PROG NEUROBIOL,384,2,24,13,18,13,13,14,13,23,21,230
25,1.943,BRAIN RES BULL,368,3,20,12,15,15,16,22,21,15,18,211
26,2.027,EXP BRAIN RES,351,2,7,5,10,15,23,10,9,23,10,237
