Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,1147,68,81,87,80,143,114,93,77,59,49,296
2,,ALL OTHERS (153),153,10,12,15,13,10,5,14,7,9,5,53
3,1.344,COMPUT HUM BEHAV,338,3,14,15,24,54,35,27,16,17,25,108
4,1.368,CYBERPSYCHOL BEHAV,60,5,1,0,2,11,13,9,12,0,2,5
5,,LECT NOTES COMPUT SC,57,10,13,6,5,8,4,2,2,1,0,6
6,1.602,COMPUT EDUC,46,0,0,5,3,4,3,6,3,5,3,14
7,0.574,BRIT J EDUC TECHNOL,25,0,0,2,1,6,0,1,1,3,0,11
8,0.353,PSYCHOL REP,20,2,2,2,1,1,4,2,1,0,2,3
9,0.475,EDUC TECHNOL SOC,18,2,4,2,0,1,5,0,3,0,0,1
10,,ELE COM ENG,16,3,4,1,0,0,3,2,3,0,0,0
11,1.364,INT J HUM-COMPUT ST,16,0,2,3,3,0,2,1,1,1,0,3
12,0.652,SEX ROLES,16,2,0,3,0,3,2,4,1,0,0,1
13,,LECT NOTES ARTIF INT,14,3,3,1,0,0,2,0,1,2,0,2
14,1.516,EDUC PSYCHOL REV,13,3,2,0,0,3,0,2,0,1,0,2
15,0.800,J COMPUT ASSIST LEAR,13,0,1,3,0,1,2,1,0,1,0,4
16,1.029,LEARN INSTR,12,1,1,5,1,1,1,0,0,0,1,1
17,1.963,ANNU REV INFORM SCI,11,0,0,0,0,2,0,0,1,0,0,8
18,1.028,BEHAV INFORM TECHNOL,11,0,1,3,1,1,1,0,1,0,0,3
19,1.436,J AM SOC INF SCI TEC,11,5,0,0,1,2,1,0,2,0,0,0
20,1.410,MEDIA PSYCHOL,11,2,0,0,1,1,0,0,1,2,1,3
21,1.631,INFORM MANAGE-AMSTER,10,1,0,0,0,1,2,0,0,1,1,4
22,0.963,BEHAV RES METHODS,9,2,1,1,0,0,0,2,0,0,1,2
23,0.270,ETR&D-EDUC TECH RES,9,0,0,0,1,1,0,4,0,1,0,2
24,0.831,EDUC PSYCHOL MEAS,8,0,0,0,0,1,2,0,0,0,0,5
25,0.795,INSTR SCI,8,0,0,1,0,3,0,1,0,0,1,2
26,0.657,J APPL SOC PSYCHOL,8,0,0,0,2,0,1,0,1,1,0,3
27,0.475,ADOLESCENCE,7,0,0,0,1,1,2,1,0,1,0,1
28,0.969,INTERACT COMPUT,7,1,0,0,0,1,0,0,0,2,1,2
29,1.476,HUM COMMUN RES,6,0,0,0,0,1,0,0,1,1,1,2
30,3.047,J APPL PSYCHOL,6,0,0,0,0,1,3,1,0,1,0,0
31,1.232,J COMPUT-MEDIAT COMM,6,1,0,0,0,0,0,1,3,0,0,1
