Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,648,18,9,38,70,39,55,94,22,29,71,203
2,,ALL OTHERS (147),147,0,0,7,11,8,9,21,9,8,7,67
3,1.516,EDUC PSYCHOL REV,34,14,0,2,1,0,0,1,0,0,5,11
4,1.487,CONTEMP EDUC PSYCHOL,32,0,0,0,0,3,11,9,0,0,3,6
5,1.029,LEARN INSTR,32,0,1,1,2,4,7,6,0,1,3,7
6,2.353,J EDUC PSYCHOL,28,0,1,1,1,5,3,7,0,0,2,8
7,1.024,BRIT J EDUC PSYCHOL,25,0,0,0,7,1,0,8,2,0,1,6
8,0.270,ETR&D-EDUC TECH RES,22,0,0,2,1,0,3,0,0,0,11,5
9,2.600,REV EDUC RES,14,0,1,1,2,0,2,2,1,1,1,3
10,1.344,COMPUT HUM BEHAV,12,0,0,3,1,1,1,0,0,0,4,2
11,0.500,EUR J PSYCHOL EDUC,12,0,2,5,0,0,0,2,0,0,1,2
12,,LECT NOTES COMPUT SC,12,0,0,1,0,0,1,1,0,0,5,4
13,1.257,APPL COGNITIVE PSYCH,11,0,0,2,0,0,1,0,0,0,6,2
14,0.795,INSTR SCI,11,0,0,0,1,1,0,0,0,1,6,2
15,,EDUC PSYCHOL-UK,10,0,0,3,0,0,1,2,1,0,1,2
16,2.231,EDUC PSYCHOL-US,9,1,1,0,1,2,0,1,0,0,1,2
17,1.148,J RES SCI TEACH,9,0,1,0,1,3,0,0,0,1,1,2
18,1.231,LEARN INDIVID DIFFER,8,0,1,1,1,0,0,2,0,0,0,3
19,0.831,EDUC PSYCHOL MEAS,7,0,0,0,7,0,0,0,0,0,0,0
20,,MED EDUC,7,0,0,0,3,0,0,0,0,0,0,4
21,0.608,HIGH EDUC,6,0,0,0,6,0,0,0,0,0,0,0
22,0.267,PSYCHOL ERZ UNTERR,6,0,0,0,0,1,1,2,0,0,0,2
23,1.930,AM EDUC RES J,5,0,0,0,0,0,0,2,0,0,2,1
24,,EUR J OPER RES,5,0,0,0,0,0,0,0,0,0,0,5
25,0.548,J EDUC RES,5,0,0,0,0,2,1,2,0,0,0,0
26,0.931,J EXP EDUC,5,0,0,0,1,0,1,1,0,0,0,2
27,1.477,J LEARN DISABIL-US,5,0,0,0,0,2,1,0,0,0,0,2
28,0.485,WRIT COMMUN,5,0,0,0,0,0,1,0,0,0,0,4
29,1.205,BRIT J DEV PSYCHOL,4,0,0,0,0,0,0,0,0,2,0,2
30,3.382,CHILD DEV,4,0,0,0,0,0,0,0,1,0,0,3
31,0.475,EDUC TECHNOL SOC,4,0,0,1,0,0,1,1,0,0,0,1
32,,INT STAT REV,4,3,0,1,0,0,0,0,0,0,0,0
33,0.800,J COMPUT ASSIST LEAR,4,0,0,0,1,1,1,0,1,0,0,0
34,0.699,RES HIGH EDUC,4,0,0,0,0,0,0,2,0,0,0,2
35,,SEMIOTICA,4,0,0,0,0,0,0,0,0,0,0,4
36,0.556,STUD HIGH EDUC,4,0,0,0,3,0,0,0,0,0,0,1
37,0.548,TEACH HIGH EDUC,4,0,0,0,0,0,0,3,0,0,0,1
38,,Z ERZIEHWISS,4,0,1,1,0,1,0,1,0,0,0,0
39,1.602,COMPUT EDUC,3,0,0,0,0,0,0,0,0,0,2,1
40,3.038,DEV PSYCHOL,3,0,0,0,1,0,0,1,0,0,0,1
41,1.062,ELEM SCHOOL J,3,0,0,0,0,1,0,2,0,0,0,0
42,0.541,INT J SCI EDUC,3,0,0,0,0,0,0,0,0,1,0,2
43,2.986,INTELLIGENCE,3,0,0,0,0,0,1,0,2,0,0,0
44,0.935,J COMMUNITY PSYCHOL,3,0,0,0,0,0,0,0,0,3,0,0
45,,J DENT EDUC,3,0,0,0,1,0,0,0,0,0,2,0
46,,J HOSP LEIS SPORT TO,3,0,0,0,0,0,3,0,0,0,0,0
47,0.317,J MORAL EDUC,3,0,0,0,0,0,0,0,0,3,0,0
48,,LECT NOTES ARTIF INT,3,0,0,0,0,0,1,0,0,0,1,1
49,1.333,NEBR SYM MOTIV,3,0,0,0,0,0,0,0,0,3,0,0
50,0.965,PSICOTHEMA,3,0,0,0,1,0,0,1,0,0,0,1
51,0.300,PSYCHOL BELG,3,0,0,0,0,1,0,0,0,0,0,2
52,1.935,PSYCHON B REV,3,0,0,0,0,0,0,0,0,1,0,2
53,0.652,SEX ROLES,3,0,0,1,2,0,0,0,0,0,0,0
54,0.595,Z PADAGOG PSYCHOL,3,0,0,0,0,0,0,2,0,0,0,1
55,,ADV PHYSIOL EDUC,2,0,0,0,1,0,0,0,0,0,1,0
56,,AIP CONF P,2,0,0,0,0,0,0,1,0,1,0,0
57,1.298,AM J EVAL,2,0,0,0,2,0,0,0,0,0,0,0
58,0.939,AM J PSYCHOL,2,0,0,1,0,0,0,0,0,0,1,0
59,,ANN ACAD MED SINGAP,2,0,0,0,2,0,0,0,0,0,0,0
60,1.337,BRIT J HEALTH PSYCH,2,0,0,0,0,0,1,0,1,0,0,0
61,1.481,COMMUN RES,2,0,0,0,0,0,0,0,1,0,0,1
62,2.750,CURR DIR PSYCHOL SCI,2,0,0,0,0,0,0,1,0,0,0,1
63,0.246,EDUC STUD,2,0,0,0,0,0,0,1,0,0,0,1
64,1.384,EUR J COGN PSYCHOL,2,0,0,0,0,1,0,0,0,0,0,1
65,,EUR PHYS EDUC REV,2,0,0,0,0,0,0,1,0,0,0,1
66,0.364,FOREIGN LANG ANN,2,0,0,1,0,0,0,0,0,0,0,1
67,,IEEE T EDUC,2,0,0,0,0,0,1,0,0,0,0,1
68,,IIE TRANS,2,0,0,0,0,0,0,0,0,0,0,2
69,,INFANC APRENDIZ,2,0,0,0,2,0,0,0,0,0,0,0
70,0.272,INT J PSYCHOL,2,0,0,0,1,0,0,0,0,0,0,1
71,0.214,J ADOLESC ADULT LIT,2,0,0,0,0,0,0,1,0,0,0,1
72,0.657,J APPL SOC PSYCHOL,2,0,0,0,1,0,0,1,0,0,0,0
73,0.860,J BLACK PSYCHOL,2,0,0,0,1,0,0,0,1,0,0,0
74,0.464,J BUS TECH COMMUN,2,0,0,0,0,0,0,0,0,2,0,0
75,0.429,J CREATIVE BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
76,3.000,J ENG EDUC,2,0,0,0,0,0,0,0,0,1,1,0
77,1.172,J ENVIRON PSYCHOL,2,0,0,0,0,0,1,0,0,0,1,0
78,2.058,J EXP SOC PSYCHOL,2,0,0,0,0,0,0,2,0,0,0,0
79,0.915,J YOUTH ADOLESCENCE,2,0,0,1,0,0,0,0,0,0,0,1
80,1.383,LANG COGNITIVE PROC,2,0,0,0,0,0,0,0,0,0,1,1
81,1.410,MEDIA PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
82,1.899,NORTHWEST U LAW REV,2,0,0,0,2,0,0,0,0,0,0,0
83,1.400,PERS INDIV DIFFER,2,0,0,1,0,0,0,1,0,0,0,0
84,0.253,PHI DELTA KAPPAN,2,0,0,0,0,0,0,1,1,0,0,0
85,0.353,PSYCHOL REP,2,0,0,1,0,0,0,0,0,0,0,1
86,0.320,READ TEACH,2,0,0,0,0,0,0,1,0,0,0,1
87,,READ WRIT,2,0,0,0,0,0,0,0,0,0,0,2
88,0.589,TEACH TEACH EDUC,2,0,0,0,1,1,0,0,0,0,0,0
89,0.154,TURK PSIKOL DERG,2,0,0,0,1,0,0,0,1,0,0,0
90,0.362,URBAN EDUC,2,0,0,0,0,0,0,1,0,0,0,1
91,1.056,YOUTH SOC,2,0,0,0,0,0,0,0,0,0,0,2
92,0.513,Z ENTWICKL PADAGOGIS,2,0,0,0,0,0,1,0,0,0,1,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
