Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,Rest
1,,ALL Journals,113,9,28,25,24,27,0,0,0,0,0,0
2,,ALL OTHERS (30),30,0,4,6,10,10,0,0,0,0,0,0
3,,CONNECT SCI,14,0,14,0,0,0,0,0,0,0,0,0
4,,2008 17 IEEE INT S,7,0,4,2,0,1,0,0,0,0,0,0
5,1.359,INTERACT STUD,7,3,0,0,2,2,0,0,0,0,0,0
6,2.333,J EXP CHILD PSYCHOL,5,0,0,0,4,1,0,0,0,0,0,0
7,,2008 IEEERSJ INT C,4,0,1,3,0,0,0,0,0,0,0,0
8,,AUTON ROBOT,4,0,1,1,0,2,0,0,0,0,0,0
9,2.032,CURR ANTHROPOL,4,2,0,0,1,1,0,0,0,0,0,0
10,,J PHYSIOL-PARIS,4,1,0,0,2,1,0,0,0,0,0,0
11,,LECT NOTES COMPUT SC,4,0,2,2,0,0,0,0,0,0,0,0
12,,GESTURE,3,0,0,0,3,0,0,0,0,0,0,0
13,,IEEE T ROBOT,3,1,0,1,0,1,0,0,0,0,0,0
14,1.262,INFANCY,3,0,0,2,0,1,0,0,0,0,0,0
15,0.890,INFANT CHILD DEV,3,0,0,2,1,0,0,0,0,0,0,0
16,,LECT NOTES ARTIF INT,3,0,0,3,0,0,0,0,0,0,0,0
17,12.818,BEHAV BRAIN SCI,2,2,0,0,0,0,0,0,0,0,0,0
18,,IEEE INT CONF ROBOT,2,0,0,2,0,0,0,0,0,0,0,0
19,1.533,INFANT BEHAV DEV,2,0,0,1,0,1,0,0,0,0,0,0
20,1.583,J SPEECH LANG HEAR R,2,0,0,0,1,1,0,0,0,0,0,0
21,,ANIM BEHAV,1,0,0,0,0,1,0,0,0,0,0,0
22,,ANIM COGN,1,0,0,0,0,1,0,0,0,0,0,0
23,,ARTIF LIFE,1,0,0,0,0,1,0,0,0,0,0,0
24,,BRAIN RES BULL,1,0,0,0,0,1,0,0,0,0,0,0
25,1.110,CAMB Q HEALTHC ETHIC,1,0,1,0,0,0,0,0,0,0,0,0
26,1.581,COGN SYST RES,1,0,1,0,0,0,0,0,0,0,0,0
27,3.481,COGNITION,1,0,0,0,0,1,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
