Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,4758,15,105,253,339,238,176,468,244,218,169,2533
2,,ALL OTHERS (246),246,1,3,11,8,15,10,21,7,16,11,143
3,1.604,MEM COGNITION,251,1,7,9,15,15,10,20,13,14,13,134
4,1.935,PSYCHON B REV,166,1,8,11,21,12,10,13,7,1,10,72
5,2.408,J EXP PSYCHOL LEARN,159,1,6,9,13,9,5,17,8,3,4,84
6,2.580,J EXP PSYCHOL HUMAN,122,0,9,17,12,1,7,3,4,2,3,64
7,1.104,Q J EXP PSYCHOL,111,0,3,5,8,6,4,14,3,5,2,61
8,5.594,J EXP PSYCHOL GEN,108,1,10,7,16,5,6,14,4,6,4,35
9,1.371,PERCEPT PSYCHOPHYS,102,0,2,5,7,1,8,11,4,2,1,61
10,3.630,NEUROPSYCHOLOGIA,81,0,1,5,3,3,2,11,7,6,0,43
11,2.474,J MEM LANG,79,0,1,2,5,8,3,6,8,5,0,41
12,7.803,PSYCHOL REV,78,0,3,2,5,3,10,10,1,1,3,40
13,1.403,MEMORY,74,1,0,4,8,5,2,9,6,3,1,35
14,1.384,EUR J COGN PSYCHOL,73,1,2,1,4,4,3,8,3,0,5,42
15,3.831,COGNITION,66,0,1,3,8,5,3,4,4,2,8,28
16,4.251,PSYCHOL SCI,63,0,2,2,7,7,3,7,6,2,1,26
17,3.088,EMOTION,57,0,1,7,3,6,0,17,3,2,3,15
18,,BRAIN RES,56,1,2,6,0,0,1,5,1,1,0,39
19,1.847,PSYCHOL RES-PSYCH FO,55,0,0,2,2,0,1,8,12,1,0,29
20,2.518,PSYCHOL AGING,54,0,1,5,4,9,1,3,1,5,5,20
21,10.905,PSYCHOL BULL,49,0,1,0,4,3,3,6,6,3,0,23
22,4.997,J COGNITIVE NEUROSCI,47,0,0,2,4,0,1,9,2,1,3,25
23,2.732,CONSCIOUS COGN,46,0,0,3,2,1,1,3,2,1,8,25
24,1.783,ACTA PSYCHOL,44,0,0,2,4,0,0,2,2,2,1,31
25,1.563,J EXP CHILD PSYCHOL,41,0,0,2,6,4,2,8,2,3,0,14
26,,NEUROIMAGE,40,0,0,0,7,0,1,8,0,0,0,24
27,,VISION RES,40,0,4,3,3,0,1,0,2,0,1,26
28,1.617,PERCEPTION,39,0,0,1,0,1,0,2,3,1,1,30
