Cited Journal Data: Interaction Studies,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,Rest
1,,ALL Journals,370,0,20,26,30,46,14,40,33,12,45,104
2,,ALL OTHERS (101),101,0,5,8,7,8,4,5,13,7,11,33
3,,INT J SOC ROBOT,24,0,1,0,0,6,0,3,1,0,3,10
4,2.321,FRONT PSYCHOL,21,0,1,1,3,2,0,3,2,1,1,7
5,,FRONT ARTIF INTEL AP,16,0,0,0,0,0,1,9,0,0,3,3
6,3.435,COMPUT HUM BEHAV,13,0,0,1,1,0,1,0,0,0,6,4
7,,11 ACM INT C HUM,11,0,1,0,0,0,0,1,1,0,6,2
8,,ANIM COGN,10,0,0,0,2,0,0,1,3,0,0,4
9,3.414,COGNITION,10,0,1,0,0,1,2,2,0,0,0,4
10,0.958,INTERACT STUD,10,0,1,3,2,0,0,0,0,0,0,4
11,3.321,J AUTISM DEV DISORD,9,0,0,1,0,4,0,0,0,0,0,4
12,,LECT NOTES ARTIF INT,8,0,1,0,0,2,0,0,1,1,0,3
13,,PLOS ONE,8,0,0,0,1,0,0,2,4,0,0,1
14,,AI SOC,7,0,0,1,1,0,0,2,0,0,2,1
15,,IEEE ROMAN,7,0,0,0,1,1,0,0,0,0,2,3
16,,APPL ANIM BEHAV SCI,5,0,0,0,0,2,0,1,2,0,0,0
17,,IEEE TECHNOL SOC MAG,5,0,0,1,0,2,0,1,0,0,0,1
18,,ROBOT AUTON SYST,5,0,0,1,0,1,0,0,0,1,1,1
19,1.037,INFANT CHILD DEV,4,0,0,1,1,0,0,0,0,0,0,2
20,,LECT NOTES COMPUT SC,4,0,0,1,0,0,1,0,0,0,2,0
21,15.402,TRENDS COGN SCI,4,0,0,0,1,1,0,2,0,0,0,0
22,2.917,COGNITIVE SCI,3,0,0,0,0,1,0,1,1,0,0,0
23,,CONSTR FOUND,3,0,1,0,0,2,0,0,0,0,0,0
24,1.500,ETHICS INF TECHNOL,3,0,0,0,0,0,0,1,0,1,0,1
25,,FRONT ROBOT AI,3,0,0,0,0,0,0,0,1,0,1,1
26,,IEEE T COGN DEV SYST,3,0,0,2,0,0,1,0,0,0,0,0
27,,INT J ADV ROBOT SYST,3,0,0,1,1,0,1,0,0,0,0,0
28,0.222,J EVID-BASED PSYCHOT,3,0,0,0,0,3,0,0,0,0,0,0
29,2.287,J EXP PSYCHOL HUMAN,3,0,1,1,0,1,0,0,0,0,0,0
30,,J VISION,3,0,2,0,0,0,0,0,0,0,0,1
31,,PHILOS T R SOC B,3,0,1,0,1,1,0,0,0,0,0,0
32,2.229,SCI ENG ETHICS,3,0,0,0,0,1,0,1,0,0,1,0
33,,SCI REP-UK,3,0,0,0,1,0,0,0,0,0,0,2
34,,2016 IEEERSJ INT C,2,0,0,0,0,0,0,0,2,0,0,0
35,,ACM C COMP COOP,2,0,0,0,0,0,0,0,0,0,0,2
36,,ADV INTELL SYST,2,0,0,0,0,2,0,0,0,0,0,0
37,3.765,AUTISM RES,2,0,0,0,1,0,0,0,1,0,0,0
38,1.746,BEHAV PROCESS,2,0,0,0,0,1,0,1,0,0,0,0
39,,COMMUN ACM,2,0,2,0,0,0,0,0,0,0,0,0
40,2.150,CORNELL LAW REV,2,0,0,0,0,0,0,0,0,0,0,2
41,0.281,EUR REV,2,0,0,0,0,0,0,2,0,0,0,0
42,0.733,GESTURE,2,0,0,1,0,0,0,0,0,1,0,0
43,2.219,HUM FACTORS,2,0,0,0,0,0,0,0,0,0,2,0
44,,INT C INTEL HUM MACH,2,0,0,1,0,1,0,0,0,0,0,0
45,,INT CONF INTEL ENVIR,2,0,0,0,0,0,0,0,0,0,2,0
46,1.118,INT J HUM-COMPUT INT,2,0,0,0,0,0,0,0,0,0,0,2
47,0.859,INT J SELECT ASSESS,2,0,1,0,0,0,0,0,0,0,0,1
48,,J AMB INTEL SMART EN,2,0,0,0,1,1,0,0,0,0,0,0
49,1.642,J CHILD LANG,2,0,0,0,1,0,0,0,0,0,0,1
50,2.268,J COMP PSYCHOL,2,0,0,0,0,0,1,0,0,0,0,1
51,2.602,J EXP CHILD PSYCHOL,2,0,0,0,2,0,0,0,0,0,0,0
52,0.918,J PRAGMATICS,2,0,0,0,2,0,0,0,0,0,0,0
53,,J VET BEHAV,2,0,0,0,0,1,0,1,0,0,0,0
54,,NEUROIMAGE,2,0,1,0,0,0,1,0,0,0,0,0
55,,PEERJ,2,0,0,0,0,1,1,0,0,0,0,0
56,1.029,PHILOS PSYCHOL,2,0,0,0,0,0,0,1,0,0,1,0
57,1.500,RES AUTISM SPECT DIS,2,0,0,0,0,0,0,0,0,0,0,2
58,,ROBOTICS,2,0,0,1,0,0,0,0,1,0,0,0
59,,SOCIETIES,2,0,0,0,0,0,0,0,0,0,1,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
