Cited Journal Data: LECTURE NOTES IN ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,Rest
1,,ALL Journals,4284,101,564,856,554,456,452,306,282,172,142,399
2,,ALL OTHERS (177),177,0,10,41,12,27,19,18,23,1,4,22
3,0.402,LECT NOTES COMPUT SC,1257,36,214,251,194,129,137,72,74,36,26,88
4,0.302,LECT NOTES ARTIF INT,1207,50,223,257,131,106,101,80,69,51,41,98
5,2.153,PATTERN RECOGN,86,0,0,0,20,3,18,1,11,1,11,21
6,2.179,KNOWL ENG REV,74,0,5,34,7,11,9,2,5,0,1,0
7,,ADV SOFT COMP,68,0,16,18,11,5,6,8,3,0,1,0
8,,INT FED INFO PROC,61,1,0,17,6,14,8,3,5,2,3,2
9,0.337,J UNIVERS COMPUT SCI,50,1,3,8,9,0,6,4,7,5,3,4
10,2.605,AUTON AGENT MULTI-AG,48,0,0,6,3,7,8,2,3,4,10,5
11,2.638,ARTIF INTELL,44,0,2,3,9,3,3,3,5,2,1,13
12,0.875,J AUTOM REASONING,44,0,1,3,4,3,7,5,3,5,3,10
13,1.053,INFORM COMPUT,37,0,6,7,7,4,5,0,1,3,1,3
14,0.743,THEOR COMPUT SCI,35,0,0,1,5,3,6,5,3,4,1,7
15,1.372,THEOR PRACT LOG PROG,32,0,0,2,4,6,4,6,2,4,2,2
16,0.657,INT J INTELL SYST,25,0,1,1,3,2,7,2,5,1,0,3
17,0.612,AI COMMUN,24,0,2,6,5,5,1,1,3,0,0,1
18,0.868,ARTIF INTELL REV,24,0,3,9,0,3,0,0,1,1,2,5
19,0.629,APPL ARTIF INTELL,21,0,1,8,1,1,8,0,0,2,0,0
20,0.119,COMPUT SYST SCI ENG,21,1,2,5,1,5,1,2,0,1,3,0
21,3.257,IEEE T EVOLUT COMPUT,21,0,1,2,3,6,2,1,1,0,0,5
22,2.247,J ARTIF INTELL RES,21,0,0,3,5,4,2,3,1,3,0,0
23,0.933,J LOGIC COMPUT,21,0,2,0,2,3,4,1,1,1,1,6
24,1.236,EXPERT SYST APPL,18,0,0,4,2,5,2,2,1,0,0,2
25,1.039,FUZZY SET SYST,18,0,2,8,2,4,0,0,0,0,0,2
26,,WS SO AG TE,18,1,3,2,4,3,1,0,2,0,1,1
27,0.389,APPL ALGEBR ENG COMM,17,0,2,9,3,0,2,1,0,0,0,0
28,0.557,INFORM PROCESS LETT,16,0,1,6,1,3,1,3,0,0,0,1
29,,APPL SOFT COMPUT,15,0,1,3,2,3,0,2,1,1,0,2
30,0.175,ACM SIGPLAN NOTICES,14,0,0,3,1,0,4,0,0,0,1,5
31,0.517,J SYMB COMPUT,14,0,0,2,0,1,1,2,1,2,1,4
32,,JASSS-J ARTIF SOC S,14,3,2,1,3,1,0,0,2,0,2,0
33,0.541,ANN MATH ARTIF INTEL,13,0,1,1,1,3,2,2,0,2,0,1
34,0.709,ENG APPL ARTIF INTEL,13,1,1,2,1,2,2,2,1,0,1,0
35,0.723,INFORM SCIENCES,13,0,0,2,3,3,0,2,2,0,0,1
36,1.882,ARTIF INTELL MED,12,0,0,5,0,3,2,1,0,1,0,0
37,,BCS CONFERENCE S,12,0,2,1,4,4,0,0,1,0,0,0
38,0.821,IEEE T SYST MAN CY A,12,0,3,1,1,2,1,2,0,2,0,0
39,0.242,IEICE T INF SYST,12,0,4,4,1,1,0,1,1,0,0,0
40,,KNOWL INF SYST,12,0,0,2,1,1,2,2,1,1,1,1
41,1.521,AI MAG,11,0,0,3,1,1,1,2,1,1,1,0
42,2.560,IEEE INTELL SYST,11,1,2,3,3,2,0,0,0,0,0,0
