Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,3585,53,232,447,461,359,378,330,276,205,107,737
2,,ALL OTHERS (207),207,1,13,21,30,34,20,21,11,17,5,34
3,1.229,MED TEACH,560,1,38,68,64,53,74,46,45,37,23,111
4,2.562,MED EDUC,548,26,47,91,90,51,53,36,30,28,9,87
5,2.571,ACAD MED,183,7,13,46,23,17,20,12,11,4,6,24
6,0.885,ADV HEALTH SCI EDUC,125,1,4,14,10,11,7,8,12,5,2,51
7,2.876,J GEN INTERN MED,68,0,3,9,9,10,10,3,6,4,2,12
8,,J DENT EDUC,67,1,4,9,7,4,4,3,7,8,1,19
9,,TEACH TEACH EDUC,67,0,0,15,6,5,6,6,7,2,2,18
10,0.825,TEACH LEARN MED,61,1,3,3,8,3,6,10,4,2,0,21
11,0.573,NURS EDUC TODAY,50,0,1,1,7,10,3,5,5,5,0,13
12,2.537,MED J AUSTRALIA,42,0,6,4,4,1,3,7,4,4,1,8
13,1.792,PATIENT EDUC COUNS,39,2,2,4,4,0,7,1,3,5,2,9
14,,EUR J DENT EDUC,38,0,0,1,4,3,3,5,4,0,0,18
15,4.596,ANESTHESIOLOGY,37,0,2,3,3,2,3,2,4,4,2,12
16,0.663,AM J PHARM EDUC,34,0,1,5,3,3,6,4,2,3,2,5
17,52.589,NEW ENGL J MED,31,0,1,5,4,3,2,5,5,1,0,5
18,25.547,JAMA-J AM MED ASSOC,28,1,1,4,2,3,3,3,4,3,2,2
19,1.600,AMBUL PEDIATR,27,0,2,1,3,1,3,2,2,2,4,7
20,2.337,AM J SURG,25,0,2,0,5,3,0,7,0,0,3,5
21,0.733,ANN ACAD MED SINGAP,24,0,2,0,3,1,1,4,2,2,1,8
22,1.308,CLIN MED,24,0,3,1,8,1,1,4,3,1,0,2
23,1.570,INTERN MED J,24,0,3,2,3,3,4,2,1,1,0,5
24,0.527,J VET MED EDUC,24,0,1,2,4,4,3,3,1,2,0,4
25,0.435,J CONTIN EDUC HEALTH,23,0,2,1,2,1,1,5,3,1,5,2
26,0.626,CLIN ANAT,21,0,0,5,2,2,6,1,1,0,0,4
27,2.652,EVAL HEALTH PROF,21,0,0,2,4,1,1,3,1,0,0,9
28,1.990,ACAD EMERG MED,20,0,1,3,4,1,1,3,2,4,0,1
