Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,176,0,7,11,10,30,27,11,7,8,14,51
2,,ALL OTHERS (55),55,0,4,3,4,4,2,1,3,5,5,24
3,0.429,MIND MACH,30,0,2,1,1,8,9,2,2,1,1,3
4,,LECT NOTES COMPUT SC,14,0,0,0,1,2,5,2,0,0,1,3
5,0.364,PHILOS SCI,9,0,0,1,0,2,2,0,0,1,1,2
6,,J CONSCIOUSNESS STUD,7,0,0,0,0,1,0,2,0,0,2,2
7,,LECT NOTES ARTIF INT,7,0,0,1,0,0,0,1,0,0,0,5
8,,AUSTRALAS J PHILOS,6,0,0,0,0,2,1,1,0,1,0,1
9,,PHILOS PSYCHOL,5,0,0,1,0,0,0,1,0,0,1,2
10,0.350,SYNTHESE,5,0,0,0,0,2,1,0,0,0,0,2
11,0.735,THEOR COMPUT SCI,4,0,0,0,1,1,2,0,0,0,0,0
12,0.589,ANN ACAD SCI FENN-M,3,0,0,0,0,1,2,0,0,0,0,0
13,1.646,BIOSYSTEMS,3,0,0,0,0,1,0,0,0,0,0,2
14,1.500,CONNECT SCI,3,0,0,0,1,0,0,0,0,0,0,2
15,,ACAD MANAG LEARN EDU,2,0,0,0,0,0,0,0,0,0,0,2
16,1.111,COGN SYST RES,2,0,0,1,1,0,0,0,0,0,0,0
17,,COGNITION,2,0,0,0,0,0,0,0,0,0,2,0
18,0.880,COMPUT J,2,0,0,0,0,0,2,0,0,0,0,0
19,1.286,IEEE COMPUT INTELL M,2,0,0,1,0,0,0,0,1,0,0,0
20,1.907,IEEE T MICROW THEORY,2,0,0,2,0,0,0,0,0,0,0,0
21,0.500,J EXP THEOR ARTIF IN,2,0,0,0,0,1,1,0,0,0,0,0
22,1.080,J INF SCI,2,0,0,0,0,2,0,0,0,0,0,0
23,,J PHILOS LOGIC,2,0,0,0,1,1,0,0,0,0,0,0
24,,MEM COGNITION,2,0,1,0,0,0,0,0,0,0,1,0
25,,MIND LANG,2,0,0,0,0,0,0,1,1,0,0,0
26,,VOP FILOS,2,0,0,0,0,2,0,0,0,0,0,0
27,2.571,ACAD MED,1,0,0,0,0,0,0,0,0,0,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
