Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,417228,6211,25635,32644,26499,28669,29007,29453,30091,21652,23433,163934
2,,ALL OTHERS (794),794,6,25,51,37,38,37,46,68,35,54,397
3,9.598,P NATL ACAD SCI USA,6806,161,655,760,560,563,545,458,437,342,316,2009
4,5.581,J BIOL CHEM,6125,54,362,464,344,450,467,379,487,344,370,2404
5,3.172,PHYS REV B,4673,87,355,457,525,488,398,399,398,331,438,797
6,28.751,NATURE,3955,788,576,413,350,268,230,221,173,135,119,682
7,6.944,PHYS REV LETT,3410,79,350,458,437,370,294,289,223,178,216,516
8,6.068,J IMMUNOL,2941,32,283,204,83,178,207,212,158,156,220,1208
9,7.490,J NEUROSCI,2906,38,174,188,153,183,249,179,201,177,194,1170
10,6.405,ASTROPHYS J,2758,44,448,475,162,199,103,79,41,88,180,939
11,3.596,APPL PHYS LETT,2694,72,263,241,317,306,187,205,213,159,221,510
12,2.953,J GEOPHYS RES,2654,14,109,315,141,137,165,168,156,147,127,1175
13,7.885,J AM CHEM SOC,2221,47,165,197,118,167,190,158,160,131,103,785
14,2.893,PHYS REV A,2202,38,141,274,271,319,284,275,161,98,132,209
15,,P SOC PHOTO-OPT INS,2121,40,116,163,153,269,167,170,135,114,98,696
16,26.372,SCIENCE,2088,101,307,275,219,167,151,123,124,90,81,450
17,,J PHYS CHEM C,2010,11,73,113,75,146,146,155,166,116,152,857
18,4.472,J MOL BIOL,1935,15,124,150,106,153,113,95,133,77,81,888
19,2.749,BIOCHEM BIOPH RES CO,1903,26,108,116,117,142,128,147,149,117,125,728
20,6.420,MOL CELL BIOL,1801,23,115,163,112,159,176,116,168,120,93,556
21,5.332,J VIROL,1791,21,135,213,104,178,123,90,78,47,119,683
22,3.368,BIOCHEMISTRY-US,1782,15,103,126,99,106,123,107,114,75,94,820
23,29.887,CELL,1699,106,271,221,162,154,116,111,118,64,61,315
24,4.714,DEV BIOL,1662,8,82,135,80,124,116,65,130,109,109,704
25,7.672,CANCER RES,1648,37,132,198,128,106,125,137,132,82,94,477
26,6.954,NUCLEIC ACIDS RES,1638,31,136,188,147,108,150,109,120,55,61,533
27,10.896,BLOOD,1555,17,94,135,83,113,78,119,128,88,95,605
28,2.483,PHYS REV E,1543,14,71,149,80,143,77,139,138,113,183,436
29,6.440,ONCOGENE,1517,31,109,148,99,103,115,114,127,97,87,487
30,3.873,EARTH PLANET SC LETT,1467,15,82,140,126,75,56,60,59,61,52,741
31,3.314,CELL CYCLE,1382,66,117,172,110,114,80,102,124,96,60,341
32,10.031,ANGEW CHEM INT EDIT,1361,32,141,94,67,124,102,86,115,90,78,432
33,,AIP CONF P,1328,20,156,130,113,96,91,66,56,46,82,472
34,4.627,BIOPHYS J,1309,8,75,134,79,110,89,82,69,74,53,536
35,4.259,ASTRON ASTROPHYS,1282,17,168,156,101,70,46,49,29,46,67,533
36,2.171,J APPL PHYS,1269,6,78,88,148,136,118,92,110,93,90,310
37,2.744,GEOPHYS RES LETT,1246,20,117,166,125,78,86,71,81,71,65,366
38,4.001,GENETICS,1228,28,76,100,95,110,104,84,74,52,55,450
39,7.293,DEVELOPMENT,1224,21,72,132,76,111,75,59,105,77,56,440
40,3.684,J NEUROPHYSIOL,1221,8,58,57,42,77,98,77,66,77,119,542
41,3.044,J CHEM PHYS,1200,20,55,85,48,60,102,126,95,77,104,428
42,4.086,J PHYS CHEM B,1174,5,76,81,60,59,65,115,95,85,49,484
43,4.009,LANGMUIR,1172,5,32,74,48,84,51,97,103,70,72,536
44,1.886,J PHYS-CONDENS MAT,1140,2,58,58,84,97,111,129,110,95,113,283
45,1.731,ANN NY ACAD SCI,1095,24,88,76,75,69,72,71,74,78,47,421
46,14.795,GENE DEV,1081,51,128,133,106,91,83,78,72,40,39,260
47,8.662,EMBO J,1061,14,69,98,84,80,77,83,98,68,59,331
48,13.410,NEURON,1057,30,72,86,78,72,95,69,75,72,61,347
49,3.310,NANOTECHNOLOGY,1038,3,38,59,51,110,72,76,86,55,117,371
50,5.249,MON NOT R ASTRON SOC,1020,1,47,208,81,69,44,32,22,43,39,434
51,10.539,CURR BIOL,1017,52,124,123,80,73,64,84,59,43,51,264
