Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,394223,6022,27827,34615,33475,31858,30107,26826,23774,21715,22504,135500
2,,ALL OTHERS (914),914,6,47,64,74,76,59,48,49,50,33,408
3,9.598,P NATL ACAD SCI USA,10254,709,1152,1274,1084,988,832,616,547,438,432,2182
4,5.581,J BIOL CHEM,9349,172,720,741,765,701,691,691,583,529,538,3218
5,5.332,J VIROL,3858,49,312,426,417,289,242,191,183,181,188,1380
6,3.368,BIOCHEMISTRY-US,3731,48,266,318,261,266,250,235,224,208,215,1440
7,4.472,J MOL BIOL,3386,49,195,318,308,245,263,228,201,190,176,1213
8,6.068,J IMMUNOL,3360,28,249,257,340,273,216,235,203,181,206,1172
9,7.490,J NEUROSCI,3065,92,220,283,273,249,227,234,187,211,218,871
10,4.013,J BACTERIOL,2711,44,205,220,187,204,208,189,212,136,150,956
11,7.672,CANCER RES,2572,28,193,235,232,240,189,221,147,150,162,775
12,2.749,BIOCHEM BIOPH RES CO,2552,34,153,176,204,216,204,195,169,159,153,889
13,6.954,NUCLEIC ACIDS RES,2520,38,156,205,203,205,218,165,143,138,156,893
14,4.627,BIOPHYS J,2351,20,192,262,212,198,193,152,151,145,105,721
15,7.885,J AM CHEM SOC,2331,66,240,331,238,209,214,119,110,126,102,576
16,6.440,ONCOGENE,2124,17,142,190,156,166,161,158,153,151,157,673
17,10.896,BLOOD,2104,25,168,182,199,158,162,141,114,131,131,693
18,6.420,MOL CELL BIOL,2091,18,144,199,181,179,165,162,144,122,119,658
19,5.462,MOL MICROBIOL,1733,57,120,169,156,130,114,137,130,90,85,545
20,4.451,J NEUROCHEM,1652,13,91,140,121,128,107,118,130,103,128,573
21,4.086,J PHYS CHEM B,1543,21,133,185,121,137,145,82,96,92,71,460
22,4.001,GENETICS,1533,26,105,149,126,134,125,118,85,64,69,532
23,2.218,BRAIN RES,1434,15,55,76,78,99,77,103,110,100,116,605
24,1.731,ANN NY ACAD SCI,1423,24,100,92,107,105,85,121,64,81,75,569
25,3.352,NEUROSCIENCE,1414,9,72,95,94,109,104,97,86,95,85,568
26,28.751,NATURE,1409,87,214,203,151,126,112,80,56,74,49,257
27,3.263,FEBS LETT,1370,39,121,111,119,97,109,80,78,68,83,465
28,6.367,PLANT PHYSIOL,1369,37,113,123,118,93,93,89,124,93,114,372
29,3.314,CELL CYCLE,1302,65,162,110,97,109,107,103,80,71,69,329
30,2.989,FRONT BIOSCI,1294,2,44,110,106,97,86,102,69,58,74,546
31,3.765,VIROLOGY,1258,2,85,114,166,77,88,76,55,62,51,482
32,4.714,DEV BIOL,1256,15,92,117,115,99,87,85,84,101,70,391
33,5.239,CELL MOL LIFE SCI,1186,16,117,111,95,103,76,75,61,63,85,384
34,3.996,INFECT IMMUN,1185,12,81,105,113,106,115,76,77,72,49,379
35,3.673,EUR J NEUROSCI,1168,15,74,97,85,97,94,97,73,87,67,382
36,4.180,BMC GENOMICS,1162,9,93,127,123,117,99,106,63,55,84,286
37,8.662,EMBO J,1130,20,93,117,104,85,90,101,64,78,45,333
38,6.250,CLIN CANCER RES,1128,15,69,102,81,95,76,129,64,55,90,352
39,5.045,ENDOCRINOLOGY,1121,11,59,81,93,71,79,74,74,70,64,445
40,3.396,FEBS J,1119,17,74,73,95,82,90,72,81,44,78,413
41,9.653,PLANT CELL,1099,30,109,101,107,100,100,85,77,79,74,237
42,16.915,J CLIN INVEST,1095,28,102,128,104,114,83,86,51,47,47,305
43,2.871,GENE,1092,11,62,69,83,100,83,63,53,66,70,432
44,6.751,PLANT J,1090,13,77,104,99,94,92,83,76,89,79,284
45,29.887,CELL,1069,63,139,122,120,76,78,63,59,61,39,249
46,3.044,J CHEM PHYS,1055,30,84,184,90,111,94,67,73,45,34,243
47,26.372,SCIENCE,1019,76,184,137,102,68,88,69,45,47,22,181
48,6.383,J CELL SCI,1009,18,115,92,98,82,75,60,65,65,62,277
49,4.009,BIOCHEM J,1001,5,62,86,78,68,84,68,70,51,59,370
50,4.868,CURR PHARM DESIGN,989,3,30,74,67,81,86,80,64,66,62,376
51,1.671,NAT PROTOC,987,21,72,87,103,76,79,50,60,46,39,354
52,6.028,MOL BIOL CELL,974,11,75,79,87,77,68,57,67,45,65,343
53,4.004,APPL ENVIRON MICROB,971,13,86,92,78,75,108,49,62,55,51,302
54,0.663,ADV EXP MED BIOL,962,0,42,86,98,60,79,62,64,68,65,338
55,6.589,GENOME BIOL,962,18,94,127,116,125,100,79,53,33,63,154
56,14.795,GENE DEV,951,35,118,118,104,94,75,58,47,50,39,213
57,5.457,NEUROIMAGE,936,2,66,79,64,76,83,106,71,65,105,219
58,6.438,MOL BIOL EVOL,916,11,66,114,91,87,100,53,54,49,43,248
59,3.354,PROTEINS,914,3,41,109,84,77,83,62,46,60,50,299
60,3.493,BMC BIOINFORMATICS,911,8,48,118,105,121,90,104,45,64,65,143
61,13.156,MOL CELL,911,35,98,88,92,63,73,55,59,44,43,261
62,3.684,J NEUROPHYSIOL,907,12,49,77,64,65,48,70,85,53,47,337
63,4.580,J PHYSIOL-LONDON,902,10,65,71,70,68,65,72,59,48,60,314
64,4.944,CURR MED CHEM,896,11,61,61,69,61,73,57,55,59,54,335
65,2.483,PHYS REV E,894,26,96,119,111,75,83,47,77,24,27,209
66,5.039,BIOINFORMATICS,887,8,49,135,91,102,105,89,57,56,66,129
67,13.410,NEURON,886,40,88,102,86,87,65,49,49,50,45,225
68,10.031,ANGEW CHEM INT EDIT,876,18,88,119,114,70,101,47,39,44,38,198
69,7.531,STEM CELLS,853,8,53,62,66,117,79,65,76,53,41,233
70,9.598,J CELL BIOL,845,23,78,90,90,79,53,61,34,46,37,254
71,,P SOC PHOTO-OPT INS,832,12,64,96,76,87,91,37,71,31,37,230
72,2.122,METHOD ENZYMOL,830,3,62,51,72,49,67,67,40,43,40,336
73,6.791,FASEB J,827,5,68,61,78,62,71,59,56,49,69,249
74,7.293,DEVELOPMENT,807,20,76,73,75,72,63,48,64,43,36,237
75,4.555,INT J CANCER,805,4,28,68,53,60,46,83,54,48,73,288
76,3.110,MICROBIOL-SGM,789,7,46,59,79,76,60,47,58,40,39,278
77,6.236,PLOS COMPUT BIOL,776,13,83,127,95,94,73,44,34,30,29,154
78,3.377,VACCINE,769,10,35,72,74,53,35,37,45,38,40,330
