Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,3626,36,189,374,448,301,435,359,203,215,230,836
2,,ALL OTHERS (205),205,2,3,14,17,12,32,18,7,10,17,73
3,1.604,MEM COGNITION,332,1,16,27,50,35,29,48,29,14,12,71
4,1.935,PSYCHON B REV,247,11,23,30,47,20,34,22,13,8,5,34
5,2.408,J EXP PSYCHOL LEARN,154,1,14,24,26,18,14,10,8,6,6,27
6,1.371,PERCEPT PSYCHOPHYS,137,0,17,13,25,9,16,12,4,5,5,31
7,2.580,J EXP PSYCHOL HUMAN,128,0,7,16,20,10,17,11,3,16,9,19
8,7.803,PSYCHOL REV,102,0,7,11,13,10,8,11,9,6,3,24
9,1.104,Q J EXP PSYCHOL,87,1,3,8,5,8,6,13,10,10,4,19
10,2.474,J MEM LANG,65,0,4,4,4,7,7,10,5,2,4,18
11,3.630,NEUROPSYCHOLOGIA,62,1,6,7,9,7,2,4,3,7,5,11
12,1.403,MEMORY,60,1,3,10,6,2,2,5,5,2,7,17
13,,BRAIN RES,54,1,3,4,1,10,13,2,2,2,3,13
14,3.831,COGNITION,52,0,1,4,5,3,14,2,4,3,9,7
15,1.617,PERCEPTION,50,1,1,1,5,3,3,8,2,4,8,14
16,1.847,PSYCHOL RES-PSYCH FO,49,0,0,4,7,12,4,2,3,2,3,12
17,2.732,CONSCIOUS COGN,48,0,2,4,2,4,9,4,2,4,4,13
18,,J VISION,48,1,3,8,5,3,4,3,2,5,2,12
19,4.251,PSYCHOL SCI,48,0,2,10,6,1,8,5,4,1,3,8
20,5.594,J EXP PSYCHOL GEN,47,0,1,6,9,4,8,4,3,2,2,8
21,,VISION RES,46,0,3,3,5,1,4,4,3,11,3,9
22,1.727,VIS COGN,44,0,0,7,9,2,2,3,1,3,3,14
23,0.963,BEHAV RES METHODS,42,1,3,2,4,5,3,3,3,3,3,12
