Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,2225,50,159,177,174,190,145,134,122,104,91,879
2, ,ALL OTHERS (983),983,25,76,66,92,64,51,53,56,42,38,420
3,3.008,ARTIF INTELL,192,9,9,12,11,22,16,6,9,5,7,86
4, ,LECT NOTES COMPUT SC,53,0,3,11,8,3,8,5,5,3,2,5
5,0.821,J LOGIC COMPUT,44,0,1,4,3,18,1,3,0,6,2,6
6, ,LECT NOTES ARTIF INT,44,0,4,2,8,4,3,8,6,1,2,6
7, ,GAME ECON BEHAV,26,0,1,0,3,2,0,1,0,8,1,10
8,1.107,J ARTIF INTELL RES,26,0,0,5,0,5,2,4,3,1,0,6
9,2.972,ECONOMETRICA,25,0,0,2,0,0,0,2,2,3,0,16
10,3.136,J ACM,19,0,0,0,0,2,2,2,1,2,0,10
11,0.735,THEOR COMPUT SCI,16,0,0,1,2,0,1,1,0,0,1,10
12,1.742,MACH LEARN,15,0,2,0,0,0,0,0,2,3,0,8
13,1.373,FUZZY SET SYST,14,0,0,0,1,1,1,3,0,1,1,6
14, ,INT C MACH LEARN,13,0,0,1,2,3,0,2,0,1,0,4
15, ,P COMP VIS PATT REC,13,0,1,0,3,3,0,1,2,0,2,1
16,1.972,COMPUT INTELL,12,0,0,0,0,0,0,2,0,0,5,5
17,0.588,ANN MATH ARTIF INTEL,11,0,0,0,1,1,4,1,0,2,1,1
18, ,FRONTIERS ARTIFICIAL,11,0,11,0,0,0,0,0,0,0,0,0
19,3.579,IEEE T PATTERN ANAL,11,0,1,1,0,1,1,1,3,0,0,3
20, ,COGNITIVE SCI,10,0,0,1,1,0,0,0,0,0,0,8
21, ,P INT JOINT C ART IN,10,0,0,2,0,4,0,1,0,0,0,3
22,1.310,SIAM J COMPUT,10,0,0,1,0,2,3,1,0,1,0,2
23, ,HANDB PHILOS LOGIC,9,0,0,0,0,0,6,1,0,0,0,2
24, ,NAT C ART INT,9,0,1,3,2,0,2,0,0,0,1,0
25, ,ADV NEURAL INFORM PR,8,2,0,3,1,0,0,1,0,1,0,0
26, ,J APPL NONCLASSICAL,8,0,0,0,0,1,0,0,1,0,0,6
27, ,J ECON THEORY,8,0,0,1,0,0,1,1,0,1,0,4
28,1.312,KNOWL ENG REV,8,1,2,0,1,2,0,0,1,0,0,1
29, ,P 19 INT JOINT C ART,8,0,0,8,0,0,0,0,0,0,0,0
30, ,ADV NEURAL INFORMATI,7,0,0,3,0,0,2,1,0,1,0,0
31,0.667,INT J INTELL SYST,7,1,0,1,0,2,0,2,0,0,0,1
32,2.682,J MACH LEARN RES,7,0,0,0,0,4,3,0,0,0,0,0
33,0.609,J SYMBOLIC LOGIC,7,0,0,0,0,0,0,0,0,0,0,7
34, ,P 14 INT JOINT C ART,7,0,0,0,0,0,0,0,0,0,0,7
35, ,P 21 NAT C ART INT A,7,0,7,0,0,0,0,0,0,0,0,0
36, ,STUD LOGICA,7,0,0,1,0,3,0,0,0,1,0,2
37,0.693,FUND INFORM,6,0,0,0,2,1,1,1,0,0,0,1
38,0.376,INT J UNCERTAIN FUZZ,6,0,0,0,0,0,1,2,0,1,0,2
39,1.467,OPER RES,6,0,0,1,0,0,0,0,0,0,1,4
40, ,P 18 INT JOINT C ART,6,0,0,0,0,6,0,0,0,0,0,0
41, ,THEOR LEARN GAME,6,0,0,0,0,0,0,0,0,0,6,0
42, ,AM ASS ARTIFICIAL IN,5,0,1,2,0,0,0,0,0,0,1,1
43, ,AM ECON REV,5,0,0,0,0,2,0,0,0,0,3,0
44,0.753,APPL ARTIF INTELL,5,1,0,0,0,0,0,0,1,1,2,0
45, ,ARGUMENTATION SCHEME,5,0,0,0,0,0,0,0,0,0,0,5
46,1.593,COMMUN ACM,5,0,0,0,1,0,0,0,0,0,0,4
47, ,COMPUTERS INTRACTABI,5,0,0,0,0,0,0,0,0,0,0,5
48, ,IEEE T SYST MAN CYB,5,0,0,0,0,0,0,0,0,0,0,5
49,1.364,INT J HUM-COMPUT ST,5,0,2,0,1,0,0,0,1,0,1,0
50, ,J PHILOS LOGIC,5,0,0,0,0,0,0,0,0,0,0,5
51,0.875,MATH OPER RES,5,0,0,0,0,3,0,0,0,0,0,2
52, ,P 5 INT JOINT C AUT,5,0,5,0,0,0,0,0,0,0,0,0
53, ,P NAT C ART INT AAAI,5,0,1,1,0,0,2,0,0,0,0,1
54,0.350,SYNTHESE,5,0,1,2,0,0,0,1,0,0,0,1
55,5.250,ACM COMPUT SURV,4,0,0,0,0,0,0,0,4,0,0,0
56,1.944,ANN STAT,4,0,0,0,0,0,0,0,1,0,1,2
57, ,C NEUR INF PROC SYST,4,0,0,2,0,1,1,0,0,0,0,0
58,1.182,COMPUT COMPLEX,4,0,0,0,0,0,0,0,0,0,0,4
59, ,COMPUT MODELS,4,0,4,0,0,0,0,0,0,0,0,0
60, ,ENCY ARTIFICIAL INTE,4,0,0,0,0,0,0,0,0,0,0,4
61,2.824,IEEE T AUTOMAT CONTR,4,0,0,1,0,1,1,0,0,0,0,1
62,1.680,IEEE T COMPUT,4,0,0,0,0,0,0,0,0,1,0,3
63,2.315,IEEE T INFORM THEORY,4,0,0,0,0,0,0,0,0,0,0,4
64, ,INT COMPUT GAMES A,4,0,2,2,0,0,0,0,0,0,0,0
65,3.381,INT J COMPUT VISION,4,0,1,1,1,0,1,0,0,0,0,0
66, ,INT JOINT C ART INT,4,0,0,2,0,1,0,1,0,0,0,0
67,1.185,J COMPUT SYST SCI,4,1,0,1,0,0,0,0,0,0,0,2
68, ,J LOGIC PROGRAM,4,0,0,0,0,0,0,0,1,0,0,3
69, ,P 1 INT C COMP MOD A,4,0,4,0,0,0,0,0,0,0,0,0
70, ,P 13 NAT C ART INT A,4,0,0,0,0,0,0,0,0,0,0,4
71, ,P 13 NATL C ART INT,4,0,0,0,0,0,0,0,0,0,0,4
72, ,P 20 INT JOINT C ART,4,4,0,0,0,0,0,0,0,0,0,0
73, ,P C AUT AG MULT AG S,4,0,0,0,0,1,3,0,0,0,0,0
