Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,5158,57,219,318,357,377,326,333,310,271,248,2342
2, ,ALL OTHERS (829),829,6,27,34,33,40,49,42,42,24,29,503
3,2.641,BRAIN LANG,574,30,38,33,55,36,23,22,34,18,34,251
4,3.630,NEUROPSYCHOLOGIA,183,2,8,20,8,11,12,15,12,9,15,71
5, ,NEUROIMAGE,157,1,15,13,30,30,20,10,7,14,3,14
6,4.997,J COGNITIVE NEUROSCI,156,0,11,17,19,12,12,5,15,11,6,48
7, ,BRAIN,134,0,4,4,9,4,15,3,8,9,8,70
8,2.474,J MEM LANG,86,2,8,5,2,3,7,6,5,5,4,39
9, ,COGNITIVE BRAIN RES,81,0,1,14,17,21,7,7,3,6,1,4
10,3.831,COGNITION,73,3,3,2,13,1,1,3,2,7,1,37
11, ,APHASIOLOGY,64,5,8,5,4,2,8,4,3,2,9,14
12,1.925,COGN NEUROPSYCHOL,64,1,2,5,4,4,3,2,3,0,1,39
13,2.308,BRAIN COGNITION,58,0,0,1,1,2,8,7,9,4,4,22
14, ,CORTEX,58,0,7,2,6,1,3,5,1,1,2,30
15, ,NEUROLOGY,58,1,1,3,4,6,3,4,3,1,4,28
16,2.408,J EXP PSYCHOL LEARN,56,0,0,6,1,5,0,6,1,1,1,35
17, ,P NATL ACAD SCI USA,56,0,2,4,3,3,3,4,3,1,9,24
18,9.389,TRENDS COGN SCI,56,0,1,6,3,16,8,5,12,2,3,0
19,7.803,PSYCHOL REV,54,0,0,0,3,0,3,3,3,1,0,41
20, ,SCIENCE,54,0,1,2,4,0,3,1,1,7,0,35
21,1.383,LANG COGNITIVE PROC,52,0,1,2,1,3,0,5,6,3,3,28
22, ,NEUROREPORT,49,0,0,5,4,5,6,7,4,4,2,12
23, ,CEREB CORTEX,48,1,9,5,9,4,2,3,0,0,2,13
24, ,ANN NEUROL,46,0,3,4,6,2,3,6,2,5,0,15
25,1.200,J NEUROLINGUIST,42,1,2,5,2,13,7,1,4,0,0,7
26, ,NATURE,41,0,0,0,1,0,0,1,5,0,3,31
27,1.604,MEM COGNITION,35,0,0,1,0,0,8,1,2,0,0,23
28,3.349,PSYCHOPHYSIOLOGY,35,0,1,5,2,2,1,4,3,4,0,13
29,1.452,J SPEECH LANG HEAR R,34,0,2,0,2,8,1,6,4,5,2,4
30, ,HUM BRAIN MAPP,32,0,1,2,5,2,1,6,4,4,0,7
31, ,J NEUROSCI,31,0,1,3,2,3,1,0,2,2,0,17
32,4.251,PSYCHOL SCI,31,0,0,5,2,1,3,2,7,3,0,8
33,17.462,BEHAV BRAIN SCI,30,0,0,2,2,2,1,1,9,8,0,5
34,2.987,NEUROPSYCHOLOGY,29,0,1,4,0,4,1,2,2,6,3,6
35, ,J SPEECH HEAR RES,28,0,0,0,0,0,0,0,0,0,0,28
36, ,NAT NEUROSCI,28,0,1,6,4,8,3,4,0,0,2,0
37,0.500,J PSYCHOLINGUIST RES,27,0,1,1,0,1,1,6,0,2,1,14
38, ,ARCH NEUROL-CHICAGO,25,0,0,0,0,1,1,1,1,0,0,21
39, ,J CEREBR BLOOD F MET,25,0,0,0,1,4,2,4,2,0,0,12
40, ,NEURON,25,0,1,1,3,8,4,5,0,2,1,0
41, ,EUR J NEUROSCI,24,0,0,2,2,8,2,4,0,4,1,1
42, ,STROKE,24,0,1,2,3,4,3,2,1,2,1,5
43, ,NAT REV NEUROSCI,23,0,2,2,2,2,3,11,1,0,0,0
44,1.563,J EXP CHILD PSYCHOL,22,0,1,1,2,1,0,1,1,0,0,15
45,1.935,PSYCHON B REV,21,0,2,2,1,2,2,4,3,1,0,4
46, ,TRENDS NEUROSCI,21,0,0,1,2,1,0,1,2,1,9,4
47, ,J ACOUST SOC AM,20,0,0,0,1,1,1,1,0,1,1,14
48,2.580,J EXP PSYCHOL HUMAN,20,0,0,0,0,0,0,1,0,1,1,17
49, ,J VERB LEARN VERB BE,20,0,0,0,0,0,0,0,0,0,0,20
50, ,MAGN RESON MED,19,0,0,1,1,1,2,3,0,2,1,8
51, ,CURR OPIN NEUROBIOL,17,0,0,1,0,4,4,3,1,0,0,4
52,2.922,DEV NEUROPSYCHOL,17,0,0,1,1,1,5,2,0,3,0,4
53,1.691,J CLIN EXP NEUROPSYC,17,0,1,1,0,0,0,1,2,1,0,11
54,0.484,J PRAGMATICS,17,0,1,0,0,2,1,0,0,7,1,5
55,2.449,Q J EXP PSYCHOL-A,17,0,0,1,4,0,0,1,0,0,0,11
56, ,BRAIN RES,15,2,2,0,0,0,0,0,0,0,1,10
57,4.026,COGNITIVE PSYCHOL,15,0,0,2,0,5,0,0,0,0,2,6
58, ,EXP BRAIN RES,15,0,0,1,2,0,0,0,2,1,4,5
59,1.040,METAPHOR SYMBOL,15,0,1,0,1,1,0,4,6,1,1,0
60, ,RIGHT HEMISPHERE LAN,15,0,0,0,0,0,0,0,0,0,14,1
61,2.179,COGNITIVE SCI,14,0,0,1,0,3,0,2,0,2,1,5
62,5.594,J EXP PSYCHOL GEN,14,0,0,0,1,2,2,0,1,0,0,8
63, ,NEUROCASE,14,0,2,2,4,1,1,2,0,0,1,1
64, ,NEUROSCI LETT,14,0,0,3,3,2,0,1,0,2,1,2
65,10.905,PSYCHOL BULL,14,0,0,2,0,0,0,0,0,1,1,10
66,0.963,BEHAV RES METHODS,13,0,0,0,1,0,1,1,0,2,0,8
67,3.382,CHILD DEV,13,0,0,0,1,0,0,0,0,0,4,8
68, ,AM J PHYSIOL-HEART C,12,0,1,1,0,3,1,1,0,2,0,3
69, ,CLIN NEUROPHYSIOL,12,0,0,1,1,0,5,3,0,2,0,0
70,3.198,DEVELOPMENTAL SCI,12,0,6,0,0,0,1,1,0,4,0,0
71,0.880,J CHILD LANG,12,0,0,1,1,0,2,2,1,0,0,5
72,2.353,J EDUC PSYCHOL,12,0,0,0,0,0,0,0,1,4,0,7
73, ,ANNU REV NEUROSCI,11,0,0,0,5,0,4,1,0,0,0,1
74, ,COGNITIVE NEUROPSYCH,11,1,0,1,0,0,0,0,0,0,0,9
75, ,J NEUROPHYSIOL,11,0,0,0,0,2,0,2,1,0,0,6
76, ,METAPHOR THOUGHT,11,0,0,0,0,0,0,0,0,0,0,11
77,0.615,CLIN LINGUIST PHONET,10,0,2,1,0,1,0,3,1,1,0,1
