Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,18407,39,700,1567,1649,1568,1476,1429,1344,1174,998,6463
2, ,ALL OTHERS (1166),1166,8,64,65,81,65,55,66,44,58,40,620
3,7.490,J NEUROSCI,1244,1,62,116,112,129,115,87,100,71,65,386
4,5.457,NEUROIMAGE,1038,2,78,166,179,137,147,114,54,66,31,64
5,3.684,J NEUROPHYSIOL,816,1,23,64,51,61,66,57,69,38,60,326
6,6.519,CEREB CORTEX,762,9,56,132,67,76,64,62,55,49,25,167
7,26.372,SCIENCE,577,0,5,32,53,32,32,53,31,27,43,269
8,9.598,P NATL ACAD SCI USA,557,0,13,39,54,37,38,62,56,31,71,156
9,13.410,NEURON,545,0,22,62,60,83,75,61,25,56,41,60
10,15.664,NAT NEUROSCI,523,2,13,67,66,54,62,60,92,76,31,0
11,28.751,NATURE,517,1,11,20,27,19,16,39,25,64,47,248
12,3.915,J COMP NEUROL,494,0,9,24,15,17,14,12,20,22,29,332
13,8.568,BRAIN,400,1,9,22,14,47,32,32,34,44,27,138
14,4.997,J COGNITIVE NEUROSCI,347,0,18,53,45,36,21,22,61,20,12,59
15,3.630,NEUROPSYCHOLOGIA,326,1,22,32,17,43,12,25,22,23,11,118
16,2.027,EXP BRAIN RES,286,2,5,25,12,21,23,16,19,15,12,136
17,2.163,NEUROREPORT,267,0,6,14,26,30,30,31,33,18,25,54
18,2.218,BRAIN RES,255,0,11,1,2,10,5,2,7,15,7,195
19,3.673,EUR J NEUROSCI,244,0,9,33,37,31,21,22,19,20,15,37
20,6.151,HUM BRAIN MAPP,204,0,13,21,13,7,25,10,18,25,13,59
21,3.352,NEUROSCIENCE,204,1,23,13,17,19,11,16,12,12,8,72
22,9.389,TRENDS COGN SCI,199,2,15,26,33,23,27,12,39,12,5,5
23,24.520,NAT REV NEUROSCI,181,0,7,18,33,30,41,36,16,0,0,0
