Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,3906,11,4,134,244,342,346,324,357,288,261,1595
2, ,ALL OTHERS (1929),1929,0,0,52,141,180,181,171,180,141,129,754
3,1.602,COMPUT EDUC,169,11,0,24,24,24,15,15,16,3,9,28
4,1.344,COMPUT HUM BEHAV,46,0,0,5,3,4,3,6,3,5,3,14
5,5.826,MIS QUART,40,0,0,0,0,3,0,3,3,4,1,26
6,2.353,J EDUC PSYCHOL,34,0,0,0,0,4,2,3,0,2,3,20
7,0.574,BRIT J EDUC TECHNOL,32,0,0,4,5,4,4,2,3,6,0,4
8, ,J EDUC COMPUT RES,32,0,0,1,0,1,3,1,4,2,0,20
9, ,COMMUN ACM,26,0,0,1,0,0,2,0,2,0,3,18
10,1.364,INT J HUM-COMPUT ST,24,0,0,1,2,3,3,3,1,2,0,9
11,2.600,REV EDUC RES,24,0,0,0,1,0,1,3,2,0,5,12
12,2.682,INFORM SYST RES,21,0,0,0,0,0,3,2,3,0,1,12
13, ,EDUC TECHNOL,20,0,0,1,1,2,2,0,1,4,2,7
14, ,IEEE T EDUC,19,0,0,3,0,3,5,1,3,2,0,2
15,0.800,J COMPUT ASSIST LEAR,18,0,0,2,4,2,2,2,1,1,3,1
16, ,EDUC RESEARCHER,17,0,0,0,0,4,0,0,0,0,1,12
17,0.270,ETR&D-EDUC TECH RES,17,0,0,0,1,1,3,2,1,2,0,7
18, ,J ASYNCHRONOUS LEARN,17,0,0,0,1,4,3,3,2,1,2,1
19,1.519,COGNITION INSTRUCT,16,0,0,0,0,0,2,2,0,0,1,11
20,1.631,INFORM MANAGE-AMSTER,16,0,0,1,1,5,1,3,1,0,2,2
21, ,AM J DISTANCE ED,15,0,0,1,0,1,2,2,1,0,0,8
22,1.930,AM EDUC RES J,14,0,0,0,0,1,0,2,1,0,0,10
23,0.541,INT J SCI EDUC,14,0,0,2,1,2,0,1,3,2,0,3
24,1.605,J INF TECHNOL,14,0,0,0,0,0,0,2,2,0,1,9
25, ,LECT NOTES COMPUT SC,14,0,0,0,2,2,6,2,1,0,0,1
26,1.571,J LEARN SCI,13,0,0,0,0,0,0,0,1,1,2,9
27,1.931,MANAGE SCI,13,0,0,0,0,0,0,0,2,0,0,11
28,1.148,J RES SCI TEACH,12,0,0,0,0,1,0,1,0,1,1,8
29,4.505,J PERS SOC PSYCHOL,11,0,0,0,0,0,1,0,0,0,0,10
30, ,THESIS NATL TAIWAN N,11,0,0,0,0,0,2,0,0,0,0,9
31,5.017,ACAD MANAGE J,10,0,0,0,0,0,0,1,0,1,0,8
32,2.179,COGNITIVE SCI,10,0,0,0,0,1,0,1,0,0,0,8
33, ,J RES COMPUTING ED,10,0,0,0,0,0,0,0,0,2,2,6
34,1.029,LEARN INSTR,10,0,0,0,0,3,1,1,0,2,0,3
35,1.481,COMMUN RES,9,0,0,0,0,0,0,0,0,0,1,8
36,2.231,EDUC PSYCHOL-US,9,0,0,0,0,1,0,0,2,0,0,6
37, ,HUM-COMPUT INTERACT,9,0,0,0,0,2,0,0,0,0,1,6
38, ,J ED MULTIMEDIA HYPE,9,0,0,0,0,0,3,2,1,0,1,2
39,3.000,J ENG EDUC,9,0,0,2,0,1,0,2,0,1,1,2
40, ,J INTERACTIVE LEARNI,9,0,0,0,0,2,0,2,2,2,0,1
41, ,STUD HEALTH TECHNOL,9,0,0,1,1,0,0,4,1,1,1,0
42, ,AM J PHYS,8,0,0,0,0,0,0,1,0,1,0,6
43,6.967,AM PSYCHOL,8,0,0,0,0,0,0,0,0,0,1,7
44, ,COMPUT APPL ENG EDUC,8,0,0,0,1,0,0,1,2,2,0,2
45, ,DECIS SUPPORT SYST,8,0,0,0,3,1,1,0,2,0,0,1
46,0.831,EDUC PSYCHOL MEAS,8,0,0,0,0,0,0,0,0,0,0,8
47, ,EDUC PSYCHOL-UK,8,0,0,0,3,0,0,0,1,0,1,3
48, ,HDB RES ED COMMUNICA,8,0,0,0,1,0,0,0,0,0,0,7
49, ,INT J ED TELECOMMUNI,8,0,0,0,0,0,0,1,3,1,0,3
50, ,INTERNET HIGHER ED,8,0,0,0,0,2,3,1,2,0,0,0
51, ,J CHEM EDUC,8,0,0,0,0,1,1,2,1,0,1,2
52, ,J COMPUT ASSIST TOMO,8,0,1,0,0,0,0,0,1,0,1,5
53,0.936,SCI EDUC,8,0,0,1,0,2,1,0,0,0,2,2
54,1.368,CYBERPSYCHOL BEHAV,7,0,0,0,0,0,0,2,4,0,1,0
55,1.435,DECISION SCI,7,0,0,0,0,0,0,1,0,1,0,5
56, ,GEN THEOR EXPERTISE,7,0,0,0,0,0,0,0,0,0,0,7
57,1.867,J MANAGE INFORM SYST,7,0,0,0,0,2,0,0,0,1,0,4
58, ,J TECHNOL TEACHER,7,0,0,1,1,1,0,0,0,2,0,2
59,10.905,PSYCHOL BULL,7,0,0,0,0,0,0,0,0,0,0,7
60, ,USER MODEL USER-ADAP,7,0,0,0,0,0,2,1,0,0,0,4
61, ,ACM SIGCSE B,6,0,0,0,0,0,3,0,0,0,1,2
62,13.400,ANNU REV PSYCHOL,6,0,0,0,0,0,2,0,0,0,0,4
63,1.487,CONTEMP EDUC PSYCHOL,6,0,0,1,0,0,0,1,1,0,1,2
64,0.142,EDUC LEADERSHIP,6,0,0,0,0,0,0,0,3,0,0,3
65, ,EDUC STUD MATH,6,0,0,0,1,0,0,1,0,0,2,2
66, ,INT J ARTIFICIAL INT,6,0,0,0,0,0,0,2,2,1,0,1
67, ,INT J MAN MACH STUD,6,0,0,0,0,0,0,0,0,0,0,6
68,0.969,INTERACT COMPUT,6,0,0,0,1,0,0,0,1,4,0,0
69,1.436,J AM SOC INF SCI TEC,6,0,0,0,0,0,2,0,2,0,0,2
70, ,MED EDUC,6,0,0,0,2,0,1,0,1,0,0,2
71,1.167,SMALL GR RES,6,0,0,0,0,0,2,0,1,0,0,3
72,0.589,TEACH TEACH EDUC,6,0,0,0,0,0,0,1,2,0,1,2
73, ,THESIS NATL TAINAN T,6,0,0,0,0,1,5,0,0,0,0,0
74,4.372,ACAD MANAGE REV,5,0,0,0,0,0,1,0,0,0,1,3
75,2.912,ADMIN SCI QUART,5,0,0,0,0,0,0,1,0,0,0,4
76, ,ANNU M AM EDUC RES,5,0,0,0,0,0,0,1,0,2,1,1
77,1.024,BRIT J EDUC PSYCHOL,5,0,0,0,0,1,1,0,0,1,0,2
78, ,COMPUT NETW,5,0,0,0,0,0,1,0,2,1,0,1
79,0.475,EDUC TECHNOL SOC,5,0,0,0,0,2,1,1,1,0,0,0
80,0.500,EUR J PSYCHOL EDUC,5,0,0,0,0,0,0,0,0,4,0,1
