Citing Journal Data: NEUROCOMPUTING,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,7578,33,288,625,598,648,534,498,485,440,442,2987
2, ,ALL OTHERS (1960),1960,7,63,148,156,162,131,119,116,103,97,858
3,2.769,IEEE T NEURAL NETWOR,279,1,16,15,11,22,29,12,11,25,12,125
4,2.335,NEURAL COMPUT,198,1,3,16,8,20,17,13,17,13,15,75
5,3.684,J NEUROPHYSIOL,194,0,8,20,13,21,5,9,14,12,11,81
6,0.865,NEUROCOMPUTING,174,2,35,34,29,15,21,8,10,5,7,8
7,7.490,J NEUROSCI,168,0,4,13,12,21,4,18,16,10,14,56
8,1.951,NEURAL NETWORKS,147,0,5,5,24,15,10,16,6,11,8,47
9,28.751,NATURE,107,0,3,5,10,6,10,6,5,13,7,42
10,3.579,IEEE T PATTERN ANAL,105,0,1,10,8,3,4,9,11,3,9,47
11, ,LECT NOTES COMPUT SC,100,0,13,38,15,9,9,7,2,2,3,2
12,26.372,SCIENCE,87,0,1,1,4,1,8,6,18,6,2,40
13,9.598,P NATL ACAD SCI USA,80,0,3,3,5,4,11,5,5,1,2,41
14,1.694,BIOL CYBERN,76,0,5,0,2,4,4,4,6,2,5,44
15,1.711,PHYS LETT A,72,3,11,22,6,16,5,0,4,0,0,5
16,2.019,PATTERN RECOGN,70,2,2,3,10,11,2,9,4,2,3,22
17,2.483,PHYS REV E,70,0,2,2,11,14,7,12,6,2,5,9
18,4.580,J PHYSIOL-LONDON,65,0,0,6,5,4,2,4,2,1,2,39
19,2.137,IEEE T FUZZY SYST,56,0,0,2,2,7,7,6,5,5,4,18
20,13.410,NEURON,49,0,3,3,2,7,6,7,4,8,4,5
21,3.820,P IEEE,49,0,0,0,2,0,0,5,3,9,7,23
22,2.824,IEEE T AUTOMAT CONTR,48,0,1,2,3,4,2,3,4,1,1,27
23,1.353,IEEE T SYST MAN CY B,44,0,1,7,10,2,6,2,5,3,5,3
24,15.664,NAT NEUROSCI,44,0,2,9,6,3,4,6,5,8,1,0
25,12.479,TRENDS NEUROSCI,43,0,0,4,5,6,2,2,3,2,3,16
26,1.204,IEEE T CIRCUITS-I,41,0,1,12,1,5,2,4,2,1,1,12
27,2.055,VISION RES,39,0,0,2,0,1,1,5,4,3,2,21
28,1.742,MACH LEARN,38,0,0,1,2,2,4,2,3,5,0,19
29, ,IEEE T SYST MAN CYB,37,0,0,2,0,0,0,1,0,0,0,34
30,1.928,J COMPUT NEUROSCI,37,0,5,5,0,2,2,7,5,2,3,6
31,6.944,PHYS REV LETT,36,0,0,5,4,1,2,3,2,1,3,15
32,3.025,CHAOS SOLITON FRACT,35,6,8,18,2,0,0,0,0,0,0,1
33,1.373,FUZZY SET SYST,34,0,1,5,1,1,1,0,1,2,2,20
34,1.735,PHYSICA D,33,0,0,7,5,1,1,4,0,0,1,14
