Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,15319,354,633,1268,1445,1362,1064,959,915,728,670,5921
2, ,ALL OTHERS (2407),2407,8,73,171,171,162,117,115,110,90,84,1306
3,28.751,NATURE,503,1,14,60,43,31,31,42,43,24,15,199
4,26.372,SCIENCE,484,2,18,31,63,51,52,38,30,23,15,161
5,5.529,PHILOS T R SOC B,376,277,7,15,9,8,4,4,2,5,5,40
6,9.598,P NATL ACAD SCI USA,347,2,13,42,42,28,38,31,25,27,15,84
7,2.972,J EXP BIOL,281,1,6,23,20,23,19,15,23,20,22,109
8,1.734,POLAR BIOL,245,1,11,23,24,14,14,20,14,15,13,96
9,2.752,ANIM BEHAV,199,1,9,14,6,11,14,18,21,12,16,77
10,4.013,J BACTERIOL,161,1,7,23,12,17,17,14,9,10,6,45
11,4.112,P ROY SOC B-BIOL SCI,147,2,14,19,9,15,11,17,7,7,11,35
12,2.546,MAR ECOL-PROG SER,144,0,9,12,9,24,10,14,2,11,6,47
13,1.265,ANTARCT SCI,123,0,2,13,29,7,5,11,13,1,12,30
14,7.490,J NEUROSCI,117,0,7,9,16,15,10,8,7,6,10,29
15,5.581,J BIOL CHEM,112,0,4,13,19,14,10,4,12,5,5,26
16,5.462,MOL MICROBIOL,108,0,3,11,20,18,6,14,4,3,7,22
17,1.493,CAN J ZOOL,91,1,0,4,4,6,1,1,1,2,4,67
18,4.822,ECOLOGY,88,0,2,15,11,4,6,2,5,5,0,38
19,12.755,CIRCULATION,84,0,4,7,8,4,10,8,10,4,1,28
20,2.215,MAR BIOL,84,0,3,4,4,4,7,1,2,6,5,48
21,1.172,DEEP-SEA RES PT II,83,0,1,0,49,7,14,2,9,0,0,1
22,7.803,PSYCHOL REV,77,0,2,2,8,2,3,9,2,2,0,47
23,15.664,NAT NEUROSCI,75,0,3,20,10,4,6,12,8,7,5,0
24,9.389,TRENDS COGN SCI,72,0,5,11,16,20,3,5,6,3,2,1
25,4.004,APPL ENVIRON MICROB,71,0,2,7,12,15,8,7,4,3,4,9
26,3.018,BEHAV ECOL,70,0,3,4,4,4,2,7,7,4,3,32
