Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,9742,52,348,656,751,660,608,605,666,527,506,4363
2, ,ALL OTHERS (1536),1536,10,50,93,80,82,79,71,77,71,58,865
3, ,BIOL PSYCHIAT,167,0,5,13,21,20,19,15,7,11,13,43
4,4.505,J PERS SOC PSYCHOL,164,1,0,4,3,4,7,5,7,7,8,118
5,9.127,AM J PSYCHIAT,162,0,5,11,8,18,9,12,9,17,6,67
6,10.905,PSYCHOL BULL,156,5,5,7,15,11,3,6,2,5,5,92
7,4.684,J ABNORM PSYCHOL,148,1,1,11,8,4,5,11,16,8,5,78
8, ,PAIN,116,1,2,4,9,5,5,10,5,8,4,63
9,15.976,ARCH GEN PSYCHIAT,110,1,0,6,3,7,4,5,5,5,9,65
10,3.600,BEHAV RES THER,105,0,3,2,12,4,8,8,6,7,9,46
11,7.803,PSYCHOL REV,105,3,0,4,5,4,4,6,5,1,4,69
12, ,J NEUROSCI,99,0,4,8,9,9,5,3,5,3,12,41
13,4.214,J CONSULT CLIN PSYCH,85,0,0,4,3,4,4,4,8,6,7,45
14, ,SCIENCE,82,0,0,4,8,8,2,4,5,5,6,40
15,1.400,PERS INDIV DIFFER,76,0,2,6,8,7,5,8,3,5,6,26
16,2.408,J EXP PSYCHOL LEARN,73,0,0,5,6,4,4,4,6,4,3,37
17, ,NEUROIMAGE,72,0,10,13,11,10,8,5,4,4,4,3
18,2.966,HEALTH PSYCHOL,67,1,0,8,5,3,5,4,4,4,7,26
19, ,J NEUROPHYSIOL,67,1,0,1,4,1,0,1,0,4,9,46
20,3.109,PSYCHOSOM MED,66,0,0,2,8,5,6,7,6,4,2,26
21,4.997,J COGNITIVE NEUROSCI,65,0,5,9,11,6,8,3,5,4,1,13
22, ,P NATL ACAD SCI USA,65,0,2,9,6,4,4,5,7,9,3,16
23,2.269,INT J EAT DISORDER,63,0,7,10,6,7,7,1,6,2,2,15
24,3.630,NEUROPSYCHOLOGIA,63,1,10,6,4,9,5,4,3,4,1,16
25, ,BRAIN RES,62,0,5,0,3,1,2,4,5,3,2,37
26, ,NATURE,60,0,0,4,3,3,5,2,5,0,5,33
27, ,NEUROREPORT,55,0,3,3,6,6,6,0,6,7,6,12
28, ,NAT NEUROSCI,53,0,4,7,11,4,5,7,11,2,2,0
29,4.432,J CHILD PSYCHOL PSYC,51,1,2,3,10,4,2,5,1,4,4,15
30,1.511,COGNITION EMOTION,49,0,6,2,2,1,3,3,6,3,2,21
31,5.594,J EXP PSYCHOL GEN,49,0,1,0,4,3,3,6,6,3,0,23
32, ,BRAIN,48,0,1,4,3,2,4,5,3,4,4,18
33,4.655,J AM ACAD CHILD PSY,48,1,0,2,4,1,1,2,2,4,1,30
34,4.212,PSYCHOL MED,48,0,2,4,3,1,1,3,7,4,2,21
35, ,ANN NY ACAD SCI,47,0,0,0,5,7,0,5,1,5,4,20
36,3.382,CHILD DEV,46,0,2,1,1,4,2,4,2,0,3,27
37,4.251,PSYCHOL SCI,46,0,4,3,4,7,6,1,5,0,3,13
38,3.831,COGNITION,44,1,0,3,5,4,1,2,1,3,4,20
39, ,PSYCHONEUROENDOCRINO,44,0,1,13,8,5,3,4,3,0,2,5
40,9.389,TRENDS COGN SCI,44,0,1,6,10,6,4,2,7,5,2,1
41, ,JAMA-J AM MED ASSOC,43,0,1,3,2,3,4,1,5,5,2,17
42,2.298,PSYCHIAT RES,42,0,0,2,2,5,3,6,1,3,1,19
43,2.580,J EXP PSYCHOL HUMAN,41,0,0,1,2,5,0,3,4,2,0,24
44,3.038,DEV PSYCHOL,40,0,2,1,3,2,5,2,2,1,3,19
45,1.604,MEM COGNITION,40,0,2,5,4,2,2,3,4,1,0,17
46, ,NEURON,40,0,2,8,9,4,6,2,1,2,2,4
47,3.349,PSYCHOPHYSIOLOGY,39,0,0,1,2,2,3,2,2,3,2,22
48,6.967,AM PSYCHOL,38,1,1,0,4,0,0,2,1,1,0,28
49,1.135,COGNITIVE THER RES,36,0,0,2,5,4,4,1,2,1,1,16
50, ,NEUROPSYCHOPHARMACOL,36,0,1,3,1,5,5,6,3,5,0,7
51,1.879,BRIT J CLIN PSYCHOL,35,0,0,6,6,1,3,1,0,4,1,13
52, ,CEREB CORTEX,35,1,4,4,1,3,1,3,7,4,1,6
53,4.374,DEV PSYCHOPATHOL,35,0,1,1,1,3,2,11,2,1,2,11
54,3.212,J AUTISM DEV DISORD,35,0,2,5,4,1,2,4,1,1,2,13
55, ,J SOC BEHAV PERS,35,0,0,0,0,0,0,0,18,0,0,17
56,1.752,ADDICT BEHAV,34,0,1,0,3,0,1,4,0,1,1,23
57,2.000,J ANXIETY DISORD,33,0,3,1,5,4,4,3,1,0,3,9
58, ,OBES RES,33,0,2,4,6,5,4,3,1,1,1,6
59,1.585,J TRAUMA STRESS,32,0,0,1,1,4,4,6,2,0,5,9
60,2.580,PERS SOC PSYCHOL B,32,0,0,2,2,3,5,0,2,2,2,14
61, ,PSYCHOPHARMACOLOGY,32,0,0,2,1,1,2,2,3,4,5,12
62,2.030,PUBLIC OPIN QUART,32,0,1,0,3,3,1,1,1,0,4,18
63, ,DREAMING,31,0,1,1,0,3,4,2,1,1,1,17
64,1.935,PSYCHON B REV,31,0,2,6,1,2,5,3,1,2,4,5
