Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,683,0,8,43,42,45,38,52,49,39,38,329
2, ,ALL OTHERS (320),320,0,6,24,21,21,22,24,23,17,16,146
3,4.505,J PERS SOC PSYCHOL,41,0,0,1,4,2,1,2,3,2,3,23
4,3.831,COGNITION,22,0,0,0,1,2,0,2,1,2,5,9
5,7.803,PSYCHOL REV,21,0,0,0,1,0,0,0,0,1,1,18
6,4.026,COGNITIVE PSYCHOL,16,0,0,0,0,0,0,1,0,0,0,15
7,2.408,J EXP PSYCHOL LEARN,15,0,0,0,1,0,0,0,1,0,1,12
8,2.474,J MEM LANG,13,0,1,0,0,2,1,1,2,0,1,5
9,4.251,PSYCHOL SCI,10,0,0,1,2,1,2,0,1,0,1,2
10,2.179,COGNITIVE SCI,9,0,0,0,1,2,1,0,0,0,0,5
11,2.580,PERS SOC PSYCHOL B,9,0,0,1,0,0,1,0,0,1,3,3
12, ,DESIGN STUD,8,0,0,1,0,0,0,2,1,0,0,4
13,5.594,J EXP PSYCHOL GEN,8,0,0,0,1,0,1,0,1,0,2,3
14,0.880,J CHILD LANG,7,0,0,1,1,0,0,0,0,2,0,3
15,2.058,J EXP SOC PSYCHOL,7,0,0,0,1,1,1,0,1,0,0,3
16,1.604,MEM COGNITION,7,0,0,0,1,0,0,2,2,1,0,1
17,2.580,J EXP PSYCHOL HUMAN,6,0,0,0,0,0,1,1,1,0,0,3
18,6.967,AM PSYCHOL,5,0,0,0,0,1,0,0,1,0,0,3
19,13.400,ANNU REV PSYCHOL,5,0,0,1,0,0,0,2,1,0,0,1
20,1.976,LANGUAGE,5,0,0,0,0,0,0,0,0,0,0,5
21,10.905,PSYCHOL BULL,5,0,0,0,0,2,0,0,0,0,0,3
22,9.389,TRENDS COGN SCI,5,0,1,1,0,1,1,1,0,0,0,0
23,6.667,ADV EXP SOC PSYCHOL,4,0,0,0,1,0,0,0,0,1,0,2
24,2.400,ANNU REV SOCIOL,4,0,0,0,1,0,2,0,0,0,0,1
25, ,ARTIF INTELL,4,0,0,0,0,0,0,0,0,0,0,4
26,4.763,PERS SOC PSYCHOL REV,4,0,0,1,1,0,0,0,0,0,1,1
27, ,VISION RES,4,0,0,1,0,1,0,0,1,1,0,0
28, ,ANNU REV NEUROSCI,3,0,0,0,0,0,0,0,0,0,0,3
29, ,BEHAV NEUROSCI,3,0,0,0,0,0,0,1,0,0,0,2
30,3.198,DEVELOPMENTAL SCI,3,0,0,1,1,1,0,0,0,0,0,0
31, ,EXCLUSION LIENS FINA,3,0,0,0,0,0,1,0,0,2,0,0
32, ,HDB MOTIVATION COGNI,3,0,0,0,0,0,0,0,0,0,0,3
33,0.852,INT MIGR REV,3,0,0,1,0,1,0,0,0,0,0,1
34,0.500,J PSYCHOLINGUIST RES,3,0,0,0,0,0,0,0,1,0,0,2
35,1.383,LANG COGNITIVE PROC,3,0,0,1,0,0,0,0,0,0,0,2
36, ,NAT NEUROSCI,3,0,0,0,0,0,1,0,0,1,1,0
37, ,NATURE,3,0,0,0,0,1,0,2,0,0,0,0
38,1.935,PSYCHON B REV,3,0,0,0,0,1,0,0,0,1,0,1
39, ,RES ENG DES,3,0,0,0,0,0,1,0,0,1,0,1
40, ,SCIENCE,3,0,0,0,0,0,0,0,1,0,0,2
41, ,AFFECT COGNITION STE,2,0,0,0,0,0,0,0,0,0,0,2
42, ,ANAL DES ACTIVITY,2,0,0,0,0,0,0,0,0,0,0,2
43,3.382,CHILD DEV,2,0,0,0,0,0,0,1,0,0,0,1
44,0.971,COGN LINGUIST,2,0,0,0,1,0,0,0,0,0,0,1
45,1.511,COGNITION EMOTION,2,0,0,1,1,0,0,0,0,0,0,0
46, ,CREATIVE THOUGHT INV,2,0,0,0,0,0,0,0,0,0,0,2
47,3.038,DEV PSYCHOL,2,0,0,0,0,0,0,1,0,0,0,1
48, ,DUAL PROCESS THEORIE,2,0,0,0,0,0,0,0,0,2,0,0
49, ,EMERGENCE LANGUAGE,2,0,0,0,0,0,0,0,0,1,1,0
50,1.570,EUR J SOC PSYCHOL,2,0,0,0,0,0,0,0,1,0,0,1
51,1.492,GROUP PROCESS INTERG,2,0,0,1,0,1,0,0,0,0,0,0
52, ,HANDB SOC PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
53, ,HDB AFFECT SOCIAL CO,2,0,0,0,0,0,0,2,0,0,0,0
54, ,HDB CATEGORIZATION C,2,0,0,2,0,0,0,0,0,0,0,0
55, ,HDB COGNITION EMOTIO,2,0,0,0,0,0,0,0,0,2,0,0
56, ,INT J COMMUNITY CURR,2,0,0,0,0,0,1,0,0,1,0,0
57,1.738,J CONSUM RES,2,0,0,0,0,1,0,0,0,0,0,1
58, ,J EXP PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
59, ,J EXP THEOR ARTIF IN,2,0,0,1,0,0,0,0,0,0,0,1
60, ,J INT NEUROPSYCH SOC,2,0,0,0,0,0,0,2,0,0,0,0
61,0.788,J LINGUIST,2,0,0,0,0,0,0,0,0,0,0,2
62, ,LANGUAGE ACQUISITION,2,0,0,0,0,0,0,0,0,0,0,2
63,1.462,LINGUIST INQ,2,0,0,0,0,0,0,0,0,0,0,2
64, ,MECH DES PROCESS,2,0,0,0,0,1,0,0,0,0,0,1
65, ,MIGRATION TRANSNATIO,2,0,0,0,0,0,0,2,0,0,0,0
66, ,MODELS INFORM PROCES,2,0,0,0,0,0,0,0,0,0,0,2
67,0.611,MOTIV EMOTION,2,0,0,0,0,0,0,0,0,0,0,2
68, ,NEURAL COMPUT,2,0,0,0,0,0,0,0,0,0,0,2
69,3.630,NEUROPSYCHOLOGIA,2,0,0,0,0,2,0,0,0,0,0,0
70,1.847,ORGAN BEHAV HUM DEC,2,0,0,0,0,0,0,0,1,0,0,1
71, ,P ASME DES THEOR MET,2,0,0,1,0,0,0,0,0,0,0,1
72, ,P NATL ACAD SCI USA,2,0,0,0,0,0,0,0,1,0,1,0
73, ,PROD DES DEV,2,0,0,0,1,0,0,0,1,0,0,0
74, ,PROD DES TECHN,2,0,0,1,0,0,0,1,0,0,0,0
75, ,PSYCHOL ACTION LINKI,2,0,0,0,0,0,0,0,0,0,0,2
76,2.714,PSYCHOL LEARN MOTIV,2,0,0,0,0,0,0,0,1,0,0,1
77,2.449,Q J EXP PSYCHOL-A,2,0,0,0,0,0,0,0,1,0,0,1
78,1.121,SOC COGNITION,2,0,0,0,0,0,0,0,1,0,1,0
79, ,SYNTAX SEMANTICS,2,0,0,0,0,0,0,0,0,0,0,2
80, ,THEORIES MOOD COGNIT,2,0,0,0,0,0,0,2,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
