Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,Rest
1, ,ALL Journals,637,4,23,29,37,37,40,31,31,30,40,335
2, ,ALL OTHERS (443),443,4,10,17,22,29,22,19,25,21,23,251
3,0.170,REV SIGNOS,10,0,4,2,1,1,0,1,0,0,0,1
4, ,THEOR MODELS P,10,0,0,0,0,0,0,0,0,0,0,10
5,0.740,ENGL SPECIF PURP,8,0,0,1,1,0,0,0,1,0,1,4
6,1.116,DISCOURSE STUD,5,0,0,2,0,0,3,0,0,0,0,0
7, ,GENRE ANAL ENGLISH A,5,0,0,0,0,0,0,0,0,1,0,4
8, ,LEGAL DISCOURSE MULT,5,0,0,0,0,0,5,0,0,0,0,0
9, ,LINGUISTICA CORPUS D,5,0,5,0,0,0,0,0,0,0,0,0
10,4.256,COGNITIVE PSYCHOL,4,0,0,0,0,0,0,1,0,0,0,3
11, ,DISCIPLINARY DISCOUR,4,0,0,0,0,1,0,0,0,3,0,0
12,0.800,J PRAGMATICS,4,0,0,0,1,1,0,0,0,0,0,2
13,2.217,APPL LINGUIST,3,0,0,0,0,0,0,0,0,0,1,2
14, ,CLARITY,3,0,0,1,1,1,0,0,0,0,0,0
15,3.481,COGNITION,3,0,0,0,0,0,1,0,0,0,0,2
16, ,COMPRENSION TEXTOS E,3,0,0,0,2,0,0,0,0,0,0,1
17, ,DISCURSO ESPECIALIZA,3,0,0,0,3,0,0,0,0,0,0,0
18, ,ENGLISH TEXT SYSTEM,3,0,0,0,0,0,0,0,0,0,0,3
19, ,GENRE NEW RHETORIC,3,0,0,0,0,0,0,0,0,0,0,3
20, ,GRAMMAR,3,0,0,0,0,0,0,3,0,0,0,0
21, ,HEDGING DISCOURSE AP,3,0,0,0,0,0,0,0,0,0,0,3
22, ,INT J APPL LINGUISTI,3,0,0,1,0,0,1,1,0,0,0,0
23, ,J RES PROBLEM SOLVIN,3,0,0,0,0,0,0,0,0,0,3,0
24,1.440,MEM COGNITION,3,0,0,0,0,0,1,1,0,0,0,1
25, ,NAT COGNITION,3,0,0,0,0,0,0,0,0,0,3,0
26,11.765,PSYCHOL REV,3,0,0,0,0,0,0,0,0,0,0,3
