Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,30410,2327,4558,3608,2970,2298,1986,1654,1356,1162,990,7501
2, ,ALL OTHERS (3654),3654,261,501,335,240,205,175,165,118,133,90,1431
3,26.372,SCIENCE,3382,703,590,346,312,243,218,176,137,98,92,467
4,28.751,NATURE,2088,101,307,275,219,167,151,123,124,90,81,450
5,9.598,P NATL ACAD SCI USA,1019,76,184,137,102,68,88,69,45,47,22,181
6,6.944,PHYS REV LETT,801,44,119,100,93,43,46,40,59,26,25,206
7,29.887,CELL,570,41,86,61,51,38,37,30,27,19,29,151
8,5.581,J BIOL CHEM,508,16,56,50,52,39,37,31,35,16,29,147
9,2.953,J GEOPHYS RES,508,23,51,35,30,48,28,44,16,23,24,186
10,6.405,ASTROPHYS J,342,21,49,31,32,23,14,19,8,26,14,105
11,3.172,PHYS REV B,342,22,56,41,20,21,33,18,7,16,10,98
12,7.885,J AM CHEM SOC,283,13,38,49,26,18,25,15,16,6,7,70
13,2.744,GEOPHYS RES LETT,253,13,59,44,29,15,9,16,13,10,9,36
14,25.556,NAT GENET,203,13,48,37,27,16,13,4,9,14,8,14
15,2.869,ICARUS,196,8,12,20,21,7,18,7,19,5,8,71
16,7.490,J NEUROSCI,196,15,25,23,24,18,13,11,11,10,6,40
17,3.873,EARTH PLANET SC LETT,167,5,21,27,19,25,10,6,5,3,7,39
18,13.410,NEURON,165,6,21,24,23,17,23,19,7,4,4,17
19,14.795,GENE DEV,164,10,36,23,14,14,15,8,10,12,9,13
20,8.662,EMBO J,162,6,20,11,14,19,17,15,4,13,8,35
21,13.156,MOL CELL,159,7,31,22,28,21,12,9,19,5,4,1
22,3.044,J CHEM PHYS,156,1,16,14,15,15,14,6,7,3,2,63
23,9.598,J CELL BIOL,153,10,14,11,17,13,8,7,11,12,7,43
24,10.539,CURR BIOL,150,14,28,24,20,20,9,9,8,8,8,2
25,3.596,APPL PHYS LETT,138,4,34,16,15,12,9,9,3,6,3,27
26,7.293,DEVELOPMENT,138,6,14,22,18,12,9,7,5,9,6,30
27,4.259,ASTRON ASTROPHYS,131,3,18,19,10,9,8,6,7,4,10,37
28,3.368,BIOCHEMISTRY-US,129,4,10,5,17,12,10,7,12,5,7,40
29,6.420,MOL CELL BIOL,129,2,13,13,21,9,10,9,7,10,3,32
30,4.472,J MOL BIOL,124,10,16,10,16,7,14,3,4,7,4,33
31,15.612,J EXP MED,120,5,12,19,13,12,9,9,7,3,5,26
32,10.031,ANGEW CHEM INT EDIT,113,9,29,16,22,7,10,2,4,2,2,10
33,4.001,GENETICS,113,4,12,12,15,9,2,3,8,6,8,34
34,6.954,NUCLEIC ACIDS RES,110,9,9,19,8,15,8,7,4,4,3,24
35,15.664,NAT NEUROSCI,109,11,22,16,13,5,12,9,12,7,2,0
36,9.653,PLANT CELL,101,3,23,14,13,12,13,6,1,3,0,13
37,26.218,NAT IMMUNOL,96,4,16,20,16,19,8,13,0,0,0,0
38,2.893,PHYS REV A,96,6,12,14,9,4,4,10,1,5,4,27
39,4.112,P ROY SOC B-BIOL SCI,93,12,10,9,12,10,5,7,8,4,3,13
40,13.501,PLOS BIOL,84,16,21,27,16,4,0,0,0,0,0,0
41,22.757,CHEM REV,83,7,7,14,14,8,6,0,3,2,5,17
42,4.502,EVOLUTION,82,0,10,12,5,9,5,4,7,2,0,28
43,11.224,GENOME RES,82,2,24,16,16,8,7,3,1,2,0,3
44,4.013,J BACTERIOL,82,1,10,9,7,4,4,5,4,4,4,30
45,3.665,GEOCHIM COSMOCHIM AC,78,3,9,11,5,4,7,5,0,5,4,25
46,5.332,J VIROL,77,4,9,18,5,2,6,2,1,4,6,20
47,19.782,NAT MATER,75,9,10,15,14,20,7,0,0,0,0,0
48,31.921,NAT REV MOL CELL BIO,75,8,14,12,11,7,11,10,2,0,0,0
49,4.627,BIOPHYS J,74,7,20,7,6,7,5,4,3,1,2,12
50,6.068,J IMMUNOL,73,4,18,10,8,4,2,9,5,2,2,9
51,17.623,NAT CELL BIOL,70,5,21,11,7,11,3,5,3,4,0,0
52,19.266,IMMUNITY,68,6,15,8,6,4,5,1,2,9,4,8
53,5.249,MON NOT R ASTRON SOC,68,9,13,9,7,3,2,5,1,4,1,14
54,4.543,AM NAT,66,0,3,3,6,2,1,1,2,4,0,44
55,4.335,GLOBAL BIOGEOCHEM CY,66,4,12,10,5,5,7,4,5,6,2,6
56,4.086,J PHYS CHEM B,66,1,10,13,10,5,5,2,5,3,6,6
57,3.391,PALEOCEANOGRAPHY,66,5,10,9,3,8,2,2,3,5,4,15
58,9.627,NANO LETT,65,4,17,18,13,6,5,2,0,0,0,0
59,11.085,NAT STRUCT MOL BIOL,64,5,15,9,8,10,6,0,5,2,2,2
60,38.403,REV MOD PHYS,64,2,3,6,2,11,5,7,2,3,3,20
61,31.190,ANNU REV BIOCHEM,63,2,8,7,10,3,5,5,8,0,3,12
62,4.822,ECOLOGY,63,2,9,4,3,6,5,0,2,3,1,28
63,3.550,J CLIMATE,62,0,20,6,8,8,8,3,4,2,1,2
64,5.529,PHILOS T R SOC B,60,6,12,8,6,6,2,1,1,2,0,16
65,22.399,NAT REV GENET,59,7,10,14,13,4,7,4,0,0,0,0
