Cited Journal Data: ACTA PSYCHOLOGICA,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,5246,98,283,398,429,377,220,546,142,165,111,2477
2,,ALL OTHERS (442),442,3,13,21,9,23,15,30,11,8,6,303
3,2.560,FRONT PSYCHOL,410,32,41,33,51,25,10,46,11,10,8,143
4,2.248,ACTA PSYCHOL,255,7,30,27,43,28,12,16,12,5,5,70
5,,PLOS ONE,232,6,18,17,27,9,5,19,7,10,7,107
6,,FRONT HUM NEUROSCI,155,4,13,18,8,7,12,15,3,3,6,66
7,3.358,J EXP PSYCHOL HUMAN,141,0,7,12,16,29,4,8,4,5,3,53
8,2.168,ATTEN PERCEPT PSYCHO,102,0,2,4,20,15,6,10,1,3,4,37
9,,EXP BRAIN RES,86,4,2,8,8,4,4,7,5,1,3,40
10,3.479,COGNITION,79,1,1,14,8,7,5,8,2,3,3,27
11,2.863,PSYCHOL RES-PSYCH FO,79,0,2,14,14,5,1,5,4,6,2,26
12,3.302,NEUROPSYCHOLOGIA,78,2,0,4,9,0,3,7,1,3,3,46
13,,NEUROIMAGE,76,0,2,3,6,7,6,7,0,1,1,43
14,3.369,PSYCHON B REV,72,0,6,7,7,5,6,8,1,4,2,26
15,2.127,Q J EXP PSYCHOL,69,1,3,5,10,3,7,11,1,2,0,26
16,2.862,J EXP PSYCHOL LEARN,60,0,6,6,6,9,4,4,0,1,0,24
17,,J VISION,59,2,2,7,11,4,2,6,0,1,3,21
18,5.929,J EXP PSYCHOL GEN,52,0,5,2,4,3,1,6,3,2,1,25
19,1.941,CONSCIOUS COGN,46,1,4,4,3,3,3,7,3,4,0,14
20,3.403,BIOL PSYCHOL,45,3,3,0,0,4,1,5,0,0,0,29
21,,FRONT NEUROSCI-SWITZ,38,0,1,0,5,1,1,1,0,0,0,29
22,,COGN AFFECT BEHAV NE,33,1,1,5,1,3,1,2,1,1,0,17
23,,NEUROSCI BIOBEHAV R,33,0,4,2,3,3,3,1,0,0,0,17
24,1.921,VIS COGN,33,0,2,1,4,1,3,3,2,3,0,14
25,1.556,ERGONOMICS,32,0,1,3,0,2,3,3,0,1,0,19
26,2.076,EXP PSYCHOL,32,0,1,4,4,3,3,5,2,1,0,9
27,2.477,BRAIN COGNITION,31,1,0,2,2,4,2,1,0,3,0,16
28,1.598,HUM MOVEMENT SCI,31,0,1,4,4,3,1,2,1,1,1,13
29,4.085,J COGNITIVE NEUROSCI,30,1,2,1,1,3,0,2,2,2,0,16
30,,VISION RES,30,0,1,1,6,4,3,2,1,0,1,11
31,1.321,APPL COGNITIVE PSYCH,29,0,3,2,3,1,1,5,1,0,0,13
32,2.549,J EXP CHILD PSYCHOL,28,0,0,6,1,6,1,5,2,0,0,7
33,,NEUROSCIENCE,28,0,2,1,1,2,0,1,1,0,0,20
34,1.388,COGN PROCESS,27,1,3,2,2,2,3,5,2,2,0,5
35,1.803,AGING NEUROPSYCHOL C,26,0,0,1,2,1,1,4,0,3,1,13
36,5.064,COGNITIVE PSYCHOL,26,0,1,1,5,3,1,1,2,1,1,10
37,1.431,J COGN PSYCHOL,26,0,5,2,3,2,0,3,0,1,0,10
38,2.457,MEM COGNITION,26,0,4,4,1,2,2,3,1,0,0,9
39,4.237,J MEM LANG,25,0,1,4,8,3,0,2,0,0,1,6
40,,HUM BRAIN MAPP,24,0,0,1,0,3,0,0,1,1,0,18
41,2.882,INT J PSYCHOPHYSIOL,24,1,1,2,0,0,1,1,0,1,1,16
42,2.986,PSYCHOPHYSIOLOGY,24,0,0,2,0,4,0,4,0,0,0,14
43,1.688,MEMORY,23,0,3,1,0,1,2,4,1,0,0,11
44,7.972,PSYCHOL REV,22,0,0,1,1,1,0,4,0,0,0,15
45,1.887,RES DEV DISABIL,22,2,0,2,1,1,1,0,0,0,1,14
