Cited Journal Data: ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,6137,31,186,205,265,324,283,176,215,123,253,4076
2,,ALL OTHERS (565),565,3,16,16,16,24,25,10,15,9,19,412
3,,LECT NOTES COMPUT SC,369,5,25,12,13,19,22,11,11,3,24,224
4,,FRONT ARTIF INTEL AP,250,4,19,10,25,12,9,9,18,4,4,136
5,3.371,ARTIF INTELL,208,3,3,6,17,12,19,10,18,6,9,105
6,,LECT NOTES ARTIF INT,185,4,7,6,9,8,10,5,10,4,15,107
7,2.451,INT J APPROX REASON,158,1,1,2,15,12,10,12,6,5,4,90
8,1.257,J ARTIF INTELL RES,145,1,4,6,12,5,10,4,8,3,2,90
9,2.240,EXPERT SYST APPL,118,0,9,6,4,2,6,4,2,3,7,75
10,4.038,INFORM SCIENCES,87,1,1,3,1,17,0,0,3,2,0,59
11,2.947,KNOWL-BASED SYST,73,0,1,3,2,11,2,3,5,3,1,42
12,,COMM COM INF SC,61,1,2,2,2,3,2,2,3,1,2,41
13,,SCI WORLD J,61,0,4,5,2,5,1,0,0,2,6,36
14,,APPL MECH MATER,52,0,1,1,3,3,1,1,1,4,8,29
15,3.234,PLOS ONE,51,0,4,3,0,3,2,1,1,0,0,37
16,,APPL INTELL,46,0,1,0,1,3,2,1,0,2,3,33
17,,ADV INTELL SYST,45,0,0,2,2,4,1,1,1,0,0,34
18,2.207,ENG APPL ARTIF INTEL,45,0,1,0,1,1,3,3,1,4,1,30
19,2.083,NEUROCOMPUTING,45,0,0,2,1,4,0,1,1,0,1,35
20,,PROC SPIE,43,0,2,0,3,1,2,1,0,0,1,33
21,0.547,AI COMMUN,39,0,0,2,3,0,2,2,1,0,0,29
22,0.762,MATH PROBL ENG,36,0,5,3,0,1,1,1,1,3,1,20
23,2.067,IEEE T KNOWL DATA EN,34,0,3,3,1,8,4,2,0,1,1,11
24,1.051,THEOR PRACT LOG PROG,34,0,0,4,3,2,1,1,0,0,0,23
25,2.810,APPL SOFT COMPUT,31,0,1,1,0,4,2,0,2,0,2,19
26,,PROCEDIA COMPUT SCI,31,0,2,4,1,2,2,2,1,0,2,15
27,0.512,J LOGIC COMPUT,30,0,0,1,3,0,0,0,3,0,1,22
28,2.313,DECIS SUPPORT SYST,29,0,2,1,1,1,2,6,3,0,0,13
29,1.254,AUTON AGENT MULTI-AG,28,0,0,1,2,1,0,2,3,0,5,14
30,3.096,PATTERN RECOGN,28,0,0,0,0,2,0,2,0,0,0,24
31,0.618,ACM T COMPUT LOG,27,0,0,1,2,0,1,1,0,0,1,21
32,1.699,IEEE T SYST MAN CY-S,27,0,0,0,1,0,0,0,0,2,2,22
33,0.595,AI MAG,26,0,1,6,1,1,2,1,2,0,2,10
34,,FRONT PSYCHOL,26,0,0,0,0,0,1,0,2,0,2,21
35,0.842,CONNECT SCI,25,0,0,0,0,2,3,0,2,1,0,17
36,1.812,J INTELL FUZZY SYST,25,0,0,0,2,1,0,0,3,2,2,15
37,0.766,KNOWL ENG REV,25,0,0,0,0,2,5,1,2,0,3,12
38,,CHIN CONT DECIS CONF,23,0,0,2,1,3,2,0,0,0,0,15
39,0.673,COMPUT INTELL-US,23,0,0,1,0,1,0,3,1,0,3,14
40,1.986,FUZZY SET SYST,23,0,0,2,1,2,1,0,1,2,0,14
41,1.551,PATTERN RECOGN LETT,23,0,0,0,1,0,1,2,0,1,0,18
42,,COGNITIVE SCI,22,0,0,0,0,1,1,0,0,0,2,18
43,2.786,FUTURE GENER COMP SY,22,0,0,0,9,6,0,0,1,0,1,5
44,1.481,IEEE T COMP INTEL AI,22,0,0,2,2,0,0,0,0,1,0,17
45,0.393,INT J ARTIF INTELL T,22,0,1,1,0,0,1,0,0,0,1,18
46,0.739,SYNTHESE,22,0,0,0,0,0,0,2,0,1,2,17
47,,WIRES COGN SCI,22,0,0,0,1,2,1,0,0,0,1,17
48,0.787,COMPUT J,21,0,0,0,4,0,0,0,1,0,7,9
49,1.257,CONSTRAINTS,21,0,0,0,2,3,1,1,1,0,2,11
50,2.111,ARTIF INTELL REV,20,0,0,0,0,0,1,0,4,0,3,12
51,1.889,MACH LEARN,20,0,0,0,1,1,1,2,1,0,0,14
52,2.245,SENSORS-BASEL,20,0,0,0,0,0,1,0,0,1,1,17
53,0.598,STUD LOGICA,20,0,0,0,0,0,1,0,1,0,1,17
54,2.340,IEEE INTELL SYST,19,0,3,0,1,0,1,2,3,0,0,9
55,0.859,ADAPT BEHAV,18,0,0,0,0,1,3,0,0,0,1,13
56,,ADV MATER RES-SWITZ,18,0,0,1,1,2,0,1,0,1,3,9
57,3.469,IEEE T CYBERNETICS,18,0,0,0,0,1,1,0,1,0,0,15
58,1.886,INT J INTELL SYST,18,0,0,0,3,0,0,0,1,0,1,13
59,,STUD COMPUT INTELL,18,0,0,0,0,0,0,0,1,0,1,16
60,2.358,EUR J OPER RES,17,1,1,1,0,1,1,0,0,2,0,10
61,3.373,ACM COMPUT SURV,16,0,0,1,0,1,0,0,1,0,1,12
62,4.844,ENERGY,16,0,0,0,0,1,1,0,2,1,1,10
63,1.456,INFORM SYST,16,0,0,0,0,1,1,0,1,1,1,11
64,1.731,J INTELL MANUF,16,0,0,0,0,1,0,0,0,2,0,13
65,1.256,ROBOT AUTON SYST,16,0,0,0,0,1,1,1,0,0,1,12
66,0.691,ANN MATH ARTIF INTEL,15,0,1,0,1,1,0,2,0,0,0,10
67,1.440,COGN COMPUT,15,0,0,0,0,0,1,0,0,0,1,13
68,3.625,IEEE T IMAGE PROCESS,15,0,0,0,0,0,0,0,0,0,0,15
69,3.681,INFORM FUSION,15,0,0,0,1,0,0,3,0,1,0,10
70,1.138,J COMPUT SYST SCI,15,0,0,0,1,0,0,0,0,0,1,13
71,0.850,SCI CHINA INFORM SCI,15,0,0,0,1,0,2,0,2,0,2,8
72,0.604,AI EDAM,14,0,0,1,1,0,0,1,0,0,0,11
73,0.527,APPL ARTIF INTELL,14,0,0,0,1,2,1,0,1,0,0,9
74,,ERKENNTNIS,14,0,0,0,2,0,1,1,0,0,0,10
75,0.461,LOG J IGPL,14,0,0,0,1,0,0,0,0,0,1,12
76,1.250,J MECH DESIGN,13,0,0,0,0,0,0,2,0,0,0,11
77,1.782,KNOWL INF SYST,13,0,0,2,1,0,0,0,1,0,0,9
78,1.346,MULTIMED TOOLS APPL,13,0,0,0,0,1,2,0,0,0,1,9
79,1.271,SOFT COMPUT,13,0,0,0,0,0,0,0,0,0,0,13
80,,2014 FED C COMP SCI,12,0,0,2,0,0,0,1,0,0,0,9
81,,2014 IEEEEMBS INT C,12,0,0,0,0,1,1,0,0,0,0,10
82,,ARAB J SCI ENG,12,0,0,0,2,0,1,1,1,0,0,7
83,,ARGUMENTATION,12,0,0,1,0,0,0,0,5,0,0,6
84,4.291,IEEE T NEUR NET LEAR,12,0,0,0,0,0,0,0,1,0,1,10
85,0.213,IEICE T INF SYST,12,0,0,3,0,1,0,0,0,0,0,8
