Cited Journal Data: Cognitive Processing,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,709,13,57,154,82,92,75,44,76,34,31,51
2,,ALL OTHERS (189),189,5,14,54,21,22,18,11,14,9,9,12
3,,FRONT HUM NEUROSCI,52,1,7,11,3,9,6,2,9,1,1,2
4,2.560,FRONT PSYCHOL,44,3,6,10,2,8,4,2,3,1,0,5
5,,PLOS ONE,27,0,0,7,1,3,1,0,7,2,2,4
6,1.388,COGN PROCESS,25,1,4,5,5,1,1,5,1,2,0,0
7,,NEUROSCI BIOBEHAV R,13,1,0,1,0,1,5,0,3,1,0,1
8,,NEUROIMAGE,12,0,0,3,0,0,2,0,4,2,0,1
9,,ANN NY ACAD SCI,10,0,1,1,0,7,1,0,0,0,0,0
10,3.358,J EXP PSYCHOL HUMAN,10,0,0,2,3,0,0,1,2,0,1,1
11,2.248,ACTA PSYCHOL,9,0,0,5,0,0,1,0,1,0,0,2
12,,BEHAV BRAIN RES,8,0,1,2,0,0,2,0,1,2,0,0
13,,EXP BRAIN RES,7,0,0,1,1,0,2,0,1,1,0,1
14,,CORTEX,6,0,1,2,0,0,1,1,0,0,0,1
15,2.882,INT J PSYCHOPHYSIOL,6,0,0,0,0,0,6,0,0,0,0,0
16,3.302,NEUROPSYCHOLOGIA,6,1,0,1,0,0,0,0,2,0,0,2
17,3.269,NEUROPSYCHOLOGY,6,0,0,1,0,0,2,0,0,1,2,0
18,21.965,TRENDS COGN SCI,6,0,4,1,0,0,0,0,1,0,0,0
19,3.403,BIOL PSYCHOL,5,0,0,0,1,0,3,0,1,0,0,0
20,2.477,BRAIN COGNITION,5,0,0,0,0,3,0,0,2,0,0,0
21,1.941,CONSCIOUS COGN,5,0,1,1,1,1,0,0,0,0,0,1
22,,EUR J SPORT SCI,5,0,0,0,5,0,0,0,0,0,0,0
23,,HUM BRAIN MAPP,5,0,0,0,0,0,1,1,2,0,0,1
24,,J ALZHEIMERS DIS,5,0,1,3,0,0,0,1,0,0,0,0
