Cited Journal Data: COGNITIVE PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,6582,33,108,130,103,200,223,134,114,157,187,5193
2,,ALL OTHERS (504),504,0,2,3,4,8,12,5,0,6,3,461
3,2.560,FRONT PSYCHOL,407,11,14,15,5,14,10,14,6,3,9,306
4,,PLOS ONE,200,1,4,1,2,11,7,7,4,4,7,152
5,2.862,J EXP PSYCHOL LEARN,150,0,6,5,2,12,6,12,6,4,2,95
6,3.358,J EXP PSYCHOL HUMAN,149,1,1,5,2,3,6,2,1,5,4,119
7,,FRONT HUM NEUROSCI,138,2,3,5,3,4,5,2,1,1,3,109
8,5.929,J EXP PSYCHOL GEN,130,0,2,6,4,7,6,6,4,6,3,86
9,2.168,ATTEN PERCEPT PSYCHO,115,0,0,1,0,0,4,2,0,6,6,96
10,3.479,COGNITION,114,0,4,8,2,4,6,0,2,4,9,75
11,2.127,Q J EXP PSYCHOL,110,0,0,3,2,4,5,2,7,5,4,78
12,3.369,PSYCHON B REV,109,1,4,5,2,4,4,3,0,2,4,80
13,4.237,J MEM LANG,99,3,4,1,1,5,3,4,6,4,3,65
14,,LANG COGN NEUROSCI,95,1,0,1,6,7,6,1,3,3,3,64
15,,J VISION,90,0,0,0,0,0,4,4,0,2,3,77
16,5.064,COGNITIVE PSYCHOL,84,0,2,4,3,3,1,3,5,4,6,53
17,2.248,ACTA PSYCHOL,82,0,5,1,1,0,2,2,6,1,2,62
18,2.446,COGNITIVE SCI,79,0,2,2,2,6,5,5,0,3,4,50
19,3.302,NEUROPSYCHOLOGIA,77,1,2,2,1,1,3,1,3,3,0,60
20,2.457,MEM COGNITION,61,1,3,2,1,6,3,2,1,1,5,36
21,4.141,DEV PSYCHOL,60,1,0,2,1,1,3,0,1,1,3,47
22,2.549,J EXP CHILD PSYCHOL,53,0,3,1,6,3,3,0,2,2,0,33
23,4.940,PSYCHOL SCI,52,0,1,0,2,2,1,0,1,0,2,43
24,4.061,CHILD DEV,49,0,2,1,1,1,3,0,2,0,1,38
