Cited Journal Data: COMPUTERS ,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,6218,137,567,775,850,980,829,785,404,248,107,536
2,,ALL OTHERS (311),311,5,25,40,31,47,41,38,23,19,2,40
3,2.556,COMPUT EDUC,953,34,138,151,136,137,108,116,44,17,13,59
4,2.694,COMPUT HUM BEHAV,483,15,44,70,69,83,61,65,26,11,7,32
5,1.018,EDUC TECHNOL SOC,373,7,42,55,60,60,57,42,18,12,4,16
6,,LECT NOTES COMPUT SC,177,5,26,26,34,18,16,16,14,5,3,14
7,,PROCD SOC BEHV,167,0,7,22,24,26,20,27,7,10,3,21
8,1.318,BRIT J EDUC TECHNOL,158,1,7,23,25,29,17,17,7,10,4,18
9,,IEEE INT CONF ADV LE,146,2,17,22,23,25,25,16,3,2,1,10
10,0.648,AUSTRALAS J EDUC TEC,136,3,3,21,27,16,23,22,6,5,4,6
11,1.360,J COMPUT ASSIST LEAR,105,2,9,12,12,26,22,9,0,9,2,2
12,1.420,ETR&D-EDUC TECH RES,104,2,13,15,19,18,11,10,9,2,1,4
13,0.734,INT REV RES OPEN DIS,93,3,3,6,11,15,8,18,12,5,0,12
14,0.670,J EDUC COMPUT RES,91,1,5,11,9,18,11,16,6,5,2,7
15,1.323,INTERACT LEARN ENVIR,83,0,0,2,13,17,10,17,5,4,5,10
16,,COMPUT APPL ENG EDUC,75,0,0,0,4,8,16,15,15,2,2,13
17,1.214,J SCI EDUC TECHNOL,74,2,6,7,12,14,15,8,5,3,0,2
18,2.463,INTERNET HIGH EDUC,61,0,5,6,2,14,11,7,9,3,1,3
19,1.841,INT J COMP-SUPP COLL,59,0,4,4,1,2,5,12,10,14,3,4
20,1.283,IEEE T LEARN TECHNOL,56,1,11,8,10,9,5,2,3,3,0,4
21,0.829,TECHNOL PEDAGOG EDUC,56,1,2,6,4,7,12,12,4,3,0,5
22,0.891,BEHAV INFORM TECHNOL,53,0,0,3,7,10,9,11,5,1,4,3
23,0.223,EGIT BILIM,53,0,7,7,8,9,2,8,3,0,1,8
24,,INT J ENG EDUC,49,1,4,6,12,3,4,4,3,0,1,11
25,1.268,INTERACT COMPUT,44,1,5,6,9,13,3,4,2,1,0,0
26,,P ANN HICSS,41,0,1,4,2,6,8,10,3,2,1,4
27,,J UNIVERS COMPUT SCI,39,1,9,2,5,5,6,2,2,2,0,5
28,0.759,LEARN MEDIA TECHNOL,36,0,1,3,1,4,11,9,3,1,0,3
29,2.560,FRONT PSYCHOL,35,4,3,2,2,5,5,2,1,3,1,7
30,,APPL MECH MATER,30,0,6,3,4,4,0,4,3,2,1,3
31,,COMM COM INF SC,30,1,3,1,5,4,5,4,1,4,1,1
32,,PLOS ONE,28,0,3,4,1,2,7,3,2,1,0,5
33,0.737,ASIA-PAC EDUC RES,26,2,0,0,5,3,7,4,2,0,1,2
34,,SCI WORLD J,26,0,0,1,2,7,3,6,2,0,2,3
35,,INFORM SCIENCES,25,2,0,4,3,3,5,4,0,1,0,3
36,0.347,KURAM UYGUL EGIT BIL,25,1,1,2,4,1,3,4,4,0,0,5
37,,IEEE GLOB ENG EDUC C,24,0,1,0,5,3,2,5,3,1,0,4
38,0.909,J COMPUT HIGH EDUC,24,4,1,3,4,3,3,3,1,1,1,0
39,1.128,LANG LEARN TECHNOL,24,1,1,3,2,5,6,2,2,0,0,2
40,,EXPERT SYST APPL,23,1,3,2,5,7,2,2,0,0,1,0
41,3.518,J EDUC PSYCHOL,23,0,1,3,2,1,2,3,3,3,1,4
42,,SCI COMPUT PROGRAM,23,0,4,2,2,0,4,4,3,0,0,4
43,0.141,HACET U EGITIM FAK,22,0,1,2,4,0,3,1,2,3,1,5
44,1.364,NURS EDUC TODAY,22,0,0,2,0,6,3,6,4,0,0,1
45,,HUM FACTOR ERGON MAN,21,0,1,1,1,2,10,3,2,1,0,0
46,,IBER CONF INF SYST,21,0,4,3,5,0,4,3,1,0,0,1
47,1.426,INSTR SCI,21,1,1,1,2,2,1,2,3,6,0,2
48,,MULTIMED TOOLS APPL,21,0,0,0,1,5,5,3,2,2,0,3
49,0.918,ONLINE INFORM REV,21,0,3,4,4,3,1,2,3,0,0,1
50,1.413,TEACH TEACH EDUC,21,2,1,2,2,4,3,2,1,2,0,2
51,,2014 37 INT CONV,20,0,4,2,4,0,3,4,0,0,1,2
52,,ADV INTEL SYS RES,20,0,1,1,2,6,2,2,2,1,1,2
53,0.448,J ACAD LIBR,20,0,10,4,1,1,1,0,2,0,0,1
54,,J AMB INTEL SMART EN,20,0,2,0,4,4,3,2,3,0,0,2
55,3.897,REV EDUC RES,20,0,2,3,7,2,3,2,0,0,0,1
56,,IEEE LAT AM T,19,0,1,2,2,7,2,1,2,1,0,1
57,0.575,INT J SCI MATH EDUC,19,0,5,3,1,0,5,0,1,1,0,3
58,1.000,COMPUT ASSIST LANG L,18,0,0,0,4,5,2,3,2,0,0,2
59,0.700,INT J MOB COMMUN,18,0,0,0,0,4,4,1,4,1,0,4
60,,PERVASIVE MOB COMPUT,18,0,1,1,6,3,3,0,0,1,1,2
61,0.918,DISTANCE EDUC,17,3,3,0,1,5,1,1,2,1,0,0
62,0.784,INFORM TECHNOL PEOPL,17,0,0,1,0,6,6,2,1,1,0,0
63,0.448,J BALT SCI EDUC,17,0,0,1,5,1,1,2,3,2,0,2
64,0.045,INF TARSAD,15,0,0,1,1,6,3,1,1,1,1,0
65,1.132,INT J SCI EDUC,15,0,2,1,2,1,2,1,0,0,0,6
66,1.461,THINK SKILLS CREAT,15,0,3,3,5,1,2,0,1,0,0,0
67,,ADV EDUC RES,14,1,0,0,3,3,3,3,1,0,0,0
68,,J DENT EDUC,14,0,2,2,1,2,2,2,0,1,0,2
69,0.838,COMUNICAR,13,0,4,3,1,1,0,2,0,0,0,2
70,2.565,EDUC PSYCHOL REV,13,3,0,1,3,3,0,0,0,0,1,2
