Cited Journal Data: INSTRUCTIONAL SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,1145,31,60,94,93,120,69,50,37,24,67,500
2,,ALL OTHERS (166),166,6,6,7,11,8,10,6,8,2,4,98
3,1.426,INSTR SCI,93,17,5,17,11,7,8,4,1,0,4,19
4,2.556,COMPUT EDUC,70,1,7,7,5,13,3,4,3,2,7,18
5,2.694,COMPUT HUM BEHAV,33,0,1,0,4,10,2,2,0,0,2,12
6,3.585,LEARN INSTR,31,1,3,7,3,4,1,0,1,0,1,10
7,1.018,EDUC TECHNOL SOC,27,0,1,1,0,3,3,0,0,1,2,16
8,,PROCD SOC BEHV,26,0,0,1,1,3,0,0,1,1,4,15
9,1.318,BRIT J EDUC TECHNOL,23,0,0,4,2,1,1,1,1,0,1,12
10,1.132,INT J SCI EDUC,23,0,1,2,2,3,1,1,0,0,1,12
11,3.518,J EDUC PSYCHOL,18,0,1,0,5,1,1,0,1,1,2,6
12,1.621,LEARN INDIVID DIFFER,18,1,0,2,1,5,0,3,0,0,0,6
13,1.360,J COMPUT ASSIST LEAR,17,0,2,1,1,2,1,0,2,1,2,5
14,0.433,TEACH HIGH EDUC,15,0,0,1,0,2,1,0,0,0,0,11
15,0.610,ASSESS EVAL HIGH EDU,14,0,0,0,2,1,0,1,0,0,0,10
16,1.420,ETR&D-EDUC TECH RES,14,0,1,2,2,2,1,0,0,0,0,6
17,1.841,INT J COMP-SUPP COLL,14,0,1,1,1,4,0,0,3,1,1,2
18,0.670,J EDUC COMPUT RES,14,0,2,1,1,0,3,0,1,0,2,4
19,,LECT NOTES COMPUT SC,14,0,1,1,0,2,2,0,1,0,2,5
20,0.648,AUSTRALAS J EDUC TEC,13,0,1,1,0,1,0,0,1,2,0,7
21,1.038,STUD HIGH EDUC,13,0,0,0,1,0,1,1,0,0,0,10
22,0.667,EDUC PSYCHOL-UK,12,0,1,1,0,0,2,6,0,0,0,2
23,0.790,EUR J PSYCHOL EDUC,12,0,1,3,1,1,0,1,0,0,1,4
24,2.560,FRONT PSYCHOL,12,0,1,1,1,1,0,0,1,0,2,5
25,1.151,HIGH EDUC,12,0,0,0,0,0,0,2,0,0,3,7
26,2.463,INTERNET HIGH EDUC,12,0,1,0,0,1,0,0,1,1,3,5
27,1.708,METACOGN LEARN,12,0,3,0,4,1,1,1,0,0,1,1
28,1.413,TEACH TEACH EDUC,12,1,0,1,1,0,0,0,1,1,3,4
29,1.016,EURASIA J MATH SCI T,10,0,0,1,1,1,0,0,0,0,1,6
30,2.565,EDUC PSYCHOL REV,9,0,2,0,1,3,1,0,0,0,0,2
31,0.562,RES PAP EDUC,9,0,0,1,0,1,1,0,0,0,0,6
32,2.446,COGNITIVE SCI,8,0,0,2,1,1,1,1,0,1,0,1
33,1.929,CONTEMP EDUC PSYCHOL,8,0,1,1,0,2,1,1,0,0,0,2
34,1.323,INTERACT LEARN ENVIR,8,0,0,0,1,0,1,0,1,2,0,3
