Cited Journal Data: JOURNAL OF COGNITIVE NEUROSCIENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,16870,189,594,852,1690,1325,1192,1237,1261,1099,992,6439
2,,ALL OTHERS (477),477,3,6,21,33,29,24,35,40,31,13,242
3,,NEUROIMAGE,957,12,31,57,113,90,66,77,67,56,62,326
4,,FRONT HUM NEUROSCI,951,19,39,41,92,87,68,73,80,65,55,332
5,,PLOS ONE,931,8,38,55,74,69,70,70,70,44,70,363
6,3.302,NEUROPSYCHOLOGIA,772,15,38,34,71,68,52,53,57,63,73,248
7,2.560,FRONT PSYCHOL,692,21,35,39,54,63,56,52,63,45,31,233
8,4.085,J COGNITIVE NEUROSCI,611,2,35,47,69,52,55,56,38,34,47,176
9,,HUM BRAIN MAPP,405,1,11,14,51,25,31,22,34,21,21,174
10,,J NEUROSCI,393,12,35,29,51,34,26,22,26,22,22,114
11,7.372,SOC COGN AFFECT NEUR,371,0,4,14,43,41,42,26,46,32,13,110
12,,CEREB CORTEX,338,0,1,19,35,32,28,29,30,15,29,120
13,,CORTEX,284,2,8,27,34,27,19,14,25,19,17,92
14,3.215,BRAIN LANG,228,0,3,7,22,16,16,19,15,23,22,85
15,2.477,BRAIN COGNITION,221,3,5,17,21,13,16,18,12,22,8,86
16,,NEUROSCI BIOBEHAV R,216,3,6,13,30,15,20,14,13,18,11,73
17,,COGN AFFECT BEHAV NE,206,0,15,17,37,17,12,11,16,8,11,62
18,,BRAIN RES,186,1,7,16,23,17,15,10,6,14,10,67
19,,FRONT NEUROSCI-SWITZ,150,3,5,9,18,3,8,20,9,9,14,52
20,2.986,PSYCHOPHYSIOLOGY,140,1,5,6,10,9,15,12,11,16,4,51
21,3.403,BIOL PSYCHOL,138,0,5,6,13,10,9,17,9,7,10,52
22,,EXP BRAIN RES,137,0,4,7,14,7,7,8,8,8,17,57
23,,FRONT BEHAV NEUROSCI,130,3,6,10,17,10,9,8,12,3,8,44
