Cited Journal Data: JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,5648,90,337,387,590,352,601,195,195,197,181,2523
2,,ALL OTHERS (280),280,4,14,14,36,12,23,12,5,5,9,146
3,2.560,FRONT PSYCHOL,411,14,35,38,56,31,51,17,18,12,7,132
4,2.549,J EXP CHILD PSYCHOL,410,23,42,42,39,22,54,23,12,14,13,126
5,,PLOS ONE,207,5,29,12,21,12,41,4,10,5,5,63
6,4.141,DEV PSYCHOL,147,1,10,18,23,2,15,7,6,1,2,62
7,,FRONT HUM NEUROSCI,147,1,8,4,7,6,14,1,6,5,5,90
8,1.887,RES DEV DISABIL,142,3,7,9,12,8,22,1,8,7,12,53
9,4.061,CHILD DEV,139,3,7,17,18,10,11,9,2,5,1,56
10,1.634,READ WRIT,127,0,3,8,5,8,14,1,7,12,9,60
11,3.808,DEVELOPMENTAL SCI,106,1,12,11,11,10,14,4,1,2,4,36
12,1.621,LEARN INDIVID DIFFER,92,2,5,2,10,6,14,1,5,6,8,33
13,4.000,DEV REV,81,9,4,7,7,4,8,2,2,3,1,34
14,1.683,J COGN DEV,67,0,0,0,3,10,8,6,2,4,3,31
15,3.479,COGNITION,65,1,8,5,4,3,10,2,3,3,2,24
16,,DEV PSYCHOBIOL,60,0,3,11,6,2,13,5,1,2,0,17
17,2.127,Q J EXP PSYCHOL,57,0,4,10,6,1,12,4,5,0,0,15
18,2.248,ACTA PSYCHOL,55,0,11,7,5,3,10,1,2,0,0,16
19,3.518,J EDUC PSYCHOL,52,0,2,3,3,3,9,2,1,0,3,26
20,2.941,SCI STUD READ,49,0,4,2,4,1,7,0,4,4,1,22
21,3.302,NEUROPSYCHOLOGIA,45,1,3,3,3,1,7,1,3,1,1,21
22,,PHILOS T R SOC B,41,0,7,3,3,0,2,0,4,0,3,19
23,2.841,BRIT J DEV PSYCHOL,40,1,4,5,5,1,4,0,2,0,0,18
24,2.070,J SPEECH LANG HEAR R,40,0,0,0,3,4,2,0,0,0,6,25
25,,CHILD NEUROPSYCHOL,39,0,1,3,9,4,3,1,2,2,3,11
26,2.172,COGNITIVE DEV,39,0,0,6,7,1,3,3,2,0,0,17
27,1.349,INFANT BEHAV DEV,34,0,2,2,2,2,0,1,0,1,1,23
28,3.665,J AUTISM DEV DISORD,34,0,2,0,5,5,2,1,1,2,1,15
29,2.863,PSYCHOL RES-PSYCH FO,34,0,1,3,2,3,5,2,1,1,3,13
