Cited Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,11549,106,416,504,492,477,565,457,450,430,462,7190
2,,ALL OTHERS (365),365,2,4,10,4,7,10,3,8,12,11,294
3,2.560,FRONT PSYCHOL,915,19,36,40,56,52,38,43,37,33,38,523
4,3.358,J EXP PSYCHOL HUMAN,891,15,48,44,42,42,58,37,44,31,39,491
5,2.168,ATTEN PERCEPT PSYCHO,716,10,31,39,42,23,39,26,34,39,27,406
6,,PLOS ONE,536,3,19,22,22,24,29,18,23,17,31,328
7,,FRONT HUM NEUROSCI,334,5,12,23,19,11,18,15,27,11,17,176
8,2.248,ACTA PSYCHOL,330,1,8,18,14,16,14,17,14,11,16,201
9,,J VISION,320,6,15,17,6,14,13,8,20,7,14,200
10,3.369,PSYCHON B REV,291,2,15,21,17,15,17,19,10,13,10,152
11,2.127,Q J EXP PSYCHOL,260,1,8,13,18,12,11,15,8,22,9,143
12,,EXP BRAIN RES,236,3,7,10,9,11,9,5,9,8,15,150
13,2.863,PSYCHOL RES-PSYCH FO,219,0,13,12,17,7,15,9,8,11,11,116
14,,VISION RES,208,1,11,10,6,11,5,2,7,3,6,146
15,2.862,J EXP PSYCHOL LEARN,200,1,17,8,14,2,11,14,11,10,6,106
16,5.929,J EXP PSYCHOL GEN,187,1,3,12,10,9,10,10,6,10,7,109
17,3.302,NEUROPSYCHOLOGIA,187,2,7,7,10,9,13,7,4,7,6,115
18,1.921,VIS COGN,161,3,9,7,11,8,6,6,9,4,6,92
19,3.479,COGNITION,145,0,4,13,11,12,6,4,7,5,7,76
20,1.941,CONSCIOUS COGN,119,1,10,9,2,9,5,3,5,4,10,61
21,0.906,PERCEPTION,118,0,7,6,12,5,7,10,1,4,10,56
22,,NEUROIMAGE,115,0,1,5,2,3,11,6,8,4,5,70
23,4.085,J COGNITIVE NEUROSCI,114,0,4,4,5,6,1,3,1,7,2,81
24,,J NEUROSCI,88,0,6,4,1,4,4,6,3,4,2,54
