Cited Journal Data: Language Cognition and Neuroscience,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,38,32,2,0,0,0,0,0,0,0,0,4
2,,FRONT PSYCHOL,6,6,0,0,0,0,0,0,0,0,0,0
3,,LANG COGN NEUROSCI,6,4,1,0,0,0,0,0,0,0,0,1
4,2.070,J SPEECH LANG HEAR R,5,5,0,0,0,0,0,0,0,0,0,0
5,2.073,COGN NEUROPSYCHOL,3,3,0,0,0,0,0,0,0,0,0,0
6,3.626,FRONT HUM NEUROSCI,2,2,0,0,0,0,0,0,0,0,0,0
7,3.302,NEUROPSYCHOLOGIA,2,2,0,0,0,0,0,0,0,0,0,0
8,9.977,ANN NEUROL,1,1,0,0,0,0,0,0,0,0,0,0
9,,ANNU REV APPL LINGUI,1,1,0,0,0,0,0,0,0,0,0,0
10,,APPL PSYCHOLINGUIST,1,1,0,0,0,0,0,0,0,0,0,0
11,3.215,BRAIN LANG,1,0,0,0,0,0,0,0,0,0,0,1
12,,CIRC LINGUIST APL CO,1,0,1,0,0,0,0,0,0,0,0,0
13,,COGN LINGUIST,1,1,0,0,0,0,0,0,0,0,0,0
14,1.671,COGN NEURODYNAMICS,1,0,0,0,0,0,0,0,0,0,0,1
15,5.128,CORTEX,1,1,0,0,0,0,0,0,0,0,0,0
16,2.882,INT J PSYCHOPHYSIOL,1,1,0,0,0,0,0,0,0,0,0,0
17,4.237,J MEM LANG,1,1,0,0,0,0,0,0,0,0,0,0
18,,MEM COGNITION,1,0,0,0,0,0,0,0,0,0,0,1
19,9.674,P NATL ACAD SCI USA,1,1,0,0,0,0,0,0,0,0,0,0
20,3.234,PLOS ONE,1,1,0,0,0,0,0,0,0,0,0,0
21,,PSYCHON B REV,1,1,0,0,0,0,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
