Cited Journal Data: LEARNING AND INSTRUCTION,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,2776,52,166,171,246,284,172,185,236,166,107,991
2,,ALL OTHERS (206),206,3,10,12,17,11,12,19,18,12,12,80
3,3.585,LEARN INSTR,204,8,32,21,26,9,15,14,18,13,7,41
4,2.694,COMPUT HUM BEHAV,143,2,11,11,18,33,7,6,16,9,2,28
5,2.556,COMPUT EDUC,126,1,13,6,15,18,11,6,8,10,3,35
6,1.426,INSTR SCI,74,0,2,3,8,9,6,8,5,4,0,29
7,1.621,LEARN INDIVID DIFFER,59,3,5,5,8,3,4,6,2,3,4,16
8,0.790,EUR J PSYCHOL EDUC,48,0,3,0,4,5,1,3,4,6,3,19
9,0.575,INT J SCI MATH EDUC,44,0,0,3,2,17,0,0,5,3,1,13
10,3.518,J EDUC PSYCHOL,43,1,3,4,2,3,5,3,7,1,2,12
11,1.132,INT J SCI EDUC,42,0,0,0,2,3,2,1,1,4,2,27
12,1.929,CONTEMP EDUC PSYCHOL,41,1,6,4,5,3,3,7,1,1,4,6
13,,LECT NOTES COMPUT SC,39,4,1,5,4,5,0,0,7,4,0,9
14,2.560,FRONT PSYCHOL,38,4,6,4,3,4,2,2,2,4,2,5
15,2.565,EDUC PSYCHOL REV,37,2,2,7,6,1,4,0,1,3,0,11
16,1.018,EDUC TECHNOL SOC,33,0,1,1,2,4,3,1,3,8,0,10
17,1.413,TEACH TEACH EDUC,33,0,2,1,1,6,0,7,4,1,0,11
18,,PROCD SOC BEHV,32,0,1,2,3,0,2,3,2,2,1,16
19,2.000,BRIT J EDUC PSYCHOL,31,1,2,3,4,3,2,1,5,3,1,6
20,1.214,J SCI EDUC TECHNOL,30,0,1,0,2,0,1,1,3,1,2,19
21,2.825,SCI EDUC,30,0,1,0,3,1,1,1,2,2,3,16
22,1.087,J EXP EDUC,28,0,0,4,2,1,0,2,4,3,2,10
23,1.321,APPL COGNITIVE PSYCH,25,0,1,4,0,5,4,0,2,1,1,7
24,2.091,CHEM EDUC RES PRACT,25,0,1,2,0,0,0,1,1,1,0,19
25,1.420,ETR&D-EDUC TECH RES,25,1,2,0,7,3,2,1,5,1,1,2
26,3.611,EDUC PSYCHOL-US,23,2,2,6,4,1,0,3,1,0,0,4
27,0.667,EDUC PSYCHOL-UK,22,0,0,2,2,2,2,2,1,2,1,8
28,1.360,J COMPUT ASSIST LEAR,22,0,4,1,3,2,1,0,4,0,1,6
29,1.708,METACOGN LEARN,22,0,2,3,4,2,4,0,1,1,0,5
30,0.670,J EDUC COMPUT RES,20,0,1,0,2,0,3,0,1,1,0,12
31,0.562,RES PAP EDUC,20,0,0,0,3,1,2,2,2,3,1,6
32,0.634,SCI EDUC-NETHERLANDS,20,0,0,0,0,0,0,0,0,0,2,18
33,0.299,Z ERZIEHWISS,20,0,0,5,0,1,1,4,4,1,0,4
34,1.318,BRIT J EDUC TECHNOL,19,0,0,0,0,5,0,3,1,0,2,8
35,1.038,STUD HIGH EDUC,19,0,0,0,1,5,0,1,1,0,1,10
36,1.218,BMC MED EDUC,18,1,0,1,1,5,2,0,3,0,0,5
37,3.162,J RES SCI TEACH,17,0,0,1,1,0,1,1,2,2,1,8
38,1.433,PHYS REV SPEC TOP-PH,17,0,0,0,0,0,0,0,0,3,1,13
39,0.433,TEACH HIGH EDUC,17,1,0,0,0,1,0,3,0,1,0,11
40,1.559,VOCAT LEARN,17,0,0,1,1,6,1,0,3,0,0,5
