Cited Journal Data: MEMORY ,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,7684,68,205,311,321,336,211,380,465,401,363,4623
2,,ALL OTHERS (372),372,3,3,10,13,13,4,15,22,12,14,263
3,2.560,FRONT PSYCHOL,482,10,20,22,25,14,16,19,22,28,31,275
4,2.457,MEM COGNITION,341,5,21,28,25,21,14,19,34,19,12,143
5,2.862,J EXP PSYCHOL LEARN,323,2,14,18,19,20,7,16,25,16,16,170
6,2.127,Q J EXP PSYCHOL,214,1,2,9,10,5,5,9,17,11,8,137
7,,PLOS ONE,208,2,6,7,11,6,6,10,12,14,11,123
8,1.688,MEMORY,199,0,6,14,14,22,6,22,11,12,5,87
9,5.929,J EXP PSYCHOL GEN,192,1,7,10,9,9,4,12,8,11,10,111
10,,FRONT HUM NEUROSCI,186,7,4,5,10,6,5,7,12,9,8,113
11,3.369,PSYCHON B REV,152,1,7,11,5,8,2,8,13,6,5,86
12,2.248,ACTA PSYCHOL,148,2,4,6,1,3,8,5,9,14,7,89
13,4.237,J MEM LANG,132,0,2,6,7,4,4,12,8,5,6,78
14,3.302,NEUROPSYCHOLOGIA,118,1,3,2,4,6,4,2,5,6,9,76
15,1.321,APPL COGNITIVE PSYCH,115,3,3,5,8,5,3,8,13,3,4,60
16,3.479,COGNITION,112,0,1,6,5,1,4,7,3,6,4,75
17,3.358,J EXP PSYCHOL HUMAN,110,1,0,4,4,6,6,4,4,8,3,70
18,,LANG COGN NEUROSCI,110,0,1,1,5,3,2,4,10,5,3,76
19,2.168,ATTEN PERCEPT PSYCHO,109,1,4,2,7,8,2,7,5,9,10,54
20,1.431,J COGN PSYCHOL,100,0,1,3,6,5,3,6,10,3,8,55
21,2.964,PSYCHOL LEARN MOTIV,99,0,7,4,5,6,2,5,4,9,3,54
22,14.756,PSYCHOL BULL,82,1,3,8,2,2,5,9,4,6,4,38
23,1.941,CONSCIOUS COGN,81,1,3,8,3,7,1,10,4,4,4,36
24,2.863,PSYCHOL RES-PSYCH FO,78,2,3,3,3,3,4,5,5,2,6,42
25,0.887,DISCOURSE PROCESS,60,0,1,4,4,0,0,5,8,6,3,29
26,,NEUROIMAGE,60,0,2,1,4,1,1,0,3,3,2,43
27,1.388,COGN PROCESS,59,1,1,4,1,1,1,4,3,4,3,36
28,2.549,J EXP CHILD PSYCHOL,58,0,1,1,1,3,1,4,5,3,2,37
29,5.064,COGNITIVE PSYCHOL,55,0,2,1,0,2,6,1,3,4,2,34
30,2.076,EXP PSYCHOL,50,0,0,2,1,4,1,2,3,2,1,34
31,2.477,BRAIN COGNITION,47,0,0,1,1,3,0,0,3,2,7,30
32,3.215,BRAIN LANG,47,0,1,2,0,2,1,1,2,1,1,36
33,4.940,PSYCHOL SCI,47,1,2,3,1,3,3,3,2,3,4,22
34,0.619,AM J PSYCHOL,43,0,1,0,3,3,1,1,2,2,0,30
35,1.218,CAN J EXP PSYCHOL,43,0,2,3,0,8,2,2,3,4,0,19
36,,COGN AFFECT BEHAV NE,41,0,3,0,3,1,0,4,2,4,2,22
37,2.201,COGNITION EMOTION,41,0,3,0,1,2,1,3,4,1,2,24
38,4.085,J COGNITIVE NEUROSCI,40,0,0,2,2,1,2,2,2,1,3,25
39,1.621,LEARN INDIVID DIFFER,39,0,0,2,1,1,1,3,1,3,3,24
40,2.646,PSYCHOL AGING,39,0,1,2,2,0,0,3,3,2,4,22
41,2.928,BEHAV RES METHODS,38,0,2,0,0,0,3,5,2,4,2,20
42,,J VISION,38,0,0,3,0,2,1,0,4,3,4,21
43,1.921,VIS COGN,38,0,0,3,3,0,2,1,3,4,1,21
44,2.446,COGNITIVE SCI,37,0,0,0,0,2,0,1,4,2,1,27
45,1.836,J EXP PSYCHOL-APPL,36,3,1,2,2,3,2,1,2,8,2,10
46,4.141,DEV PSYCHOL,35,0,1,1,2,2,2,0,0,2,1,24
47,,BRAIN RES,31,1,1,0,0,0,2,2,3,0,0,22
48,,CORTEX,30,0,1,3,0,0,0,0,0,2,2,22
49,1.634,READ WRIT,29,0,0,0,2,1,2,0,2,1,0,21
50,2.200,THINK REASONING,29,0,1,0,2,4,0,0,3,1,1,17
51,1.803,AGING NEUROPSYCHOL C,28,0,0,3,1,1,2,0,2,2,0,17
52,2.009,BILING-LANG COGN,28,0,0,0,2,0,2,0,1,0,4,19
53,,FRONT BEHAV NEUROSCI,28,1,0,1,0,1,0,2,3,2,1,17
54,,CEREB CORTEX,27,0,0,2,2,2,1,1,2,2,2,13
55,3.652,NEUROBIOL LEARN MEM,27,0,0,1,0,2,0,2,1,1,4,16
56,2.694,COMPUT HUM BEHAV,26,0,1,0,0,1,0,1,0,1,1,21
57,2.565,EDUC PSYCHOL REV,26,0,0,1,3,1,1,2,1,2,1,14
58,3.585,LEARN INSTR,26,0,0,0,1,1,2,5,0,3,1,13
59,0.440,ANN PSYCHOL,25,2,3,0,2,4,0,3,0,0,0,11
60,21.965,TRENDS COGN SCI,25,0,1,2,1,2,1,2,2,1,1,12
61,,J NEUROSCI,24,0,1,1,0,1,1,0,1,1,1,17
62,0.317,PSYCHOL FR,24,0,0,0,2,2,1,0,1,1,0,17
63,,EXP BRAIN RES,23,0,1,1,1,0,1,0,0,2,0,17
64,3.245,INTELLIGENCE,23,2,2,0,1,1,1,0,1,3,0,12
65,0.633,J PSYCHOLINGUIST RES,23,0,0,0,1,1,1,1,1,0,2,16
66,2.000,MUSIC PERCEPT,23,1,0,0,1,2,2,1,1,0,0,15
67,,VISION RES,23,0,0,0,1,0,0,2,3,4,4,9
68,,FRONT NEUROSCI-SWITZ,21,1,2,0,0,2,1,0,1,0,3,11
69,,EXP AGING RES,20,0,1,1,1,1,0,2,0,2,0,12
70,3.518,J EDUC PSYCHOL,20,0,0,0,1,2,0,1,1,1,0,14
71,7.972,PSYCHOL REV,20,0,0,0,0,0,1,1,1,0,3,14
72,1.869,WIRES COGN SCI,20,0,1,2,1,0,0,1,2,1,1,11
73,2.083,J CLIN EXP NEUROPSYC,19,0,1,0,0,3,0,2,2,1,1,9
74,,NEUROSCI BIOBEHAV R,19,0,1,0,1,2,1,0,0,1,0,13
75,3.125,J CONSUM RES,18,0,0,1,0,1,0,2,0,1,0,13
76,1.489,J NEUROLINGUIST,18,0,0,0,0,1,1,0,3,0,2,11
77,,LECT NOTES COMPUT SC,18,0,1,2,0,0,0,2,1,0,2,10
78,7.372,SOC COGN AFFECT NEUR,18,0,1,1,2,0,1,1,0,1,2,9
79,3.063,TOP COGN SCI,18,0,0,1,0,0,0,0,0,1,1,15
80,1.512,APPL PSYCHOLINGUIST,17,0,0,0,0,0,0,0,0,0,3,14
81,3.808,DEVELOPMENTAL SCI,17,0,0,1,1,0,0,0,1,0,1,13
82,4.592,NEUROPSYCHOL REV,17,0,1,2,0,0,0,0,0,2,0,12
83,1.057,SCAND J PSYCHOL,17,0,1,1,0,1,0,1,1,1,1,10
84,1.569,Z PSYCHOL,17,1,1,0,0,0,0,0,0,2,0,13
85,5.678,CURR DIR PSYCHOL SCI,16,0,0,1,4,0,2,0,1,0,2,6
86,3.269,NEUROPSYCHOLOGY,16,0,0,0,1,0,1,1,1,2,1,9
87,2.986,PSYCHOPHYSIOLOGY,16,0,0,0,0,1,0,2,2,0,0,11
88,2.070,J SPEECH LANG HEAR R,15,0,0,0,0,0,2,1,0,0,4,8
89,0.906,PERCEPTION,15,0,1,0,1,1,0,0,0,0,1,11
90,2.173,PSYCHOL MUSIC,15,0,0,0,0,0,2,1,0,0,0,12
91,1.532,SOC COGNITION,15,0,0,4,0,2,0,0,2,1,1,5
92,4.000,DEV REV,14,0,1,0,1,2,0,0,1,0,1,8
93,,HUM BRAIN MAPP,14,0,0,0,0,1,1,3,1,1,0,7
94,2.882,INT J PSYCHOPHYSIOL,14,0,0,0,0,0,0,1,2,1,0,10
95,1.683,J COGN DEV,14,0,0,0,3,0,0,0,1,0,0,10
96,,J INT NEUROPSYCH SOC,14,0,0,0,0,0,0,2,1,0,0,11
97,,NEUROPSYCHOL REHABIL,14,0,0,0,2,1,0,1,2,1,0,7
98,0.659,PSYCHOL BELG,14,0,0,0,0,0,0,0,3,0,0,11
99,4.061,CHILD DEV,13,0,0,1,2,0,0,0,1,0,1,8
100,2.073,COGN NEUROPSYCHOL,13,0,0,1,1,3,0,0,0,0,2,6
101,,FRONT AGING NEUROSCI,13,0,2,0,0,0,1,1,0,1,0,8
102,3.665,J AUTISM DEV DISORD,13,0,0,0,0,1,0,1,0,0,0,11
103,1.949,J EXP PSYCHOL-ANIM L,13,0,0,1,0,0,1,3,0,0,0,8
104,2.609,J MATH PSYCHOL,13,0,0,0,0,0,0,0,0,0,0,13
105,1.473,J RES READ,13,0,0,0,1,0,1,0,3,1,1,6
106,0.647,LINGUA,13,0,0,1,2,0,0,0,0,0,0,10
107,9.546,PERSPECT PSYCHOL SCI,13,0,0,0,0,2,0,0,1,2,0,8
108,0.879,PSYCHOL REC,13,0,0,0,0,0,0,0,0,3,1,9
109,1.887,RES DEV DISABIL,13,0,0,0,1,1,1,1,1,0,0,8
110,0.857,SPAT COGN COMPUT,13,0,0,0,1,1,0,2,2,0,0,7
111,3.403,BIOL PSYCHOL,12,0,1,0,0,0,0,1,0,0,1,9
112,,DESIGN STUD,12,0,0,0,0,0,0,0,3,0,0,9
113,3.383,EMOTION,12,0,0,0,0,0,0,0,1,0,0,11
114,2.941,SCI STUD READ,12,0,0,0,1,0,1,2,1,0,0,7
115,,J MECH DESIGN,11,0,0,0,0,0,0,0,5,0,0,6
116,0.467,MEM STUD,11,0,0,1,2,0,0,0,2,3,0,3
117,1.533,METAPHOR SYMBOL,11,0,0,2,0,0,0,2,1,0,0,6
118,,NEUROSCIENCE,11,0,0,0,0,0,0,0,0,1,0,10
119,,P NATL ACAD SCI USA,11,0,1,1,0,0,0,3,0,0,0,6
120,,PHILOS T R SOC B,11,0,1,0,0,0,1,0,1,0,0,8
121,,APHASIOLOGY,10,0,0,0,0,1,0,0,0,0,2,7
122,,BEHAV BRAIN RES,10,0,0,0,0,1,0,0,0,0,0,9
123,2.556,COMPUT EDUC,10,0,0,1,0,1,0,1,0,1,0,6
124,,CURR BIOL,10,0,0,0,0,1,0,0,0,0,0,9
125,,J ACOUST SOC AM,10,0,2,0,0,1,0,0,0,0,1,6
126,,J INTEGR NEUROSCI,10,0,0,0,1,0,0,0,0,0,0,9
127,,J NEUROPHYSIOL,10,0,0,1,0,0,1,1,0,0,0,7
