Cited Journal Data: NATURE NEUROSCIENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,50204,945,3687,3781,4013,3805,3686,2827,3565,3122,4432,16341
2,,ALL OTHERS (880),880,8,37,59,71,46,50,60,53,49,89,358
3,6.344,J NEUROSCI,2779,50,230,215,242,269,246,157,198,160,222,790
4,3.234,PLOS ONE,2291,30,138,144,174,158,180,119,144,139,199,866
5,15.054,NEURON,1380,51,167,144,160,129,106,89,91,72,84,287
6,6.357,NEUROIMAGE,885,5,48,55,58,32,61,52,63,55,96,360
7,9.674,P NATL ACAD SCI USA,802,21,80,63,72,72,61,47,61,47,65,213
8,4.289,FRONT CELL NEUROSCI,773,32,72,64,46,56,67,44,72,55,64,201
9,3.357,NEUROSCIENCE,773,11,40,65,46,75,65,49,64,59,54,245
10,16.095,NAT NEUROSCI,770,105,119,85,82,76,62,31,31,31,24,124
11,3.626,FRONT HUM NEUROSCI,767,6,46,34,50,25,51,45,41,35,57,377
12,2.887,J NEUROPHYSIOL,674,8,34,36,43,34,51,47,53,41,62,265
13,,FRONT PSYCHOL,631,15,18,33,28,18,38,32,40,20,91,298
14,6.628,CURR OPIN NEUROBIOL,578,8,131,72,68,64,38,25,29,31,24,88
15,3.181,EUR J NEUROSCI,573,10,31,41,41,63,39,34,49,30,56,179
16,7.055,PHILOS T R SOC B,523,7,72,45,40,41,31,20,45,24,49,149
17,5.106,NEUROPHARMACOLOGY,509,1,22,45,46,58,36,30,33,52,50,136
18,8.665,CEREB CORTEX,504,0,2,19,36,27,36,32,36,34,57,225
19,3.270,FRONT BEHAV NEUROSCI,495,14,44,51,36,32,48,30,28,25,46,141
20,11.470,NAT COMMUN,481,10,46,47,58,39,41,24,33,28,38,117
21,3.656,FRONT NEUROSCI-SWITZ,474,4,31,46,21,38,42,38,32,35,26,161
