Cited Journal Data: NATURE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,617363,8262,29753,41924,37665,35148,33000,33506,28734,30511,30089,308771
2,,ALL OTHERS (1244),1244,18,35,53,62,63,50,55,47,42,70,749
3,3.234,PLOS ONE,22432,201,928,1588,1328,1293,1151,1318,1157,1099,1174,11195
4,9.674,P NATL ACAD SCI USA,7568,176,464,691,645,536,476,449,442,366,383,2940
5,11.470,NAT COMMUN,6881,114,522,745,543,577,468,431,385,363,305,2428
6,5.578,SCI REP-UK,5133,54,257,357,311,325,299,350,240,283,341,2316
7,3.736,PHYS REV B,5095,47,291,367,274,509,319,532,242,332,308,1874
8,4.573,J BIOL CHEM,4914,51,260,295,360,263,278,243,278,243,226,2417
9,41.456,NATURE,4671,760,506,591,429,360,263,224,199,153,147,1039
10,2.808,PHYS REV A,4076,89,286,313,425,451,290,324,292,190,137,1279
11,3.840,RSC ADV,3472,14,94,115,90,114,185,241,140,203,204,2072
12,9.112,NUCLEIC ACIDS RES,3384,69,221,387,278,287,242,258,205,140,164,1133
13,5.993,ASTROPHYS J,3382,101,264,280,298,235,269,134,109,183,223,1286
14,7.512,PHYS REV LETT,3289,59,271,283,272,340,212,265,195,179,146,1067
15,3.302,APPL PHYS LETT,3018,31,156,214,201,140,205,207,116,266,186,1296
16,5.107,MON NOT R ASTRON SOC,2975,43,187,196,216,249,202,102,72,151,297,1260
17,3.426,J GEOPHYS RES,2891,19,146,137,122,150,104,134,119,138,176,1646
18,6.344,J NEUROSCI,2803,21,154,189,145,140,182,148,120,130,99,1475
19,33.611,SCIENCE,2604,155,285,313,256,191,167,133,101,105,106,792
20,7.528,PLOS GENET,2473,41,152,276,187,249,174,147,153,118,93,883
21,12.113,J AM CHEM SOC,2410,64,170,149,160,116,155,143,102,107,112,1132
22,32.242,CELL,2371,111,301,329,237,162,177,136,103,99,72,644
23,,METHOD MOL BIOL,2287,0,52,106,130,156,130,157,132,100,109,1215
24,3.986,BMC GENOMICS,2270,27,104,302,231,265,157,148,142,101,127,666
25,4.734,EARTH PLANET SC LETT,2117,18,75,99,134,101,76,96,107,91,156,1164
26,4.772,J PHYS CHEM C,2092,4,131,96,42,60,116,92,54,94,127,1276
27,4.922,J IMMUNOL,2072,15,95,116,176,94,143,128,138,122,92,953
28,11.261,ANGEW CHEM INT EDIT,2020,36,116,172,139,81,128,141,101,87,71,948
29,8.358,CELL REP,2011,55,180,233,228,157,165,121,122,104,91,555
30,9.322,ELIFE,2003,63,163,192,161,146,137,113,113,127,94,694
31,4.493,PHYS CHEM CHEM PHYS,1968,7,83,78,88,67,84,92,60,96,121,1192
32,2.288,PHYS REV E,1937,5,42,77,76,131,56,115,98,99,162,1076
33,4.439,J VIROL,1902,29,191,149,155,91,136,110,84,97,101,759
34,1.579,BIOMED RES INT,1847,14,74,98,103,88,88,112,98,105,119,948
35,7.443,J MATER CHEM A,1821,11,117,99,35,41,106,198,41,84,52,1037
36,2.183,J APPL PHYS,1807,6,51,67,76,71,91,105,61,163,121,995
37,7.394,NANOSCALE,1715,7,93,100,66,78,123,113,73,96,131,835
38,15.054,NEURON,1701,64,149,183,131,109,101,96,79,76,66,647
39,6.834,CHEM COMMUN,1689,23,98,96,114,75,90,122,71,68,72,860
40,6.723,ACS APPL MATER INTER,1672,7,63,95,61,56,81,126,65,85,71,962
41,12.881,ACS NANO,1667,16,113,114,108,98,152,89,73,99,100,705
42,,PROC SPIE,1654,10,79,62,59,67,105,81,89,102,95,905
43,2.952,J CHEM PHYS,1604,29,49,39,66,63,65,57,69,61,103,1003
44,46.568,CHEM REV,1571,4,55,48,83,90,86,77,59,63,62,944
45,13.592,NANO LETT,1557,16,129,150,106,91,109,112,75,98,81,590
46,6.462,DEVELOPMENT,1496,21,91,110,112,125,103,80,107,72,75,600
47,3.488,OPT EXPRESS,1492,11,83,110,95,73,100,74,95,72,75,704
48,4.378,ASTRON ASTROPHYS,1460,28,116,114,122,116,100,47,38,95,109,575
49,6.359,ONCOTARGET,1423,31,79,164,95,120,79,108,93,87,85,482
50,2.297,BIOCHEM BIOPH RES CO,1401,30,48,83,94,65,72,85,71,77,70,706
51,4.620,PLOS COMPUT BIOL,1396,17,63,147,91,97,94,99,88,75,70,555
52,17.493,ADV MATER,1344,6,98,88,64,56,123,109,56,70,56,618
53,5.808,CELL MOL LIFE SCI,1337,8,54,92,95,123,83,80,81,71,85,565
54,9.571,CURR BIOL,1308,49,113,106,82,94,82,88,65,67,75,487
55,4.196,GEOPHYS RES LETT,1276,34,113,91,79,67,85,76,63,53,82,533
56,7.055,PHILOS T R SOC B,1272,10,102,75,86,86,69,47,64,60,76,597
57,3.452,CURR PHARM DESIGN,1242,0,15,101,78,62,82,65,82,67,73,617
58,2.862,INT J MOL SCI,1237,21,42,72,62,50,73,79,73,63,63,639
59,8.459,ONCOGENE,1228,0,12,134,111,99,73,107,70,70,96,456
60,14.018,MOL CELL,1225,44,152,133,164,116,92,90,61,53,36,284
61,3.948,FRONT PLANT SCI,1218,23,56,89,59,85,83,75,89,83,78,498
62,4.331,GEOCHIM COSMOCHIM AC,1190,3,34,34,52,24,46,42,39,41,59,816
63,3.558,NEW J PHYS,1179,10,71,97,134,118,64,109,72,61,64,379
64,7.562,PLOS PATHOG,1175,17,96,87,104,54,75,66,69,84,55,468
65,9.329,CANCER RES,1148,17,60,204,112,86,77,74,80,64,73,301
