Cited Journal Data: NEUROPSYCHOLOGIA,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,23315,210,862,1420,1955,2077,1791,1624,1709,1514,788,9365
2,,ALL OTHERS (520),520,1,14,17,38,45,42,33,40,28,11,251
3,3.302,NEUROPSYCHOLOGIA,1244,27,53,85,120,126,83,98,94,92,51,415
4,,PLOS ONE,1240,10,48,77,99,120,101,87,85,79,41,493
5,,FRONT HUM NEUROSCI,1113,27,57,80,103,102,81,58,82,74,33,416
6,2.560,FRONT PSYCHOL,931,29,61,57,86,63,66,42,61,65,37,364
7,,NEUROIMAGE,843,3,40,76,67,82,72,65,72,65,22,279
8,,CORTEX,551,1,25,36,44,49,43,30,36,36,18,233
9,,HUM BRAIN MAPP,462,1,8,22,34,40,35,38,36,41,21,186
10,,EXP BRAIN RES,401,3,16,21,27,30,21,24,19,10,9,221
11,4.085,J COGNITIVE NEUROSCI,385,2,15,19,36,27,34,46,26,28,11,141
12,7.372,SOC COGN AFFECT NEUR,338,0,3,22,29,46,26,27,45,29,16,95
13,,J NEUROSCI,328,9,23,32,31,20,26,23,16,22,7,119
14,2.477,BRAIN COGNITION,320,5,10,19,20,34,25,26,18,20,12,131
15,,NEUROSCI BIOBEHAV R,277,2,7,20,30,34,21,27,25,15,12,84
16,,CEREB CORTEX,273,0,1,14,32,18,21,27,26,14,11,109
17,3.269,NEUROPSYCHOLOGY,225,0,6,9,22,21,20,14,14,21,10,88
18,,BRAIN,206,0,7,14,12,27,24,7,15,18,12,70
19,,FRONT BEHAV NEUROSCI,196,3,10,11,14,29,12,9,12,7,6,83
20,,FRONT AGING NEUROSCI,186,1,11,15,20,9,18,21,5,13,4,69
21,3.215,BRAIN LANG,184,2,7,25,17,10,8,13,18,1,6,77
22,,BEHAV BRAIN RES,179,0,6,8,10,14,9,19,14,10,5,84
23,4.592,NEUROPSYCHOL REV,176,3,7,9,14,14,14,13,8,9,8,77
24,,BRAIN RES,175,2,8,14,12,16,21,12,14,9,4,63
25,3.403,BIOL PSYCHOL,163,0,3,16,23,20,16,12,18,8,5,42
26,,NEUROSCIENCE,163,4,10,9,12,9,14,9,7,6,5,78
27,,COGN AFFECT BEHAV NE,162,0,7,10,18,14,16,21,20,8,5,43
28,2.248,ACTA PSYCHOL,157,0,9,5,18,22,17,8,9,6,7,56
29,3.358,J EXP PSYCHOL HUMAN,146,0,6,9,25,10,9,7,10,11,9,50
30,2.168,ATTEN PERCEPT PSYCHO,145,0,4,5,26,15,16,15,11,9,0,44
31,2.083,J CLIN EXP NEUROPSYC,145,0,5,4,5,11,13,10,7,8,2,80
32,1.356,LATERALITY,139,0,0,3,8,5,6,8,7,2,4,96
33,,J ALZHEIMERS DIS,133,0,3,6,14,14,11,17,13,7,6,42
34,,J VISION,129,3,5,10,16,5,7,11,4,7,5,56
35,3.665,J AUTISM DEV DISORD,121,0,1,4,8,17,6,14,16,13,8,34
36,1.887,RES DEV DISABIL,120,0,1,1,3,16,8,8,11,9,3,60
37,,NEUROCASE,116,0,0,1,11,7,7,2,6,8,1,73
38,,J NEUROPHYSIOL,115,1,1,6,5,3,8,2,7,17,0,65
39,,PHILOS T R SOC B,113,2,9,13,9,15,7,7,6,2,2,41
40,2.882,INT J PSYCHOPHYSIOL,112,3,5,5,11,5,9,9,10,5,4,46
41,,HIPPOCAMPUS,107,3,7,10,2,11,7,3,4,2,7,51
42,2.073,COGN NEUROPSYCHOL,105,2,4,12,11,5,8,6,4,1,3,49
43,,P NATL ACAD SCI USA,104,3,11,13,6,3,3,7,9,7,5,37
44,,FRONT NEUROSCI-SWITZ,100,2,4,8,10,11,9,7,13,4,1,31
45,3.923,SCHIZOPHR RES,99,0,5,5,9,8,3,7,10,6,2,44
46,,NEUROBIOL AGING,98,0,2,3,8,3,15,12,4,6,5,40
47,,J INT NEUROPSYCH SOC,95,0,1,10,10,7,8,7,6,6,6,34
48,1.941,CONSCIOUS COGN,94,1,4,9,6,11,11,8,7,3,0,34
49,,CLIN NEUROPHYSIOL,90,0,2,4,7,10,10,8,5,1,3,40
50,2.986,PSYCHOPHYSIOLOGY,89,0,4,8,8,10,10,5,8,3,1,32
51,,DEV COGN NEUROS-NETH,87,1,4,2,11,8,5,6,8,18,4,20
52,,SCI REP-UK,85,0,9,3,4,13,10,5,6,11,1,23
53,,EUR J NEUROSCI,84,1,7,7,4,10,6,8,3,4,3,31
54,2.467,PSYCHIAT RES,84,1,1,1,3,16,3,4,9,3,0,43
55,,BRAIN STRUCT FUNCT,83,0,2,1,4,6,6,7,6,6,2,43
56,3.479,COGNITION,82,2,5,6,9,15,8,3,6,4,2,22
57,,J NEUROL SCI,82,0,0,7,5,6,7,4,7,6,1,39
58,5.938,PSYCHOL MED,82,0,1,2,8,7,7,10,10,4,1,32
59,,BRAIN STIMUL,81,0,5,7,12,6,6,6,1,8,1,29
60,,BEHAV NEUROL,80,0,3,3,9,3,6,5,8,2,4,37
61,,NEUROSCI LETT,79,1,5,2,3,9,4,3,9,5,5,33
62,,NEUROIMAGE-CLIN,77,0,1,2,2,7,7,11,3,6,5,33
63,3.369,PSYCHON B REV,77,0,3,3,6,14,5,4,9,3,3,27
64,,VISION RES,76,0,3,6,7,11,7,5,2,4,6,25
65,,APHASIOLOGY,70,0,3,7,2,8,5,2,9,0,1,33
66,,EPILEPSY BEHAV,69,2,1,5,1,5,6,5,7,1,5,31
67,21.965,TRENDS COGN SCI,69,2,8,7,11,9,4,3,1,6,2,16
68,1.489,J NEUROLINGUIST,67,1,1,4,4,4,3,4,7,2,5,32
69,,PSYCHIAT RES-NEUROIM,67,0,1,4,6,5,6,3,1,3,1,37
70,1.986,ARCH CLIN NEUROPSYCH,65,0,1,0,2,2,11,5,4,3,3,34
71,,ANN NY ACAD SCI,63,2,2,6,7,10,6,9,4,3,4,10
72,2.486,J NEUROPSYCHOL,63,0,1,3,3,10,4,5,5,5,2,25
73,,NEURON,61,0,3,2,5,7,6,4,3,4,1,26
74,,NEUROREPORT,61,2,4,7,4,5,4,3,4,3,3,22
75,,SOC NEUROSCI-UK,59,0,1,1,9,6,1,5,10,4,2,20
76,2.863,PSYCHOL RES-PSYCH FO,58,0,2,6,13,3,7,2,2,6,1,16
77,,BRAIN IMAGING BEHAV,56,0,1,4,10,6,1,4,3,4,0,23
78,,HEARING RES,56,1,3,3,9,4,5,3,6,4,1,17
79,2.127,Q J EXP PSYCHOL,56,0,2,4,7,6,7,4,4,5,5,12
80,2.212,RES AUTISM SPECT DIS,55,0,3,1,3,10,8,9,4,0,2,15
81,2.549,J EXP CHILD PSYCHOL,54,0,1,1,10,3,2,1,8,11,2,15
82,2.862,J EXP PSYCHOL LEARN,54,0,1,5,12,5,10,2,4,1,0,14
83,1.388,COGN PROCESS,53,0,5,1,5,0,9,2,2,6,1,22
84,,CURR BIOL,52,0,5,4,3,8,3,1,1,10,1,16
85,,NEUROPHYSIOL CLIN,52,0,0,3,0,3,2,3,11,0,1,29
86,2.201,COGNITION EMOTION,50,0,0,4,5,7,2,5,7,1,2,17
87,2.241,DEV NEUROPSYCHOL,50,0,2,1,1,5,7,2,2,5,1,24
88,3.808,DEVELOPMENTAL SCI,50,0,1,5,3,8,7,2,2,8,0,14
89,5.929,J EXP PSYCHOL GEN,50,0,1,4,6,6,3,2,3,4,1,20
