Cited Journal Data: NEW IDEAS IN PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,508,41,55,36,58,30,29,50,31,11,26,141
2,,ALL OTHERS (185),185,4,20,15,27,7,8,20,8,5,8,63
3,2.560,FRONT PSYCHOL,57,14,9,4,5,1,6,5,8,0,1,4
4,1.444,NEW IDEAS PSYCHOL,49,16,3,3,1,7,2,5,5,4,2,1
5,,FRONT HUM NEUROSCI,16,0,4,1,3,1,1,2,1,0,0,3
6,,PLOS ONE,10,0,4,2,3,0,0,0,0,0,0,1
7,0.906,THEOR PSYCHOL,8,1,2,0,1,0,0,0,0,0,1,3
8,4.061,CHILD DEV,5,0,0,0,1,0,0,0,0,0,1,3
9,1.941,CONSCIOUS COGN,5,0,1,0,0,0,0,0,0,0,0,4
10,,INFORM SCIENCES,5,0,2,1,1,1,0,0,0,0,0,0
11,0.826,LANG SCI,5,0,0,1,0,0,1,0,2,0,0,1
12,2.825,SCI EDUC,5,0,0,0,0,0,1,0,0,0,2,2
13,0.831,COGN SYST RES,4,0,2,0,1,0,0,1,0,0,0,0
14,2.556,COMPUT EDUC,4,0,0,1,0,1,0,0,0,0,0,2
15,1.721,EUR J DEV PSYCHOL,4,0,0,0,0,0,0,0,1,0,0,3
16,0.578,J CONSCIOUSNESS STUD,4,0,0,1,0,0,0,0,1,0,0,2
17,1.019,J RELIG HEALTH,4,0,0,0,0,0,0,3,0,0,0,1
18,,LECT NOTES COMPUT SC,4,0,0,1,1,0,1,0,0,0,0,1
19,,SCI REP-UK,4,0,0,1,1,0,1,1,0,0,0,0
20,1.461,THINK SKILLS CREAT,4,0,0,0,1,2,0,0,0,0,0,1
21,0.956,CULT PSYCHOL,3,0,1,0,0,2,0,0,0,0,0,0
22,0.314,EDUC PHILOS THEORY,3,0,0,0,0,0,2,0,0,0,0,1
23,3.611,EDUC PSYCHOL-US,3,0,0,0,0,0,0,0,0,0,0,3
24,,EXP BRAIN RES,3,1,2,0,0,0,0,0,0,0,0,0
25,1.132,INT J SCI EDUC,3,0,0,0,0,0,0,0,0,0,0,3
26,5.929,J EXP PSYCHOL GEN,3,2,0,0,0,0,0,0,0,0,0,1
27,0.161,J PSYCHOL AFR,3,0,0,0,0,1,0,0,0,0,0,2
28,1.621,LEARN INDIVID DIFFER,3,0,0,0,0,0,0,0,0,1,2,0
29,,METAPHILOSOPHY,3,0,0,0,0,0,0,0,0,0,0,3
