Cited Journal Data: PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,32026,897,1769,2436,2087,3071,2803,2735,1370,1160,1834,11864
2,,ALL OTHERS (1514),1514,8,47,56,99,94,130,127,78,67,83,725
3,3.234,PLOS ONE,1640,21,95,119,124,169,160,115,68,60,112,597
4,7.055,PHILOS T R SOC B,809,516,39,25,18,22,35,19,17,1,10,107
5,9.674,P NATL ACAD SCI USA,377,12,35,41,30,42,33,30,22,12,8,112
6,5.051,P ROY SOC B-BIOL SCI,324,0,27,33,33,55,34,24,10,13,2,93
7,,FRONT PSYCHOL,308,18,6,27,18,6,75,36,23,3,14,82
8,3.626,FRONT HUM NEUROSCI,289,18,5,18,8,5,43,17,22,12,34,107
9,6.357,NEUROIMAGE,244,1,0,8,5,3,33,11,11,8,60,104
10,6.344,J NEUROSCI,236,17,4,12,20,2,20,15,11,10,28,97
11,3.137,ANIM BEHAV,224,3,13,22,14,53,19,24,10,19,0,47
12,6.494,MOL ECOL,218,1,11,42,8,38,13,31,2,3,4,65
13,4.612,EVOLUTION,216,0,11,16,10,39,20,15,2,9,3,91
14,3.232,J EVOLUTION BIOL,167,1,14,16,2,34,28,18,2,4,0,48
15,2.320,ECOL EVOL,164,1,9,14,18,28,16,11,2,5,4,56
16,2.897,J EXP BIOL,157,4,3,13,24,3,9,17,13,0,1,70
17,5.578,SCI REP-UK,154,3,16,10,10,17,16,9,10,5,8,50
18,11.470,NAT COMMUN,146,2,11,15,17,22,6,9,7,5,4,48
19,8.044,GLOBAL CHANGE BIOL,143,0,10,20,9,31,3,28,7,0,10,25
20,3.177,BEHAV ECOL,139,0,14,12,5,27,28,11,8,4,1,29
21,16.196,TRENDS ECOL EVOL,128,0,35,10,13,17,13,6,5,2,3,24
22,3.832,AM NAT,125,2,12,3,8,15,20,12,0,2,2,49
23,4.656,ECOLOGY,125,0,5,21,13,22,16,9,1,0,0,38
24,8.802,NEUROSCI BIOBEHAV R,120,0,12,18,5,4,22,11,6,6,4,32
25,9.571,CURR BIOL,118,7,9,11,13,9,13,4,6,5,1,40
26,3.302,NEUROPSYCHOLOGIA,115,1,0,2,5,1,21,12,20,3,8,42
27,7.672,NEW PHYTOL,115,2,2,25,2,16,5,10,1,2,3,47
28,3.656,FRONT NEUROSCI-SWITZ,109,1,4,16,7,0,11,13,9,3,15,30
29,3.368,BMC EVOL BIOL,108,0,6,3,4,15,4,13,1,6,0,56
30,2.991,MAR POLLUT BULL,108,0,0,0,0,5,85,2,1,1,6,8
31,2.116,J THEOR BIOL,107,1,7,4,13,22,14,0,2,2,3,39
32,2.264,BIOL J LINN SOC,104,0,0,5,4,13,24,8,3,3,4,40
33,2.350,BEHAV ECOL SOCIOBIOL,102,0,20,3,3,22,11,5,2,7,0,29
34,5.969,HUM BRAIN MAPP,101,0,0,1,1,0,12,5,14,1,35,32
35,3.916,MOL PHYLOGENET EVOL,101,0,0,0,1,11,0,24,2,3,6,54
36,4.590,J BIOGEOGR,98,0,1,10,16,9,0,13,5,1,0,43
37,3.270,FRONT BEHAV NEUROSCI,95,6,6,8,4,8,9,20,3,4,3,24
38,3.093,OECOLOGIA,94,0,3,9,7,19,11,10,3,1,1,30
39,10.689,ECOL LETT,91,0,2,8,13,16,17,2,1,2,0,30
40,3.896,EVOL APPL,91,3,40,8,0,11,8,4,0,1,2,14
41,4.504,J ANIM ECOL,91,0,1,5,3,36,11,12,2,1,0,20
42,15.054,NEURON,91,15,2,5,6,3,8,4,9,2,5,32
43,4.620,PLOS COMPUT BIOL,91,2,10,3,2,5,10,3,5,1,7,43
44,9.105,MOL BIOL EVOL,90,0,8,4,8,19,6,15,0,4,1,25
45,9.670,BIOL REV,88,0,4,2,9,12,7,11,6,2,0,35
46,3.986,BMC GENOMICS,87,0,7,15,1,8,11,7,4,8,1,25
47,8.679,CSH PERSPECT BIOL,86,0,10,11,1,12,3,0,1,24,2,22
48,5.963,GENETICS,85,1,3,14,3,30,0,3,0,5,10,16
49,4.229,GENOME BIOL EVOL,85,1,8,6,2,17,7,13,0,9,2,20
50,4.573,J BIOL CHEM,85,1,8,18,6,2,11,4,2,4,3,26
51,3.762,BIOL CONSERV,84,0,4,2,16,15,3,7,1,1,18,17
52,3.917,J R SOC INTERFACE,84,0,8,4,3,10,5,5,3,1,0,45
53,7.528,PLOS GENET,84,0,12,8,9,16,1,2,0,3,3,30
54,7.372,SOC COGN AFFECT NEUR,81,0,0,3,5,0,14,12,8,2,1,36
55,8.665,CEREB CORTEX,78,0,0,1,1,1,4,5,5,4,13,44
56,3.444,OIKOS,78,0,2,21,7,14,13,1,0,1,2,17
57,33.611,SCIENCE,76,5,13,2,5,9,2,4,1,3,2,30
58,5.526,J EXP BOT,75,0,9,24,5,2,2,2,0,2,1,28
59,3.989,FRONT MICROBIOL,74,1,6,4,8,8,9,0,5,11,1,21
60,2.619,MAR ECOL PROG SER,74,0,6,5,6,2,6,2,11,1,15,20
61,5.330,ENVIRON SCI TECHNOL,72,0,22,3,2,5,20,4,2,0,4,10
62,0.906,ZOOTAXA,72,0,0,3,0,0,0,4,2,0,29,34
63,3.978,BIOGEOSCIENCES,69,1,5,11,4,5,0,11,0,1,1,30
64,5.128,CORTEX,69,2,0,0,0,1,9,3,2,4,13,35
65,41.456,NATURE,69,1,10,3,4,8,0,4,0,5,3,31
66,2.887,J NEUROPHYSIOL,67,1,2,0,8,0,7,4,5,4,3,33
