Cited Journal Data: PLoS One,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,332716,14697,82075,95631,63047,33288,21581,14292,6520,734,36,815
2,,ALL OTHERS (1195),1195,42,276,318,270,132,81,46,23,2,1,4
3,3.234,PLOS ONE,35722,3525,9641,9518,6023,3150,1930,1293,528,56,2,56
4,1.579,BIOMED RES INT,2403,119,725,637,422,222,141,82,35,15,0,5
5,3.986,BMC GENOMICS,2294,87,525,652,474,235,147,122,47,4,0,1
6,4.573,J BIOL CHEM,2145,98,490,567,419,272,164,89,38,5,0,3
7,5.578,SCI REP-UK,2087,125,527,575,411,209,116,82,33,4,0,5
8,9.674,P NATL ACAD SCI USA,2077,92,451,552,410,238,145,124,59,5,0,1
9,2.369,WORLD J GASTROENTERO,1344,29,439,419,219,93,72,55,14,2,0,2
10,11.470,NAT COMMUN,1323,55,281,325,244,166,137,78,31,1,0,5
11,2.862,INT J MOL SCI,1298,111,388,333,215,96,83,41,28,3,0,0
12,4.439,J VIROL,1294,48,293,315,293,148,82,75,36,2,0,2
13,3.611,TUMOR BIOL,1229,81,495,352,146,57,48,32,15,1,0,2
14,9.112,NUCLEIC ACIDS RES,1114,32,237,274,223,139,103,67,36,3,0,0
15,3.989,FRONT MICROBIOL,1111,100,292,266,198,108,69,52,23,3,0,0
16,6.359,ONCOTARGET,1026,40,312,277,166,93,65,50,13,4,1,5
17,6.344,J NEUROSCI,1023,31,210,254,227,119,86,60,33,2,0,1
18,,METHOD MOL BIOL,986,1,136,260,238,133,108,67,39,4,0,0
19,4.922,J IMMUNOL,976,18,186,260,201,159,84,54,12,2,0,0
20,2.297,BIOCHEM BIOPH RES CO,954,56,298,225,181,83,54,43,10,3,0,1
21,6.357,NEUROIMAGE,898,12,150,265,216,100,79,49,26,0,0,1
22,7.562,PLOS PATHOG,898,26,187,241,192,103,75,53,19,1,0,1
23,3.626,FRONT HUM NEUROSCI,871,52,228,219,134,85,59,68,25,0,0,1
24,7.528,PLOS GENET,856,25,161,228,187,85,78,57,31,2,0,2
25,3.624,VACCINE,824,35,217,207,154,87,70,38,8,3,1,4
26,3.668,APPL ENVIRON MICROB,812,45,203,239,152,74,44,33,19,3,0,0
27,,FRONT PSYCHOL,787,67,222,202,126,65,51,31,22,1,0,0
28,2.138,GENE,769,15,179,237,168,77,49,27,13,1,0,3
29,4.446,PLOS NEGLECT TROP D,732,28,191,237,105,74,40,33,19,3,0,2
30,3.452,CURR PHARM DESIGN,730,5,87,220,164,118,60,57,13,1,0,5
31,3.731,INFECT IMMUN,726,18,165,179,155,87,70,41,9,2,0,0
32,3.948,FRONT PLANT SCI,711,64,194,211,125,54,21,19,21,0,0,2
33,3.357,NEUROSCIENCE,682,20,167,168,138,56,56,54,23,0,0,0
34,2.613,BMC INFECT DIS,666,40,148,169,158,61,47,25,10,3,1,4
35,6.494,MOL ECOL,662,25,128,190,149,66,30,52,19,3,0,0
36,3.109,MALARIA J,644,32,140,147,113,77,76,32,19,2,0,6
37,3.362,BMC CANCER,641,26,177,180,121,50,48,23,6,2,0,8
38,4.476,ANTIMICROB AGENTS CH,639,28,189,162,130,62,40,17,11,0,0,0
39,6.393,HUM MOL GENET,639,9,102,198,136,96,49,29,18,0,0,2
40,3.169,FEBS LETT,625,30,166,159,117,66,39,34,12,2,0,0
41,4.289,FRONT CELL NEUROSCI,617,29,169,151,121,66,36,26,18,0,0,1
42,5.051,P ROY SOC B-BIOL SCI,616,15,132,168,132,53,37,37,35,1,0,6
43,5.808,CELL MOL LIFE SCI,598,2,95,168,138,81,62,38,10,4,0,0
44,3.404,INVEST OPHTH VIS SCI,594,43,155,199,108,35,25,27,0,1,0,1
45,3.534,FRONT PHYSIOL,591,53,185,149,92,40,38,19,13,2,0,0
46,5.997,J INFECT DIS,573,10,108,158,103,83,56,39,10,4,0,2
47,5.014,CELL DEATH DIS,565,17,125,141,126,67,51,26,10,0,0,2
48,4.620,PLOS COMPUT BIOL,556,23,100,131,124,81,35,31,29,1,0,1
49,9.329,CANCER RES,555,12,118,157,104,79,34,37,10,2,0,2
50,2.576,BMC BIOINFORMATICS,552,34,120,154,116,59,33,22,10,2,0,2
51,8.459,ONCOGENE,551,0,28,161,132,82,76,47,18,2,0,5
52,2.514,ASIAN PAC J CANCER P,549,39,228,154,69,30,12,9,5,1,0,2
53,2.264,BMC PUBLIC HEALTH,541,42,147,179,85,42,26,10,6,1,0,3
54,3.353,VIRUSES-BASEL,539,42,139,115,107,45,46,29,16,0,0,0
55,2.301,ONCOL REP,535,16,150,177,88,44,26,26,6,1,0,1
56,3.015,INFECT GENET EVOL,526,17,124,151,105,49,40,27,10,1,0,2
57,3.321,VIROLOGY,524,24,110,145,97,55,43,33,16,0,0,1
58,2.112,PEERJ,519,38,150,121,98,53,21,25,11,1,0,1
59,3.337,APPL MICROBIOL BIOT,516,28,144,145,90,45,29,21,13,1,0,0
60,3.270,FRONT BEHAV NEUROSCI,513,33,119,144,80,57,38,30,11,1,0,0
61,3.993,J CLIN MICROBIOL,508,22,145,143,99,38,33,15,10,2,0,1
62,7.407,ANTIOXID REDOX SIGN,507,4,55,174,114,72,54,26,5,2,0,1
63,2.619,MAR ECOL PROG SER,500,24,115,141,87,80,24,18,11,0,0,0
64,4.556,JAIDS-J ACQ IMM DEF,498,25,107,145,107,53,29,14,7,3,0,8
65,6.786,MBIO,491,19,106,149,73,73,41,17,10,2,0,1
66,9.322,ELIFE,485,29,112,92,86,67,48,33,17,0,0,1
