Cited Journal Data: PSYCHOLOGICAL BULLETIN,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,36794,154,482,669,766,1369,1145,909,1280,1175,1080,27765
2,,ALL OTHERS (1278),1278,5,8,13,18,21,25,27,41,21,17,1082
3,,PLOS ONE,913,3,17,29,26,40,32,19,34,25,33,655
4,2.560,FRONT PSYCHOL,721,12,18,40,20,35,18,24,28,25,25,476
5,,FRONT HUM NEUROSCI,301,5,9,9,9,31,12,6,12,17,23,168
6,14.756,PSYCHOL BULL,263,18,10,8,9,16,9,6,3,15,10,159
7,1.951,PERS INDIV DIFFER,262,1,2,7,9,12,16,13,5,7,7,183
8,5.031,J PERS SOC PSYCHOL,257,0,11,7,5,15,5,6,2,14,6,186
9,2.694,COMPUT HUM BEHAV,240,1,0,0,4,15,2,3,8,3,1,203
10,4.141,DEV PSYCHOL,235,4,7,5,5,14,5,10,8,20,6,151
11,5.929,J EXP PSYCHOL GEN,204,1,8,2,7,15,6,4,7,6,5,143
12,1.395,SOC INDIC RES,194,0,0,1,0,0,1,9,0,4,13,166
13,2.909,PERS SOC PSYCHOL B,175,0,4,6,2,20,7,6,2,12,2,114
14,2.285,J EXP SOC PSYCHOL,170,0,1,0,2,15,6,6,3,6,7,124
15,,NEUROIMAGE,168,0,8,6,6,14,4,2,5,3,8,112
16,3.240,DEV PSYCHOPATHOL,164,1,1,1,2,2,17,3,7,11,5,114
17,3.590,HEALTH PSYCHOL,156,2,3,1,5,3,16,4,5,10,11,96
18,1.621,LEARN INDIVID DIFFER,154,2,7,9,6,13,14,2,8,0,5,88
19,4.940,PSYCHOL SCI,148,4,9,6,4,6,6,2,5,6,4,96
20,2.467,PSYCHIAT RES,143,0,3,1,9,3,9,5,9,9,3,92
21,4.799,J APPL PSYCHOL,128,1,1,2,1,6,3,0,3,3,2,106
22,3.383,EMOTION,127,0,4,3,2,2,12,6,5,1,6,86
23,2.561,SOC PSYCHOL PERS SCI,124,1,0,1,3,13,4,3,2,16,5,76
24,3.481,J ABNORM CHILD PSYCH,123,3,1,0,2,3,5,3,3,9,3,91
25,2.248,ACTA PSYCHOL,120,0,4,5,5,17,0,3,8,3,6,69
26,1.713,J FAM PSYCHOL,117,0,1,2,1,2,5,4,5,0,2,95
27,4.061,CHILD DEV,116,0,7,0,3,1,7,6,1,5,1,85
28,1.957,J ADOLESCENCE,116,0,2,3,2,4,5,1,0,7,3,89
