Cited Journal Data: SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,557558,5979,27719,28512,31414,30743,33349,31804,29169,27757,25278,285834
2,,ALL OTHERS (1367),1367,11,36,32,66,35,53,39,58,58,45,934
3,3.234,PLOS ONE,18977,115,791,797,872,1082,1017,1018,1046,935,955,10349
4,9.674,P NATL ACAD SCI USA,6706,107,465,542,496,475,488,379,359,337,297,2761
5,11.470,NAT COMMUN,5618,94,442,491,441,415,429,370,346,288,247,2055
6,3.736,PHYS REV B,4913,155,332,514,306,370,468,296,440,396,205,1431
7,5.578,SCI REP-UK,4812,49,306,281,328,322,434,291,266,280,195,2060
8,3.840,RSC ADV,4692,32,153,185,323,226,262,341,277,263,213,2417
9,12.113,J AM CHEM SOC,3679,72,305,314,326,235,232,198,210,176,152,1459
10,3.426,J GEOPHYS RES,3519,66,304,155,185,150,197,194,202,151,163,1752
11,4.573,J BIOL CHEM,3414,37,160,170,201,173,208,155,175,141,174,1820
12,33.611,SCIENCE,3315,563,396,300,257,241,182,182,146,126,100,822
13,3.302,APPL PHYS LETT,3113,32,217,193,167,194,250,264,221,236,132,1207
14,4.772,J PHYS CHEM C,2985,44,139,167,234,166,219,219,170,125,128,1374
15,11.261,ANGEW CHEM INT EDIT,2693,51,232,256,240,184,169,170,162,144,81,1004
16,4.493,PHYS CHEM CHEM PHYS,2692,30,123,158,194,144,179,206,159,142,100,1257
17,7.394,NANOSCALE,2628,15,112,171,238,138,256,212,175,142,92,1077
18,7.512,PHYS REV LETT,2546,49,320,266,196,217,203,187,175,155,105,673
19,9.112,NUCLEIC ACIDS RES,2480,30,175,193,161,170,242,155,177,93,87,997
20,12.881,ACS NANO,2433,41,178,223,181,138,201,188,137,140,89,917
21,2.808,PHYS REV A,2408,42,239,221,212,220,167,288,117,137,61,704
22,6.834,CHEM COMMUN,2355,38,147,175,185,122,153,116,164,107,86,1062
23,6.344,J NEUROSCI,2350,20,77,86,65,122,135,118,120,127,102,1378
24,7.443,J MATER CHEM A,2339,29,154,155,376,112,206,208,154,128,49,768
25,41.456,NATURE,2299,95,271,239,194,202,170,142,101,96,86,703
26,6.723,ACS APPL MATER INTER,2106,25,84,119,194,69,160,166,150,96,78,965
27,2.952,J CHEM PHYS,2070,32,80,90,97,101,113,134,120,99,93,1111
28,13.592,NANO LETT,2061,36,181,212,189,147,177,168,116,97,84,654
29,2.183,J APPL PHYS,2008,9,62,74,73,104,111,198,144,135,110,988
30,17.493,ADV MATER,1875,12,137,163,193,121,151,155,104,119,64,656
31,,METHOD MOL BIOL,1839,0,41,72,73,100,87,102,100,98,64,1102
32,5.993,ASTROPHYS J,1813,29,221,183,195,161,144,139,119,96,87,439
33,4.734,EARTH PLANET SC LETT,1801,18,68,119,97,77,101,112,103,77,129,900
34,,PROC SPIE,1771,13,79,108,96,79,87,118,87,128,51,925
35,46.568,CHEM REV,1734,8,68,76,122,82,81,74,68,77,75,1003
36,7.528,PLOS GENET,1733,24,96,143,122,146,146,107,109,83,94,663
37,3.986,BMC GENOMICS,1664,19,52,100,69,142,161,107,140,102,100,672
38,4.439,J VIROL,1664,7,163,98,94,94,126,59,50,99,84,790
39,32.242,CELL,1620,58,206,167,160,98,117,97,80,58,50,529
40,5.731,CHEM-EUR J,1523,13,88,111,120,86,77,67,106,87,65,703
41,4.196,GEOPHYS RES LETT,1466,59,146,97,94,55,97,95,95,69,65,594
42,4.922,J IMMUNOL,1439,9,98,60,87,86,67,48,65,64,53,802
43,3.038,ICARUS,1403,11,47,215,102,61,58,65,59,120,94,571
44,1.579,BIOMED RES INT,1399,3,41,41,43,56,68,51,65,57,73,901
45,9.322,ELIFE,1395,45,125,101,76,114,98,106,73,69,58,530
46,3.488,OPT EXPRESS,1395,6,91,85,114,82,81,134,81,132,63,526
47,2.288,PHYS REV E,1316,7,58,54,64,78,83,55,68,75,57,717
48,15.054,NEURON,1245,30,92,75,61,89,89,85,48,56,64,556
49,3.948,FRONT PLANT SCI,1244,39,76,70,56,78,86,71,81,91,58,538
50,4.457,LANGMUIR,1244,5,31,54,36,63,55,57,66,55,59,763
51,8.358,CELL REP,1193,23,116,96,105,85,92,85,49,47,48,447
52,6.196,CARBON,1162,0,46,46,71,69,200,135,44,61,21,469
53,33.383,CHEM SOC REV,1135,9,73,88,85,80,61,59,59,56,45,520
54,5.051,P ROY SOC B-BIOL SCI,1128,4,56,77,118,68,65,72,69,63,55,481
55,4.331,GEOCHIM COSMOCHIM AC,1123,8,30,83,54,37,51,78,59,49,57,617
56,3.302,J PHYS CHEM B,1119,9,19,49,40,55,55,61,51,45,47,688
57,7.562,PLOS PATHOG,1112,10,85,74,67,83,78,65,56,66,59,469
58,5.107,MON NOT R ASTRON SOC,1102,22,121,101,147,126,69,99,61,76,31,249
59,9.571,CURR BIOL,1074,44,107,75,75,74,48,76,70,62,51,392
60,8.354,CHEM MATER,1072,22,88,71,79,48,77,65,61,35,56,470
61,7.055,PHILOS T R SOC B,1069,5,109,74,65,68,36,67,55,46,60,484
62,5.053,ATMOS CHEM PHYS,1052,4,76,59,42,60,143,55,70,63,34,446
63,4.572,QUATERNARY SCI REV,1051,6,31,57,56,46,86,45,56,41,57,570
64,4.029,SOFT MATTER,1013,7,37,64,41,26,40,49,66,62,48,573
65,2.297,BIOCHEM BIOPH RES CO,1012,5,39,32,56,42,61,32,47,36,50,612
66,4.197,DALTON T,1009,2,43,55,72,60,53,56,57,43,36,532
67,3.989,FRONT MICROBIOL,1006,21,52,90,71,80,56,62,48,52,46,428
68,4.620,PLOS COMPUT BIOL,1001,11,47,56,60,88,66,61,56,37,55,464
69,11.805,ADV FUNCT MATER,1000,3,53,96,89,39,75,86,58,53,40,408
70,8.368,SMALL,944,7,44,56,73,40,88,84,52,58,40,402
71,6.357,NEUROIMAGE,938,1,23,32,25,35,49,48,61,36,55,573
72,4.696,J MATER CHEM C,937,1,31,24,57,33,89,52,37,45,48,520
73,5.636,ANAL CHEM,928,3,32,42,36,33,42,43,41,70,34,552
74,2.862,INT J MOL SCI,918,7,15,29,29,44,40,45,55,46,47,561
75,5.808,CELL MOL LIFE SCI,909,6,52,55,35,43,65,49,48,36,51,469
76,4.034,CRYSTENGCOMM,899,3,52,59,23,65,47,63,51,26,39,471
77,3.452,CURR PHARM DESIGN,895,1,19,23,30,49,55,29,38,29,51,571
78,,FRONT PSYCHOL,888,11,27,20,39,38,29,28,57,46,38,555
79,5.330,ENVIRON SCI TECHNOL,884,23,79,54,39,63,89,58,56,57,27,339
80,4.762,INORG CHEM,883,10,43,41,72,76,26,34,46,26,45,464
81,7.458,J PHYS CHEM LETT,883,33,111,89,70,58,50,53,38,21,44,316
82,3.015,BIOCHEMISTRY-US,879,7,29,46,33,43,47,34,31,32,46,531
83,5.526,J EXP BOT,878,4,31,54,49,47,75,44,60,62,41,411
84,7.672,NEW PHYTOL,874,11,41,47,72,55,77,49,55,52,47,368
85,6.462,DEVELOPMENT,872,19,65,71,45,49,61,62,57,49,25,369
86,3.558,NEW J PHYS,867,13,71,81,63,67,59,83,63,66,18,283
87,3.357,NEUROSCIENCE,856,14,32,26,25,40,41,35,29,34,43,537
88,3.169,FEBS LETT,854,9,53,52,68,42,42,50,37,40,40,421
89,4.289,FRONT CELL NEUROSCI,854,24,27,31,33,45,40,61,29,43,44,477
90,3.626,FRONT HUM NEUROSCI,852,6,26,17,26,44,43,33,56,38,40,523
91,2.346,J PHYS-CONDENS MAT,831,11,34,54,47,51,74,52,72,50,31,355
92,4.504,ELECTROCHIM ACTA,826,3,20,38,149,33,97,86,41,60,11,288
93,6.494,MOL ECOL,813,7,35,39,76,67,66,49,54,53,48,319
94,2.339,PALAEOGEOGR PALAEOCL,811,1,14,25,45,36,42,34,16,27,56,515
95,14.018,MOL CELL,802,16,81,92,65,56,61,58,56,22,37,258
96,5.800,MACROMOLECULES,798,7,39,51,23,24,29,66,46,34,37,442
97,2.693,J PHYS CHEM A,794,8,26,35,36,43,47,42,42,29,42,444
98,1.556,J NANOSCI NANOTECHNO,792,0,7,9,19,19,43,39,24,44,38,550
99,4.378,ASTRON ASTROPHYS,785,22,99,65,75,88,53,51,53,54,45,180
100,3.972,BIOPHYS J,775,8,25,51,45,51,36,53,34,39,42,391
101,2.369,WORLD J GASTROENTERO,766,1,23,31,51,32,34,42,24,42,76,410
102,8.044,GLOBAL CHANGE BIOL,757,0,28,29,108,74,49,90,36,36,40,267
103,6.393,HUM MOL GENET,755,7,47,42,30,43,50,41,53,35,40,367
104,5.963,GENETICS,750,7,37,61,35,61,70,40,33,34,40,332
105,9.338,PLANT CELL,741,13,28,51,35,39,52,44,51,37,39,352
106,6.841,PLANT PHYSIOL,739,13,31,39,47,34,60,39,58,35,36,347
107,3.978,BIOGEOSCIENCES,737,7,17,21,56,69,39,85,55,29,53,306
108,3.821,NANOTECHNOLOGY,734,1,24,28,41,46,59,81,41,46,32,335
109,6.359,ONCOTARGET,720,17,51,21,39,32,35,44,43,22,40,376
110,6.217,J POWER SOURCES,717,1,18,45,186,32,92,57,41,53,16,176
111,20.523,ENERG ENVIRON SCI,710,9,69,73,112,46,66,51,30,23,20,211
112,9.211,CHEM SCI,702,8,46,54,54,37,41,27,48,38,32,317
113,2.711,APPL SURF SCI,699,3,16,22,38,24,48,45,42,27,17,417
114,7.407,ANTIOXID REDOX SIGN,697,0,16,29,35,32,46,40,32,24,28,415
115,1.875,PLANET SPACE SCI,682,6,21,65,44,35,44,35,24,77,47,284
116,2.999,J ALLOY COMPD,655,2,11,8,29,25,31,69,28,21,38,393
117,13.262,J CLIN INVEST,644,8,53,38,52,47,50,33,24,22,27,290
118,3.270,FRONT BEHAV NEUROSCI,642,6,33,22,29,39,31,33,38,28,21,362
119,8.557,BIOMATERIALS,638,1,16,42,12,37,48,24,27,29,37,365
120,4.726,J MATER CHEM B,624,1,25,34,12,20,22,26,40,23,46,375
121,10.452,BLOOD,622,12,37,30,38,48,41,36,25,17,7,331
122,9.105,MOL BIOL EVOL,610,3,30,52,44,64,48,34,38,34,31,232
123,8.459,ONCOGENE,609,0,18,19,45,31,33,45,41,18,34,325
124,3.534,FRONT PHYSIOL,603,2,22,21,22,28,37,24,17,33,35,362
125,9.329,CANCER RES,601,3,40,34,53,23,43,36,33,30,25,281
126,5.972,PLANT J,595,10,34,34,30,41,63,34,52,33,18,246
127,8.679,CSH PERSPECT BIOL,592,4,40,37,50,46,38,38,34,27,16,262
128,3.292,OPT LETT,591,7,59,56,60,33,31,48,37,46,18,196
129,10.798,GENE DEV,587,13,60,40,36,40,37,39,47,17,26,232
130,1.603,CHINESE PHYS B,585,2,16,23,19,40,42,47,38,55,33,270
131,3.656,FRONT NEUROSCI-SWITZ,583,14,21,25,21,18,21,36,27,24,21,355
132,2.619,MAR ECOL PROG SER,583,0,10,12,46,15,16,40,37,34,39,334
133,4.435,J CLIMATE,577,0,19,13,25,21,24,31,59,25,34,326
134,5.106,NEUROPHARMACOLOGY,576,1,8,17,18,32,34,36,31,17,17,365
135,5.432,J CELL SCI,575,6,29,32,32,26,40,40,30,25,36,279
136,4.333,J MOL BIOL,572,4,29,43,28,39,30,24,24,34,40,277
137,4.466,MOL BIOL CELL,571,7,34,33,28,38,32,39,26,19,33,282
138,3.382,CLIM PAST,570,2,29,31,29,31,48,38,30,25,42,265
139,14.630,GENOME RES,570,8,75,58,41,67,44,34,37,19,25,162
140,3.313,INT J HYDROGEN ENERG,570,0,15,19,71,21,63,33,33,11,21,283
141,6.364,ORG LETT,564,22,40,63,40,53,26,14,71,42,12,181
142,5.014,CELL DEATH DIS,559,3,18,20,36,26,34,25,22,20,36,319
143,4.612,EVOLUTION,559,1,20,23,54,43,45,24,32,33,29,255
144,4.099,SCI TOTAL ENVIRON,557,1,34,14,21,29,31,51,20,42,36,278
145,4.777,MOL CELL BIOL,553,1,29,26,36,30,31,23,36,20,25,296
146,3.917,J R SOC INTERFACE,552,5,29,27,23,30,37,41,32,35,22,271
147,8.802,NEUROSCI BIOBEHAV R,551,3,17,14,27,29,24,22,37,27,18,333
148,16.095,NAT NEUROSCI,550,10,28,44,30,43,44,35,29,22,28,237
149,9.343,PLOS BIOL,550,13,35,43,42,50,34,25,24,25,19,240
