Cited Journal Data: Wiley Interdisciplinary Reviews-Cognitive Science,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1,,ALL Journals,512,19,87,98,140,168,0,0,0,0,0,0
2,,ALL OTHERS (155),155,6,29,32,42,45,0,0,0,0,0,1
3,2.560,FRONT PSYCHOL,44,3,6,8,9,18,0,0,0,0,0,0
4,,PLOS ONE,20,0,6,4,5,5,0,0,0,0,0,0
5,,FRONT HUM NEUROSCI,14,0,1,4,2,7,0,0,0,0,0,0
6,1.869,WIRES COGN SCI,13,2,3,1,1,6,0,0,0,0,0,0
7,3.302,NEUROPSYCHOLOGIA,7,0,3,0,3,1,0,0,0,0,0,0
8,2.446,COGNITIVE SCI,6,0,0,1,1,4,0,0,0,0,0,0
9,2.549,J EXP CHILD PSYCHOL,6,0,1,0,1,4,0,0,0,0,0,0
10,,J VISION,6,0,0,1,4,1,0,0,0,0,0,0
11,,NEUROSCI BIOBEHAV R,6,1,0,3,1,1,0,0,0,0,0,0
12,3.369,PSYCHON B REV,6,0,1,1,0,4,0,0,0,0,0,0
13,1.567,BEHAV PROCESS,5,0,2,1,1,1,0,0,0,0,0,0
14,5.064,COGNITIVE PSYCHOL,5,0,1,1,0,3,0,0,0,0,0,0
15,1.941,CONSCIOUS COGN,5,0,3,0,2,0,0,0,0,0,0,0
16,,J NEUROSCI,5,1,0,1,2,1,0,0,0,0,0,0
17,,NEUROIMAGE,5,0,1,0,3,1,0,0,0,0,0,0
18,,PHILOS T R SOC B,5,0,0,1,0,4,0,0,0,0,0,0
19,7.372,SOC COGN AFFECT NEUR,5,0,0,3,0,2,0,0,0,0,0,0
20,,VISION RES,5,0,1,2,2,0,0,0,0,0,0,0
21,2.477,BRAIN COGNITION,4,0,0,1,2,1,0,0,0,0,0,0
22,,EXP BRAIN RES,4,0,0,1,3,0,0,0,0,0,0,0
23,,HUM BRAIN MAPP,4,0,1,0,1,2,0,0,0,0,0,0
24,1.431,J COGN PSYCHOL,4,0,1,1,1,1,0,0,0,0,0,0
25,5.929,J EXP PSYCHOL GEN,4,0,0,0,1,3,0,0,0,0,0,0
26,2.862,J EXP PSYCHOL LEARN,4,0,2,0,2,0,0,0,0,0,0,0
27,,NEURON,4,1,0,0,2,1,0,0,0,0,0,0
28,1.321,APPL COGNITIVE PSYCH,3,0,0,0,3,0,0,0,0,0,0,0
29,20.771,BEHAV BRAIN SCI,3,0,1,1,1,0,0,0,0,0,0,0
30,3.403,BIOL PSYCHOL,3,0,0,1,1,1,0,0,0,0,0,0
31,,CEREB CORTEX,3,0,0,1,1,1,0,0,0,0,0,0
32,4.061,CHILD DEV,3,0,2,0,0,1,0,0,0,0,0,0
33,,COGN AFFECT BEHAV NE,3,0,1,0,2,0,0,0,0,0,0,0
34,1.175,COGN LINGUIST,3,0,1,1,1,0,0,0,0,0,0,0
35,3.479,COGNITION,3,0,0,0,2,1,0,0,0,0,0,0
36,2.201,COGNITION EMOTION,3,0,0,0,1,2,0,0,0,0,0,0
37,,CORTEX,3,0,0,0,2,1,0,0,0,0,0,0
38,0.887,DISCOURSE PROCESS,3,0,1,0,1,1,0,0,0,0,0,0
39,3.665,J AUTISM DEV DISORD,3,0,0,1,1,1,0,0,0,0,0,0
40,2.344,J COMP PSYCHOL,3,0,0,1,1,1,0,0,0,0,0,0
41,1.612,LANG LEARN,3,0,0,0,1,2,0,0,0,0,0,0
42,2.457,MEM COGNITION,3,0,0,1,1,1,0,0,0,0,0,0
43,,NAT REV NEUROSCI,3,0,1,1,1,0,0,0,0,0,0,0
44,,NEUROSCIENTIST,3,2,1,0,0,0,0,0,0,0,0,0
45,14.756,PSYCHOL BULL,3,0,0,1,1,1,0,0,0,0,0,0
46,1.097,PSYCHOL RUNDSCH,3,1,1,0,0,1,0,0,0,0,0,0
47,3.063,TOP COGN SCI,3,0,1,0,0,2,0,0,0,0,0,0
48,,TOPOI-INT REV PHILOS,3,0,1,0,0,2,0,0,0,0,0,0
49,21.965,TRENDS COGN SCI,3,0,0,1,0,2,0,0,0,0,0,0
50,,ADV EXP MED BIOL,2,0,0,0,2,0,0,0,0,0,0,0
51,,ANIM COGN,2,0,0,1,0,1,0,0,0,0,0,0
52,,APPL NEUROPSYCH-CHIL,2,0,0,2,0,0,0,0,0,0,0,0
53,2.928,BEHAV RES METHODS,2,0,0,1,1,0,0,0,0,0,0,0
54,,BRAIN,2,0,0,0,1,1,0,0,0,0,0,0
55,3.215,BRAIN LANG,2,0,0,0,0,2,0,0,0,0,0,0
56,2.000,COGNITION INSTRUCT,2,0,0,1,0,1,0,0,0,0,0,0
57,,CURR BIOL,2,0,0,0,0,2,0,0,0,0,0,0
58,4.141,DEV PSYCHOL,2,0,0,1,1,0,0,0,0,0,0,0
59,,FRONT NEUROROBOTICS,2,0,1,1,0,0,0,0,0,0,0,0
60,,HIPPOCAMPUS,2,0,2,0,0,0,0,0,0,0,0,0
61,,INVEST OPHTH VIS SCI,2,0,0,1,0,1,0,0,0,0,0,0
62,,J ASSOC INF SCI TECH,2,0,0,0,1,1,0,0,0,0,0,0
63,1.598,J CHILD LANG,2,0,0,0,0,2,0,0,0,0,0,0
64,4.085,J COGNITIVE NEUROSCI,2,0,0,0,1,1,0,0,0,0,0,0
65,0.578,J CONSCIOUSNESS STUD,2,0,0,0,0,2,0,0,0,0,0,0
66,1.297,J ECON BEHAV ORGAN,2,0,0,2,0,0,0,0,0,0,0,0
67,3.518,J EDUC PSYCHOL,2,0,0,0,1,1,0,0,0,0,0,0
68,3.358,J EXP PSYCHOL HUMAN,2,0,0,0,1,1,0,0,0,0,0,0
69,4.237,J MEM LANG,2,0,1,0,0,1,0,0,0,0,0,0
70,2.070,J SPEECH LANG HEAR R,2,0,1,0,0,1,0,0,0,0,0,0
71,1.083,LANG ACQUIS,2,0,1,0,0,1,0,0,0,0,0,0
72,0.826,LANG SCI,2,0,0,1,1,0,0,0,0,0,0,0
73,1.356,LATERALITY,2,0,0,0,2,0,0,0,0,0,0,0
74,1.436,LEARN MOTIV,2,0,1,0,1,0,0,0,0,0,0,0
75,1.688,MEMORY,2,0,0,0,2,0,0,0,0,0,0,0
76,1.089,MIND LANG,2,0,0,0,2,0,0,0,0,0,0,0
77,3.652,NEUROBIOL LEARN MEM,2,0,1,0,0,1,0,0,0,0,0,0
78,3.269,NEUROPSYCHOLOGY,2,0,0,0,0,2,0,0,0,0,0,0
79,9.546,PERSPECT PSYCHOL SCI,2,0,0,2,0,0,0,0,0,0,0,0
80,2.863,PSYCHOL RES-PSYCH FO,2,0,0,1,0,1,0,0,0,0,0,0
81,4.940,PSYCHOL SCI,2,1,0,0,0,1,0,0,0,0,0,0
82,2.127,Q J EXP PSYCHOL,2,0,0,0,1,1,0,0,0,0,0,0
83,,TRANSL NEUROSCI,2,0,1,0,1,0,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
