Citing Journal Data: COGNITIVE NEUROPSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,1841,22,67,85,99,66,103,93,96,95,78,1037
2, ,ALL OTHERS (246),246,0,7,12,10,8,16,15,13,4,10,151
3,2.073,COGN NEUROPSYCHOL,152,7,2,0,4,3,4,11,5,17,4,95
4,3.215,BRAIN LANG,111,0,7,1,1,0,1,1,10,6,2,82
5,3.302,NEUROPSYCHOLOGIA,105,2,4,12,11,5,8,6,4,1,3,49
6,4.237,J MEM LANG,63,0,0,8,1,3,5,8,1,3,3,31
7, ,CORTEX,55,0,5,8,4,6,7,5,2,0,3,15
8, ,BRAIN,54,0,2,2,2,2,3,0,2,1,0,40
9,4.085,J COGNITIVE NEUROSCI,48,0,1,1,8,1,1,2,4,10,3,17
10,2.134,LANG COGNITIVE PROC,47,0,0,3,0,0,0,10,3,5,6,20
11,3.479,COGNITION,42,0,2,0,0,3,3,1,1,2,0,30
12, ,NEUROIMAGE,40,0,2,3,5,3,3,2,0,3,3,16
13,7.972,PSYCHOL REV,36,0,0,0,1,2,0,0,3,0,2,28
14,21.965,TRENDS COGN SCI,36,0,4,0,13,0,1,0,1,1,3,13
15, ,CEREB CORTEX,34,2,5,4,2,2,7,2,2,0,1,7
16,3.358,J EXP PSYCHOL HUMAN,31,0,0,2,0,0,3,1,0,2,0,23
17,2.862,J EXP PSYCHOL LEARN,29,0,0,0,1,0,2,1,1,2,1,21
18, ,APHASIOLOGY,28,1,1,2,1,5,1,1,1,2,0,13
19, ,NEUROCASE,28,0,5,1,0,0,0,0,2,0,2,18
20,3.369,PSYCHON B REV,23,0,2,0,2,1,2,2,5,1,0,8
21,1.489,J NEUROLINGUIST,18,0,0,0,0,0,0,2,3,3,0,10
22, ,Q J EXP PSYCHOL-A,17,0,0,0,0,0,0,0,0,0,0,17
23, ,J NEUROL NEUROSUR PS,16,0,0,1,0,0,0,0,1,3,1,10
24, ,J VERB LEARN VERB BE,16,0,0,0,0,0,0,0,0,0,0,16
25, ,NEURON,14,0,0,0,1,0,1,0,3,3,0,6
26, ,REPRESENTATION PROCE,14,0,0,0,0,0,0,0,1,13,0,0
27,2.457,MEM COGNITION,13,0,0,1,1,3,0,0,0,0,2,6
28, ,MENT LEXICON,13,0,0,0,1,0,7,0,4,1,0,0
29, ,NEUROLOGY,13,0,0,0,1,0,0,2,1,0,1,8
30, ,PERCEPT PSYCHOPHYS,12,0,0,0,0,0,0,0,0,0,0,12
31,2.254,BRIT J PSYCHOL,11,0,0,1,0,0,0,4,0,1,0,5
32,5.064,COGNITIVE PSYCHOL,11,0,0,1,2,1,0,0,0,1,0,6
33,5.929,J EXP PSYCHOL GEN,11,0,0,1,0,0,0,0,0,0,0,10
